IEM	Gene	Gene_Recon	met_Human-GEM	met_Human2	met_Human1	met_Recon3D_301	In_Vivo	Source	check_effected_rxns
	ENSG00000059573	5832.1	MAM02658	MAM02658	m02658	orn	decrease	HMDB	"['MAR03895', 'MAR03897', 'MAR09557']"
Phenylketonuria	ENSG00000171759	5053.1	MAM02137	MAM02137	m02137	homoval	decrease	HMDB	['MAR08539']
	ENSG00000177156	6888.1	MAM01690	MAM01690	m01690	dhap	decrease	HMDB	['MAR04565']
	ENSG00000038002	175.1	MAM02513	MAM02513	m02513	M02513	increase	HMDB	"['MAR07574', 'MAR07585', 'MAR07376', 'MAR09530']"
Isovaleric Acidemia	ENSG00000128928	3712.1	MAM02646	MAM02646	m02646	ocdcea	increase	HMDB	['MAR03770']
	ENSG00000140459	1583.1	MAM01615	MAM01615	m01615	crtsl	decrease	HMDB	"['MAR01928', 'MAR01929', 'MAR01932', 'MAR01934', 'MAR01935', 'MAR07935']"
	ENSG00000140459	1583.1	MAM01069	MAM01069	m01069	5adtststerone	decrease	HMDB	"['MAR01928', 'MAR01929', 'MAR01932', 'MAR01934', 'MAR01935', 'MAR07935']"
	ENSG00000091140	1738.1	MAM02046	MAM02046	m02046	hco3	decrease	HMDB	"['MAR06409', 'MAR06397', 'MAR06404']"
	ENSG00000189221	4128.1	MAM03099	MAM03099	m03099	tym	increase	HMDB	['MAR06719']
	ENSG00000153574	22934.1	MAM02425	MAM02425	m02425	xylu_L	decrease	HMDB	"['MAR04351', 'MAR04352']"
	ENSG00000091140	1738.1	MAM02184	MAM02184	m02184	ile_L	increase	HMDB	"['MAR06409', 'MAR06397', 'MAR06404']"
N-Acetylglutamate Synthase Deficiency	ENSG00000161653	162417.1	MAM02659	MAM02659	m02659	orot	increase	HMDB;vmh.life	"['MAR08416', 'MAR05418', 'MAR05419']"
	ENSG00000140459	1583.1	MAM02969	MAM02969	m02969	tststerone	decrease	HMDB	"['MAR01928', 'MAR01929', 'MAR01932', 'MAR01934', 'MAR01935', 'MAR07935']"
	ENSG00000138079;ENSG00000021488	6519.1;11136.1	MAM02426	MAM02426	m02426	lys_L	increase	HMDB	"['MAR05550', 'MAR05907', 'MAR05908', 'MAR05909', 'MAR05910', 'MAR05911', 'MAR05912', 'MAR05913', 'MAR05914', 'MAR05915', 'MAR05916', 'MAR05917', 'MAR05918', 'MAR05919', 'MAR05920', 'MAR05921', 'MAR05922', 'MAR05923', 'MAR05924', 'MAR05925', 'MAR05926', 'MAR05927', 'MAR05928', 'MAR05929', 'MAR05930', 'MAR05931', 'MAR05932', 'MAR05933', 'MAR05934', 'MAR05935', 'MAR05936', 'MAR05937', 'MAR05938', 'MAR05939', 'MAR05940', 'MAR05941', 'MAR05942', 'MAR05943', 'MAR05944', 'MAR05945', 'MAR05946', 'MAR05947', 'MAR05948', 'MAR05949', 'MAR05950', 'MAR05951', 'MAR05952', 'MAR05953', 'MAR05954', 'MAR05955', 'MAR05956', 'MAR05957', 'MAR05958', 'MAR05959', 'MAR05960', 'MAR05961', 'MAR05962', 'MAR05963', 'MAR05964', 'MAR05965', 'MAR05966', 'MAR05967', 'MAR05968', 'MAR05969', 'MAR05970', 'MAR05971', 'MAR05972', 'MAR05973', 'MAR05974', 'MAR05975', 'MAR05976', 'MAR05977', 'MAR05978', 'MAR05979', 'MAR05980', 'MAR05981', 'MAR05982', 'MAR05983', 'MAR05984', 'MAR05985', 'MAR05986', 'MAR08687', 'MAR02226', 'MAR06891', 'MAR06892']"
Maple Syrup Urine Disease	ENSG00000248098	593.1	MAM03176	MAM03176	2h3mv_	2h3mv	increase	HMDB	"['MAR03800', 'MAR06419', 'MAR06421', 'MAR06416', 'MAR20174', 'MAR20175', 'MAR20176', 'MAR20177']"
	ENSG00000140374;ENSG00000171503;ENSG00000105379	2108.1;2110.1;2109.2;2109.1	MAM02676	MAM02676	m02676	hdcecrn	increase	HMDB	['MAR06911']
	ENSG00000115919	8942.1	MAM02667	MAM02667	m02667	CE2949	increase	HMDB	"['MAR04224', 'MAR04225']"
Isovaleric Acidemia	ENSG00000128928	3712.1	MAM01197	MAM01197	m01197	M01197	increase	HMDB	['MAR03770']
	ENSG00000103150	23417.1	MAM02440	MAM02440	m02440	HC00319	increase	HMDB	"['MAR04105', 'MAR04106', 'MAR04107', 'MAR08787', 'MAR01521', 'MAR01522']"
"Hyperlysinemia I, Familial"	ENSG00000008311	10157.1	MAM02426	MAM02426	m02426	lys_L	increase	HMDB;vmh.life	"['MAR04288', 'MAR04668']"
Xanthinuria Type 1	ENSG00000158125	7498.1	MAM03120	MAM03120	m03120	urate	decrease	HMDB;vmh.life	"['MAR04519', 'MAR04520', 'MAR04646', 'MAR04648', 'MAR04649', 'MAR04650']"
	ENSG00000125454	60386.1	MAM01307	MAM01307	m01307	ala_L	increase	HMDB	"['MAR04933', 'MAR06332', 'MAR06333', 'MAR06334', 'MAR06335', 'MAR06336', 'MAR06337', 'MAR06338', 'MAR06339', 'MAR06340', 'MAR06341', 'MAR06342', 'MAR06343', 'MAR07804', 'MAR07806', 'MAR07808', 'MAR07810', 'MAR07812', 'MAR07814', 'MAR07815', 'MAR07816', 'MAR07818', 'MAR07820', 'MAR07822', 'MAR07824', 'MAR07825', 'MAR07826', 'MAR07827', 'MAR07828', 'MAR07829', 'MAR07830', 'MAR07831', 'MAR07832', 'MAR07833', 'MAR07834', 'MAR07835', 'MAR07836', 'MAR07837', 'MAR07838', 'MAR07839', 'MAR07840', 'MAR07841', 'MAR07842', 'MAR07843', 'MAR07844', 'MAR07845', 'MAR07846', 'MAR07847', 'MAR07848', 'MAR07849', 'MAR07850', 'MAR07851', 'MAR07852', 'MAR07853', 'MAR07854', 'MAR05047', 'MAR20181', 'MAR20182', 'MAR20183']"
	ENSG00000092621	26227.1	MAM02896	MAM02896	m02896	ser_L	decrease	HMDB	"['MAR00719', 'MAR03839']"
	ENSG00000124615	4337.1	MAM02133	MAM02133	m02133	hcys_L	decrease	HMDB	['MAR07145']
	ENSG00000178445	2731.1	MAM01986	MAM01986	m01986	gly	increase	HMDB	['MAR08433']
	ENSG00000109929	6309.1	MAM02805	MAM02805	m02805	7dhchsterol	decrease	HMDB	"['MAR01516', 'MAR01557', 'MAR01558', 'MAR01508']"
Isovaleric Acidemia	ENSG00000128928	3712.1	MAM02564	MAM02564	m02564	nrvnc	increase	HMDB	['MAR03770']
	ENSG00000124615	4337.1	MAM03120	MAM03120	m03120	urate	decrease	HMDB	['MAR07145']
	ENSG00000140459	1583.1	MAM00971	MAM00971	m00971	andrstndn	increase	HMDB	"['MAR01928', 'MAR01929', 'MAR01932', 'MAR01934', 'MAR01935', 'MAR07935']"
	ENSG00000134240	3158.1	MAM02348	MAM02348	m02348	crn	increase	HMDB	['MAR01573']
	ENSG00000127948	5447.1	MAM01660	MAM01660	m01660	dhea	decrease	HMDB	['MAR09501']
	ENSG00000103507	10295.1	MAM01998	MAM01998	m01998	glyclt	decrease	HMDB	['MAR09535']
	ENSG00000101846	412.1	MAM01659	MAM01659	m01659	dheas	increase	HMDB	"['MAR01920', 'MAR07945', 'MAR07948', 'MAR07950', 'MAR07952', 'MAR01953', 'MAR01963', 'MAR02020', 'MAR02025', 'MAR00794', 'MAR01730', 'MAR01847', 'MAR02536', 'MAR02538', 'MAR02539', 'MAR02589', 'MAR02595', 'MAR02597', 'MAR02725', 'MAR02728', 'MAR02743', 'MAR02747', 'MAR02749', 'MAR02756', 'MAR02763', 'MAR03600', 'MAR03601', 'MAR03602', 'MAR03603']"
	ENSG00000144182	51601.1	MAM02770	MAM02770	m02770	pro_L	increase	HMDB	['MAR20168']
	ENSG00000159650	131669.1	MAM03124	MAM03124	m03124	urcan	decrease	HMDB	['MAR04712']
	ENSG00000091483	2271.1	MAM01003	MAM01003	m01003	4hphac	decrease	HMDB	"['MAR04408', 'MAR04410']"
	ENSG00000197249	5265.1	MAM01988	MAM01988	m01988	gchola	increase	HMDB	['MAR05153']
	ENSG00000134240	3158.1	MAM00157	MAM00157	m00157	bhb	decrease	HMDB	['MAR01573']
	ENSG00000189221	4128.1	MAM03136	MAM03136	m03136	3mox4hoxm	decrease	HMDB	['MAR06719']
Tyrosinemia Type I	ENSG00000103876	2184.1	MAM03101	MAM03101	m03101	tyr_L	increase	HMDB;vmh.life	['MAR06778']
	ENSG00000198805	4860.1	MAM02170	MAM02170	m02170	ins	increase	HMDB	"['MAR04574', 'MAR04603', 'MAR04651', 'MAR04663', 'MAR04709', 'MAR08486', 'MAR04662', 'MAR08791']"
	ENSG00000052802	6307.1	MAM01450	MAM01450	m01450	chsterol	decrease	HMDB	['MAR00116']
	ENSG00000197375	6584.1	MAM01388	MAM01388	m01388	M01388	decrease	HMDB	"['MAR02778', 'MAR02787', 'MAR02789', 'MAR02791', 'MAR02793', 'MAR02795', 'MAR02797', 'MAR02799', 'MAR02801', 'MAR02805', 'MAR02807', 'MAR02811', 'MAR02813', 'MAR02815', 'MAR02817', 'MAR02821', 'MAR02823', 'MAR02825', 'MAR02829', 'MAR02831', 'MAR02833', 'MAR02835', 'MAR02837', 'MAR02839', 'MAR02841', 'MAR02843', 'MAR02845', 'MAR02847', 'MAR02849', 'MAR02851', 'MAR02853', 'MAR02855', 'MAR02857', 'MAR02861', 'MAR02863', 'MAR02865', 'MAR02867', 'MAR02869', 'MAR02871', 'MAR02873', 'MAR02875', 'MAR02878', 'MAR02880', 'MAR02884', 'MAR02888', 'MAR02892', 'MAR02896', 'MAR02898', 'MAR02900', 'MAR02902', 'MAR02904', 'MAR02907', 'MAR02910', 'MAR02913', 'MAR02916', 'MAR02919', 'MAR02922', 'MAR02925', 'MAR02928', 'MAR02931', 'MAR08917', 'MAR03026', 'MAR02777', 'MAR09912', 'MAR09913', 'MAR09914', 'MAR09915', 'MAR09916', 'MAR09917', 'MAR09918']"
	ENSG00000140374;ENSG00000171503;ENSG00000105379	2108.1;2110.1;2109.2;2109.1	MAM02635	MAM02635	m02635	c4crn	increase	HMDB	['MAR06911']
	ENSG00000178537	788.1	MAM03408	MAM03408	adpac_	adpac	increase	HMDB	"['MAR00160', 'MAR00162', 'MAR02590', 'MAR00060', 'MAR00064', 'MAR00076', 'MAR00102', 'MAR00105', 'MAR00106', 'MAR00107', 'MAR00110', 'MAR00111', 'MAR00128', 'MAR00143', 'MAR00252', 'MAR00451', 'MAR00465', 'MAR01441', 'MAR01452', 'MAR01482', 'MAR01486', 'MAR01487', 'MAR01491', 'MAR01492', 'MAR01559', 'MAR01588', 'MAR01671', 'MAR01721', 'MAR01755', 'MAR01763', 'MAR01775', 'MAR01799', 'MAR01814', 'MAR04479', 'MAR04645', 'MAR04661', 'MAR04674', 'MAR04677', 'MAR04726', 'MAR04728', 'MAR04782', 'MAR05103', 'MAR06599', 'MAR06689', 'MAR06825']"
	ENSG00000124253	5105.1	MAM01588	MAM01588	m01588	citr_L	decrease	HMDB	['MAR04101']
	ENSG00000134240	3158.1	MAM01450	MAM01450	m01450	chsterol	decrease	HMDB	['MAR01573']
	ENSG00000178814	26873.1	MAM01127	MAM01127	m01127	5oxpro	increase	HMDB	['MAR03889']
	ENSG00000136872	229.1	MAM03120	MAM03120	m03120	urate	increase	HMDB	"['MAR08773', 'MAR01038']"
	ENSG00000070915	6559.1	MAM02482	MAM02482	m02482	mg2	decrease	HMDB	['MAR06524']
	ENSG00000091483	2271.1	MAM01306	MAM01306	m01306	akg	increase	HMDB	"['MAR04408', 'MAR04410']"
