exchangeIDs	exchangeMets	exp_HS_578T	HS_578T	exp_RPMI_8226	RPMI_8226	exp_HT29	HT29	exp_MALME_3M	MALME_3M	exp_SR	SR	exp_UO_31	UO_31	exp_MDMAMB_231	MDMAMB_231	exp_HOP62	HOP62	exp_NCI_H226	NCI_H226	exp_HOP92	HOP92	exp_O_786	O_786
MAR09034	glucose	-0.891204517	-0.108391311247388	-0.437346135	-0.111474055066337	-0.826120427	-0.124573159359327	-0.848562996	-0.124378049962446	-0.898948663	-0.126045972158962	-0.549041759	-0.0663739483006725	-0.479477546	-0.0827985365024336	-0.26705905	-0.0660901101397805	-0.398649261	-0.118051135589888	-0.594208072	-0.0532367079985565	-0.864113881	-0.041519322470932
MAR09039	isoleucine	-0.013615722	-0.000837036790723743	-0.005558778	-0.000828429633587694	-0.008957816	-0.000924112431174232	-0.01142058	-0.000933824954253544	-0.004599992	-0.000924996801355911	-0.00973818	-0.000495788582958228	-0.005568708	-0.000621585101821203	-0.003331967	-0.000494374401481427	-0.007996597	-0.000872697278596415	-0.007304317	-0.000395048787584652	-0.00889841	-0.000312192364749885
MAR09040	leucine	-0.01834798	-0.00170701839550336	-0.007998895	-0.00168946531333654	-0.016259326	-0.00188459687436651	-0.012571768	-0.00190440419436352	-0.00879963	-0.00188614949369737	-0.009163894	-0.00101109083945816	-0.006592535	-0.00138169487275239	-0.004904579	-0.00100820681593347	-0.009283825	-0.00177974292740672	-0.00911516	-0.000878137012443738	-0.010361673	-0.000636672265149733
MAR09041	lysine	-0.022543147	-0.00133874131509399	-0.009620991	-0.00132497518558662	-0.017307958	-0.00147800849988349	-0.009254128	-0.00149354253143883	-0.015465749	-0.00147931188061316	-0.005490858	-0.000792955180601067	-0.006015855	-0.000994151829258827	-0.006186391	-0.000790693364643852	-0.009191799	-0.00139577604637536	-0.013165857	-0.000631833796648385	-0.012443708	-0.000499314751250286
MAR09042	methionine	-0.006100296	-0.000418020898103869	-0.002496251	-0.000414576836758767	-0.004789793	-0.000461506964460176	-0.003363566	-0.00046732055436529	-0.004351409	-0.000463935621771822	-0.001823891	-0.000248110948824692	-0.001426579	-0.000311064180760178	-0.001965335	-0.000246893366691972	-0.00289763	-0.000435829947040018	-0.002318728	-0.000197697028307588	-0.003263032	-0.000155910629186417
MAR09043	phenylalanine	-0.006567123	-0.000708002544693996	-0.002744675	-0.000700722232499313	-0.005369239	-0.000781654952453157	-0.003162452	-0.000789870231795427	-0.004906518	-0.000782134106799874	-0.002358298	-0.000419359796671717	-0.00220937	-0.000525764026994285	-0.002257474	-0.000418163619758909	-0.003408873	-0.000738165754290852	-0.003510565	-0.000334149645496912	-0.00339599	-0.000264066037630005
MAR09044	threonine	-0.013603744	-0.00127358991766893	-0.006411995	-0.00105010661595306	-0.011510289	-0.0011713928842187	-0.009353784	-0.00118370435200023	-0.009821513	-0.00117183279460058	-0.005220614	-0.000628455151735365	-0.004979441	-0.000787913180958423	-0.005240142	-0.000626662553710453	-0.007183311	-0.00110621970632502	-0.008527731	-0.000500758698925712	-0.008802744	-0.000395730976273897
MAR09045	tryptophan	-0.001211726	-0.0260307229841725	-0.000695832	-0.000181580959316983	-0.00138647	-0.000202553379268517	-0.000865457	-0.00020468223751625	-0.00133912	-0.000202677544453953	-0.000421306	-0.000108670384136413	-0.00035138	-0.000136243338612888	-0.000467773	-0.000108360414020914	-0.000944004	-0.000191283849123781	-0.000954767	-8.65895362964933e-05	-0.000725178	-6.84284902233896e-05
MAR09046	valine	-0.01330341	-0.00125205289574854	-0.006165194	-0.0012391781737103	-0.011472903	-0.00138230201858689	-0.008788208	-0.00139683016451935	-0.010175864	-0.00138338778654763	-0.005794702	-0.000741608418950356	-0.004841612	-0.000929776845312222	-0.005347229	-0.000739493063887394	-0.007691297	-0.00130539441860583	-0.009105286	-0.00059092023664771	-0.010005055	-0.000466982286379197
MAR09061	alanine	0.056209087	-0.00153141854513883	0.014127935	-0.0015377409402381	0.055245815	0	0.022787714	-0.00173337698816111	0.086767953	-0.00171651920414053	0.025716586	-0.000920288665213228	0.018852115	-0.00115379365990697	0.009601013	-0.000917663644733954	0.012695001	-0.00161991106947773	0.032353203	-0.000733294258716349	0.0076389	-0.000579495181053089
MAR09062	asparagine	-0.00571363	-0.000697630691276023	-0.002018538	-0.000690457031707784	-0.002396685	-0.000770204131194061	-0.004913882	-0.000778299061148091	-0.001222105	-0.000770716002367617	0.000345758	-0.000413216403017179	-0.001988739	-0.000518061869055312	-0.001628876	-0.000412037749447606	-0.001922615	-0.000727352026206046	-0.002382279	-0.000329254534358209	-0.002440472	-0.000260197613348922
MAR09063	glutamine	-0.226698917	-0.0030744141972693	-0.146252447	-0.00134564231204954	-0.228850691	-0.001501062658869	-0.122203241	-0.00151683899216562	-0.219496506	-0.00150210201854639	-0.124230534	-0.000805323793368448	-0.078432974	-0.00100669890972441	-0.091938612	-0.000803026697326797	-0.094750789	-0.0021573958217491	-0.123594044	-0.000639808101230545	-0.109775824	-0.00077366381972449
MAR09064	tyrosine	-0.007986935	-0.000530464661874521	-0.003674763	-0.000525009952176602	-0.008123502	-0.000585648078757711	-0.004482545	-0.000591803304344343	-0.006833216	-0.000586007080925742	-0.002693864	-0.000314201628811062	-0.003180849	-0.000393924059871638	-0.00311885	-0.000313305403809683	-0.004976546	-0.000553064180618853	-0.004926558	-0.000250358674615528	-0.003969672	-0.000197849149574015
MAR09066	arginine	-0.027206388	-0.000952265878821507	-0.006832754	-0.000942473833662742	-0.011382525	-0.0010513286227731	-0.00129978	-0.00106237820198897	-0.005431378	-0.00105197308703172	-0.006102876	-0.000564040381369816	-0.007139201	-0.000707154440292075	-0.001574063	-0.000562431519272303	-0.00338457	-0.000992835500371727	-0.012814136	-0.000449432432427965	-0.009856139	-0.000355169736712364
MAR09067	glycine	-0.000802262	-0.00138442813938257	-0.000306523	-0.00139053553939536	0.003908824	-0.00155114100926086	0.016061208	-0.00156744367151655	0.008171299	-0.0015515752881064	0.004334714	-0.000832276173008442	0.006385996	-0.00104334289817455	0.002939872	-0.000829817219418028	0.000604886	-0.00144605477295068	-0.00039991	-0.000663097210263374	0.0025653	-0.000516354716363653
MAR09068	proline	0.000605661	-0.000957965810731042	-0.000675569	-0.000948115153800185	0.005380916	-0.00105762150976782	-0.001069608	-0.00106873722791669	0.00710491	-0.00105846851245621	0.001186608	-0.000567416530657045	0.001436971	-0.000711387220494363	0.001361038	-0.000565798038471327	0.002203858	-0.000998778267906874	0.002435376	-0.000452122578446792	0.000231007	-0.000357295659063056
MAR09069	serine	-0.0325857	-0.00185974286261398	-0.016314407	-0.0113285921853718	-0.033339735	-0.010873127863252	-0.024670565	-0.00988141686087569	-0.031649758	-0.00913669021398141	-0.011636228	-0.0158729809536883	-0.016568732	-0.00110041912999489	-0.017833616	-0.0156242740537514	-0.021499214	-0.0301506560975971	-0.022222852	-0.000699372043933713	-0.030117158	-0.0108546651382039
MAR09070	aspartate	-0.001934168	-0.00174005572643605	-0.000782986	-0.00134727651115757	-0.004150227	-0.00321823409363489	0.001500354	-0.00151585030146892	-0.012462967	-0.00150116274743469	0.000128843	-0.000806301809155485	-0.00113204	-0.00089682511211131	-0.006761827	-0.000802503276562389	0.002611711	-0.00178654770603656	-0.000494245	-0.000569977742672721	-0.000684778	-0.000640999317328487
MAR09071	glutamate	0.02678411	0	0.056588804	-0.00169630362110146	0.042193442	-0.00189222499986752	0.016112564	-0.00191211249230079	0.011390914	-0.00189425912937674	0.038522979	-0.00101518334747471	0.00917449	-0.00127572580799557	0.016202008	-0.00101228765052867	0.01664521	-0.00104709835599001	0.015988165	-0.00081078830921541	0.018807129	-0.000372688574985181
MAR09083	choline	-0.002044274	-0.00043459136231053	-0.000545279	-0.000429268105680082	-0.000966912	-0.000479801228384301	-0.001938647	-0.000483880890901007	-0.000844902	-0.000479141678174302	-0.000249379	-0.000256903202391011	-0.000990661	-0.000322087294272898	-0.000451292	-0.000256680288145393	-0.001591875	-0.000452656338389349	-0.00136736	-0.000204702774770702	-0.000571763	-0.000161929979807062
MAR09087	ornithine	0.007885861	0	0.000643202	0	0.003060358	0	-0.002311655	0	-0.001427155	0	0.001458248	0	0.001948405	0	0.001635996	0	-0.001200326	0	0.009506915	0	0.01603422	0
MAR09133	pyruvate	2.51e-07	0	6.64e-08	0	1.15e-07	0	2.87e-07	0	1.52e-07	0	5.61e-08	0	5.85e-08	0.00183874621067258	3.08e-08	0	4.95e-08	0	1.05e-07	0.00102034884802683	5.76e-08	0
