exchangeIDs	exchangeMets	exp_HS_578T	HS_578T	exp_RPMI_8226	RPMI_8226	exp_HT29	HT29	exp_MALME_3M	MALME_3M	exp_SR	SR	exp_UO_31	UO_31	exp_MDMAMB_231	MDMAMB_231	exp_HOP62	HOP62	exp_NCI_H226	NCI_H226	exp_HOP92	HOP92	exp_O_786	O_786
MAR09034	glucose	-0.891204517	-0.891204517	-0.437346135	-0.437346135	-0.826120427	-0.826120427	-0.848562996	-0.848562996	-0.898948663	-0.898948663	-0.549041759	-0.549041759	-0.479477546	-0.479477546	-0.26705905	-0.26705905	-0.398649261	-0.398649261	-0.594208072	-0.594208072	-0.864113881	-0.864113881
MAR09039	isoleucine	-0.013615722	-11.6731843119601	-0.005558778	-11.5532226139707	-0.008957816	-5.78418761568895	-0.01142058	-11.6316087707557	-0.004599992	-11.5438975660931	-0.00973818	-11.704737267548	-0.005568708	-11.6087642937227	-0.003331967	-11.7260375946041	-0.007996597	-11.6224210069528	-0.007304317	-11.5447286807465	-0.00889841	-11.694880120882
MAR09040	leucine	-0.01834798	-23.8058118537273	-0.007998895	-23.5611669020441	-0.016259326	-11.7960342633046	-0.012571768	-23.7210244054031	-0.00879963	-23.5421497830326	-0.009163894	-23.8669844465244	-0.006592535	-23.6744363187585	-0.004904579	-23.9135986639798	-0.009283825	-23.702287257886	-0.00911516	-23.5407129237035	-0.010361673	-23.850057393882
MAR09041	lysine	-0.022543147	-18.6698772268012	-0.009620991	-18.4780126838003	-0.017307958	-9.25112375130174	-0.009254128	-18.6033820675388	-0.015465749	-18.4630983729869	-0.005490858	-18.7139089115795	-0.006015855	-18.5668450293049	-0.006186391	-18.7544097992019	-0.009191799	-18.5886873263607	-0.013165857	-18.4580820570311	-0.012443708	-18.7045771062927
MAR09042	methionine	-0.006100296	-5.82965413694467	-0.002496251	-5.76974458782172	-0.004789793	-2.89462147140555	-0.003363566	-5.80889107698599	-0.004351409	-5.76508760627456	-0.001823891	-5.84340299507621	-0.001426579	-5.79748241620563	-0.001965335	-5.8560493646377	-0.00289763	-5.80430265588073	-0.002318728	-5.76600096826493	-0.003263032	-5.84048914638644
MAR09043	phenylalanine	-0.006567123	-9.87369287603687	-0.002744675	-9.77222399392375	-0.005369239	-4.89252037219816	-0.003162452	-9.83852645408749	-0.004906518	-9.76433645815476	-0.002358298	-9.89697933513	-0.00220937	-9.81920359032473	-0.002257474	-9.91839850788257	-0.003408873	-9.83075503922907	-0.003510565	-9.76168354498801	-0.00339599	-9.89204414577327
MAR09044	threonine	-0.013603744	-14.796776428847	-0.006411995	-14.6447145425839	-0.011510289	-7.33196090154803	-0.009353784	-14.7440758142016	-0.009821513	-14.6328942333224	-0.005220614	-14.8251370740278	-0.004979441	-14.715118452589	-0.005240142	-14.8637725616857	-0.007183311	-14.7324295244456	-0.008527731	-14.622471334667	-0.008802744	-14.8242777537195
MAR09045	tryptophan	-0.001211726	-2.55860959061806	-0.000695832	-2.53231555269492	-0.00138647	-1.26781840429545	-0.000865457	-2.5494967748158	-0.00133912	-2.53027162395233	-0.000421306	-2.56464390405227	-0.00035138	-2.54448956371836	-0.000467773	-2.57019434009641	-0.000944004	-2.54748293694996	-0.000954767	-2.52958416393542	-0.000725178	-2.56336502866308
MAR09046	valine	-0.01330341	-17.4609340740672	-0.006165194	-17.2814934652302	-0.011472903	-8.65207949523263	-0.008788208	-17.3987447207029	-0.010175864	-17.2675449108445	-0.005794702	-17.5051314306594	-0.004841612	-17.3645735899497	-0.005347229	-17.5399928517908	-0.007691297	-17.3850015180118	-0.009105286	-17.2658290629112	-0.010005055	-17.4933870088573
MAR09061	alanine	0.056209087	-518.943085616346	0.014127935	0	0.055245815	766.239395695774	0.022787714	0	0.086767953	0	0.025716586	0	0.018852115	0	0.009601013	-242.393826014919	0.012695001	0	0.032353203	0	0.0076389	0
MAR09062	asparagine	-0.00571363	-9.72904862867954	-0.002018538	-9.62906621067542	-0.002396685	-4.82084760135125	-0.004913882	-9.69439737574534	-0.001222105	-9.62129422302902	0.000345758	-9.75249676797185	-0.001988739	-9.67535758146032	-0.001628876	-9.77309934725701	-0.001922615	-9.68673980790112	-0.002382279	-9.61917611412381	-0.002440472	-9.74713106226392
MAR09063	glutamine	-0.226698917	-42.9682645440272	-0.146252447	-91.0634114439075	-0.228850691	-234.593749851733	-0.122203241	-23.5182778296092	-0.219496506	-80.0708987102109	-0.124230534	-23.6665530074793	-0.078432974	-23.4720879371942	-0.091938612	-72.359719946146	-0.094750789	-33.3528635475559	-0.123594044	-23.3430214651106	-0.109775824	-33.5607994791639
MAR09064	tyrosine	-0.007986935	-7.39777729923755	-0.003674763	-7.3217526342922	-0.008123502	-3.66567773576861	-0.004482545	-7.3714291677677	-0.006833216	-7.31584296768704	-0.002693864	-7.41522447332161	-0.003180849	-7.35695168252533	-0.00311885	-7.43127259958461	-0.004976546	-7.3656065037306	-0.004926558	-7.31385529589618	-0.003969672	-7.41152682622555
MAR09066	arginine	-0.027206388	-13.2801511721638	-0.006832754	-13.143675173705	-0.011382525	-327.006960128018	-0.00129978	-13.2328522126422	-0.005431378	-13.1330664107322	-0.006102876	-13.3114715404296	-0.007139201	-13.2068628938463	-0.001574063	-13.3402804020894	-0.00338457	-13.222399632697	-0.012814136	-15.2087516323466	-0.009856139	-13.3048336936236
MAR09067	glycine	-0.000802262	-14.6455717357027	-0.000306523	-19.3803974380485	0.003908824	195.134270331292	0.016061208	-19.5118893103072	0.008171299	-14.4714584055813	0.004334714	0	0.006385996	0	0.002939872	-19.670292571193	0.000604886	-14.581882376812	-0.00039991	0	0.0025653	-14.660730507927
