cellNames	media1	glucose	L_lactate	threonine
HS_578T	1370.19130990461	1356.19499993031	1356.19499993031	0.251121459979728
RPMI_8226	2655.70322929048	2630.57146254945	2630.57146254945	0.149293516059877
HT29	1045.20402496965	1034.18199728824	1034.18199728825	0.215747555570157
MALME_3M	2372.80986564385	2363.48681432414	2363.48681432414	0.477846829797425
SR	2526.58530326024	2498.81453168554	2498.81453168555	0.683423496289317
UO_31	3743.68881383755	3735.98037593946	3735.98037593946	0.316232679183664
MDMAMB_231	4467.1438254345	4423.94364123932	4423.94364123933	0.497488092011014
HOP62	4256.67966709992	4247.79500461611	4247.79500461611	0.500811926040897
NCI_H226	2682.01695120702	2653.6858246839	2653.6858246839	0.30935494422338
HOP92	2150.49439501629	2142.38324424359	2142.38324424359	0.234194032011593
O_786	1876.63474021412	1851.69510921707	1851.69510921707	0.113103967174556
