Gene_id	Biomarker	Exp_(abnormal/normal)	Simulation	Comparation
5832.1	orn	decrease	0.0	0.0
5053.1	homoval	decrease	-0.0	0.0
6888.1	dhap	decrease	0.0	0.0
175.1	M02513	increase	No_result	No_result
3712.1	ocdcea	increase	0.0	0
1583.1	crtsl	decrease	-1.0	1
1583.1	5adtststerone	decrease	-1.0	1
1738.1	hco3	decrease	0.0	0
4128.1	tym	increase	-0.0	0
22934.1	xylu_L	decrease	156.9898	0
1738.1	ile_L	increase	0.0	0
162417.1	orot	increase	-0.0	0
1583.1	tststerone	decrease	-1.0	1
6519.1;11136.1	lys_L	increase	0.0	0
593.1	2h3mv	increase	50.0229	1
2108.1;2110.1;2109.2;2109.1	hdcecrn	increase	No_result	No_result
8942.1	CE2949	increase	141.3042	1
3712.1	M01197	increase	0.0	0
23417.1	HC00319	increase	No_result	No_result
10157.1	lys_L	increase	88.384	1
7498.1	urate	decrease	-0.0	0
60386.1	ala_L	increase	0.0	0
26227.1	ser_L	decrease	0.0	0
4337.1	hcys_L	decrease	-0.0	0
2731.1	gly	increase	0.0	0
6309.1	7dhchsterol	decrease	0.0	0
3712.1	nrvnc	increase	-0.0	0
4337.1	urate	decrease	0.0	0
1583.1	andrstndn	increase	-1.0	0
3158.1	crn	increase	No_result	No_result
5447.1	dhea	decrease	-0.0	0
10295.1	glyclt	decrease	0.0	0
412.1	dheas	increase	1.1659	1
51601.1	pro_L	increase	0.0	0
131669.1	urcan	decrease	43.5631	0
2271.1	4hphac	decrease	-0.0	0
5265.1	gchola	increase	7.1786	1
3158.1	bhb	decrease	0.0	0
4128.1	3mox4hoxm	decrease	0.0	0
2184.1	tyr_L	increase	15610.4813	1
4860.1	ins	increase	0.0	0
6307.1	chsterol	decrease	0.3361	0
6584.1	M01388	decrease	0.0	0
2108.1;2110.1;2109.2;2109.1	c4crn	increase	No_result	No_result
788.1	adpac	increase	0.0	0
5105.1	citr_L	decrease	0.0314	0
3158.1	chsterol	decrease	0.0	0
26873.1	5oxpro	increase	0.0	0
229.1	urate	increase	0.0	0
6559.1	mg2	decrease	No_result	No_result
2271.1	akg	increase	0.0	0
4056.1;4056.2	leuktrD4	decrease	0.0	0
1371.1	C05769	decrease	221.5258	0
11019.1	gly	increase	0.0	0
4524.1	hcys_L	increase	0.0	0
3712.1	lnlc	increase	0.0	0
5832.1	nh4	increase	0.0	0
1373.1;1373.2	gly	decrease	0.5337	0
55163.1	CE2176	increase	0.0	0
2271.1	pyr	increase	0.0	0
51601.1	lys_L	increase	-0.0	0
51601.1	akg	increase	0.0	0
10295.1	ile_L	decrease	-0.0	0
