Row	AdultMale_Adipocytes	ElderlyMale_Adipocytes	AdultFemale_Adipocytes	ElderlyFemale_Adipocytes	AdultMale_Agland	ElderlyMale_Agland	AdultFemale_Agland	ElderlyFemale_Agland	AdultMale_Brain	ElderlyMale_Brain	AdultFemale_Brain	ElderlyFemale_Brain	AdultMale_Colon	ElderlyMale_Colon	AdultFemale_Colon	ElderlyFemale_Colon	AdultMale_Heart	ElderlyMale_Heart	AdultFemale_Heart	ElderlyFemale_Heart	AdultMale_Kidney	ElderlyMale_Kidney	AdultFemale_Kidney	ElderlyFemale_Kidney	AdultMale_Liver	ElderlyMale_Liver	AdultFemale_Liver	ElderlyFemale_Liver	AdultMale_Lung	ElderlyMale_Lung	AdultFemale_Lung	ElderlyFemale_Lung	AdultMale_Muscle	ElderlyMale_Muscle	AdultFemale_Muscle	ElderlyFemale_Muscle	AdultMale_Pancreas	ElderlyMale_Pancreas	AdultFemale_Pancreas	ElderlyFemale_Pancreas	AdultMale_Scord	ElderlyMale_Scord	AdultFemale_Scord	ElderlyFemale_Scord	AdultMale_sIEC	ElderlyMale_sIEC	AdultFemale_sIEC	ElderlyFemale_sIEC	AdultMale_Skin	ElderlyMale_Skin	AdultFemale_Skin	ElderlyFemale_Skin	AdultMale_Spleen	ElderlyMale_Spleen	AdultFemale_Spleen	ElderlyFemale_Spleen	AdultMale_Stomach	ElderlyMale_Stomach	AdultFemale_Stomach	ElderlyFemale_Stomach	AdultMale_Thyroidgland	ElderlyMale_Thyroidgland	AdultFemale_Thyroidgland	ElderlyFemale_Thyroidgland	AdultMale_Urinarybladder	ElderlyMale_Urinarybladder	AdultFemale_Urinarybladder	ElderlyFemale_Urinarybladder
Acyl-CoA hydrolysis	8.1580297588507	8.1580297588507	8.1580297588507	8.1580297588507	8.1580297588507	8.1580297588507	8.1580297588507	8.1580297588507	8.1580297588507	6.41354540790149	6.41354540790149	6.41354540790149	8.1580297588507	8.1580297588507	8.1580297588507	8.1580297588507	6.41354540790149	6.41354540790149	6.41354540790149	6.41354540790149	8.1580297588507	8.1580297588507	8.1580297588507	8.1580297588507	8.1580297588507	8.1580297588507	8.1580297588507	8.1580297588507	8.1580297588507	8.1580297588507	8.1580297588507	8.1580297588507	8.1580297588507	8.1580297588507	8.1580297588507	8.1580297588507	-100	-100	-100	-98.2555156490508	8.1580297588507	6.41354540790149	6.41354540790149	6.41354540790149	8.1580297588507	8.1580297588507	8.1580297588507	8.1580297588507	8.1580297588507	8.1580297588507	8.1580297588507	8.1580297588507	8.1580297588507	8.1580297588507	8.1580297588507	8.1580297588507	8.1580297588507	8.1580297588507	8.1580297588507	-96.5110312981016	8.1580297588507	8.1580297588507	8.1580297588507	8.1580297588507	8.1580297588507	8.1580297588507	8.1580297588507	6.41354540790149
Alanine, aspartate and glutamate metabolism	12.3524783634933	12.3524783634933	17.7025963808025	17.7025963808025	-9.04799370574351	-9.04799370574351	1.6522423288749	-19.7482297403619	12.3524783634933	7.00236034618411	7.00236034618411	7.00236034618411	-19.7482297403619	-30.4484657749803	-30.4484657749803	-25.0983477576711	-25.0983477576711	-19.7482297403619	-25.0983477576711	-25.0983477576711	33.7529504327301	23.0527143981117	-3.6978756884343	33.7529504327301	44.4531864673485	44.4531864673485	44.4531864673485	44.4531864673485	-3.6978756884343	-19.7482297403619	-3.6978756884343	-19.7482297403619	-25.0983477576711	-25.0983477576711	-25.0983477576711	-25.0983477576711	-9.04799370574351	7.00236034618411	1.6522423288749	7.00236034618411	23.0527143981117	33.7529504327301	-9.04799370574351	28.4028324154209	1.6522423288749	1.6522423288749	1.6522423288749	1.6522423288749	1.6522423288749	7.00236034618411	12.3524783634933	7.00236034618411	-25.0983477576711	-19.7482297403619	-25.0983477576711	-19.7482297403619	1.6522423288749	1.6522423288749	12.3524783634933	1.6522423288749	1.6522423288749	1.6522423288749	1.6522423288749	12.3524783634933	-9.04799370574351	-3.6978756884343	7.00236034618411	-30.4484657749803
Amino sugar and nucleotide sugar metabolism	29.5825771324864	29.5825771324864	29.5825771324864	29.5825771324864	-25.9528130671506	-19.7822141560799	-7.4410163339383	-25.9528130671506	-7.4410163339383	-19.7822141560799	-13.6116152450091	-19.7822141560799	35.7531760435572	4.90018148820326	41.9237749546279	11.070780399274	-32.1234119782214	-38.2940108892922	-32.1234119782214	-32.1234119782214	-19.7822141560799	-13.6116152450091	-13.6116152450091	4.90018148820326	-13.6116152450091	-32.1234119782214	17.2413793103448	-32.1234119782214	41.9237749546279	41.9237749546279	41.9237749546279	41.9237749546279	-32.1234119782214	-32.1234119782214	-25.9528130671506	-25.9528130671506	-44.464609800363	-38.2940108892922	-38.2940108892922	-38.2940108892922	11.070780399274	-13.6116152450091	-19.7822141560799	-7.4410163339383	29.5825771324864	29.5825771324864	29.5825771324864	29.5825771324864	-7.4410163339383	-7.4410163339383	4.90018148820326	-19.7822141560799	11.070780399274	4.90018148820326	11.070780399274	4.90018148820326	11.070780399274	4.90018148820326	11.070780399274	4.90018148820326	35.7531760435572	35.7531760435572	41.9237749546279	-1.27041742286752	23.4119782214156	4.90018148820326	4.90018148820326	4.90018148820326
Androgen metabolism	51.6728624535316	51.6728624535316	51.6728624535316	51.6728624535316	127.509293680297	127.509293680297	127.509293680297	127.509293680297	-87.360594795539	-100	-74.7211895910781	-49.4423791821561	1.11524163568773	-49.4423791821561	1.11524163568773	-74.7211895910781	-36.8029739776952	-100	-36.8029739776952	-36.8029739776952	-24.1635687732342	-24.1635687732342	1.11524163568773	89.5910780669145	26.3940520446097	26.3940520446097	89.5910780669145	26.3940520446097	1.11524163568773	64.3122676579926	39.0334572490706	64.3122676579926	-24.1635687732342	-24.1635687732342	-49.4423791821561	-24.1635687732342	-87.360594795539	-87.360594795539	-87.360594795539	1.11524163568773	-11.5241635687732	-74.7211895910781	-11.5241635687732	-74.7211895910781	76.9516728624535	13.7546468401487	13.7546468401487	76.9516728624535	26.3940520446097	26.3940520446097	26.3940520446097	26.3940520446097	-49.4423791821561	-49.4423791821561	-49.4423791821561	-74.7211895910781	1.11524163568773	1.11524163568773	1.11524163568773	1.11524163568773	1.11524163568773	1.11524163568773	1.11524163568773	1.11524163568773	1.11524163568773	1.11524163568773	76.9516728624535	-49.4423791821561
Arachidonic acid metabolism	37.4785428189967	37.4785428189967	37.4785428189967	37.4785428189967	23.2119015830631	23.2119015830631	23.2119015830631	23.2119015830631	-87.0303261491513	-88.3272935342361	-75.3576196833874	-75.3576196833874	37.4785428189967	23.2119015830631	23.2119015830631	23.2119015830631	-75.3576196833874	-80.5454892237269	-75.3576196833874	-80.5454892237269	12.8361625023841	-84.4363913789815	23.2119015830631	37.4785428189967	23.2119015830631	23.2119015830631	23.2119015830631	23.2119015830631	38.7755102040816	37.4785428189967	38.7755102040816	38.7755102040816	-87.0303261491513	-87.0303261491513	-87.0303261491513	-92.2181956894907	34.884608048827	-83.1394239938966	-75.3576196833874	34.884608048827	-75.3576196833874	-75.3576196833874	-75.3576196833874	-75.3576196833874	37.4785428189967	37.4785428189967	37.4785428189967	37.4785428189967	41.3694449742514	41.3694449742514	41.3694449742514	41.3694449742514	37.4785428189967	37.4785428189967	37.4785428189967	38.7755102040816	37.4785428189967	20.6179668128934	23.2119015830631	20.6179668128934	23.2119015830631	23.2119015830631	23.2119015830631	23.2119015830631	37.4785428189967	38.7755102040816	37.4785428189967	20.6179668128934
Arginine and proline metabolism	12.0494335736354	14.3837967730862	12.0494335736354	12.0494335736354	7.38070717473396	7.38070717473396	7.38070717473396	7.38070717473396	-15.9629248197734	-15.9629248197734	-13.6285616203227	-15.9629248197734	-8.95983522142121	-4.29110882251973	-4.29110882251973	5.04634397528322	-22.9660144181256	-6.62547202197047	-6.62547202197047	-22.9660144181256	16.7181599725369	9.71507037418469	7.38070717473396	23.7212495708891	2.71198077583248	2.71198077583248	2.71198077583248	-4.29110882251973	14.3837967730862	2.71198077583248	14.3837967730862	2.71198077583248	-18.2972880192242	-18.2972880192242	-18.2972880192242	-18.2972880192242	-27.6347408170271	-25.3003776175764	-27.6347408170271	-29.9691040164779	-20.6316512186749	-18.2972880192242	-15.9629248197734	-18.2972880192242	5.04634397528322	2.71198077583248	2.71198077583248	0.377617576381742	9.71507037418469	9.71507037418469	9.71507037418469	12.0494335736354	12.0494335736354	16.7181599725369	12.0494335736354	14.3837967730862	5.04634397528322	2.71198077583248	2.71198077583248	2.71198077583248	19.0525231719876	19.0525231719876	19.0525231719876	16.7181599725369	7.38070717473396	9.71507037418469	7.38070717473396	-4.29110882251973
Ascorbate and aldarate metabolism	36	-9.33333333333334	-9.33333333333334	-9.33333333333334	-9.33333333333334	-9.33333333333334	-9.33333333333334	-9.33333333333334	-9.33333333333334	-54.6666666666667	-54.6666666666667	-54.6666666666667	-9.33333333333334	-54.6666666666667	-9.33333333333334	-54.6666666666667	-9.33333333333334	-9.33333333333334	-9.33333333333334	-9.33333333333334	-9.33333333333334	-9.33333333333334	-9.33333333333334	-9.33333333333334	36	36	36	36	-9.33333333333334	36	36	36	-9.33333333333334	-9.33333333333334	-9.33333333333334	-9.33333333333334	-54.6666666666667	-54.6666666666667	-54.6666666666667	-54.6666666666667	172	126.666666666667	-9.33333333333334	-54.6666666666667	81.3333333333333	81.3333333333333	81.3333333333333	81.3333333333333	-9.33333333333334	-54.6666666666667	-9.33333333333334	-9.33333333333334	36	-9.33333333333334	36	-9.33333333333334	-9.33333333333334	-9.33333333333334	36	-9.33333333333334	-54.6666666666667	-54.6666666666667	-9.33333333333334	-9.33333333333334	-9.33333333333334	36	-9.33333333333334	-9.33333333333334
Beta oxidation of branched-chain fatty acids (mitochondrial)	-5.39130434782608	-5.39130434782608	-5.39130434782608	-5.39130434782608	53.7391304347826	53.7391304347826	53.7391304347826	-5.39130434782608	-5.39130434782608	-100	-5.39130434782608	-100	-5.39130434782608	-5.39130434782608	-5.39130434782608	-5.39130434782608	-5.39130434782608	-5.39130434782608	-5.39130434782608	-5.39130434782608	53.7391304347826	53.7391304347826	53.7391304347826	53.7391304347826	53.7391304347826	53.7391304347826	53.7391304347826	53.7391304347826	-5.39130434782608	-5.39130434782608	-5.39130434782608	-5.39130434782608	-5.39130434782608	-5.39130434782608	-5.39130434782608	-5.39130434782608	-100	-100	-100	-100	-5.39130434782608	-5.39130434782608	-100	-100	53.7391304347826	53.7391304347826	-5.39130434782608	53.7391304347826	-5.39130434782608	53.7391304347826	-5.39130434782608	-5.39130434782608	-5.39130434782608	-5.39130434782608	-5.39130434782608	-5.39130434782608	53.7391304347826	53.7391304347826	53.7391304347826	-5.39130434782608	-5.39130434782608	-5.39130434782608	-5.39130434782608	-5.39130434782608	-5.39130434782608	53.7391304347826	-5.39130434782608	-5.39130434782608
Beta oxidation of di-unsaturated fatty acids (n-6) (peroxisomal)	-6.84931506849315	-6.84931506849315	-6.84931506849315	-6.84931506849315	-6.84931506849315	-6.84931506849315	-6.84931506849315	-6.84931506849315	-53.4246575342466	-53.4246575342466	-53.4246575342466	-53.4246575342466	-6.84931506849315	-6.84931506849315	-6.84931506849315	-6.84931506849315	-53.4246575342466	-100	-53.4246575342466	-100	194.977168949772	194.977168949772	-68.9497716894977	194.977168949772	194.977168949772	194.977168949772	194.977168949772	194.977168949772	-6.84931506849315	-6.84931506849315	-6.84931506849315	-53.4246575342466	-6.84931506849315	-6.84931506849315	-6.84931506849315	-6.84931506849315	-6.84931506849315	-6.84931506849315	-6.84931506849315	-6.84931506849315	-53.4246575342466	-53.4246575342466	-100	-100	-6.84931506849315	-6.84931506849315	-6.84931506849315	-6.84931506849315	-6.84931506849315	-6.84931506849315	-6.84931506849315	-6.84931506849315	-6.84931506849315	-6.84931506849315	-53.4246575342466	-6.84931506849315	-6.84931506849315	-6.84931506849315	-6.84931506849315	-6.84931506849315	-6.84931506849315	-6.84931506849315	-6.84931506849315	-6.84931506849315	-6.84931506849315	-6.84931506849315	-6.84931506849315	-53.4246575342466
Beta oxidation of even-chain fatty acids (mitochondrial)	4.90358126721763	4.90358126721763	4.90358126721763	4.90358126721763	4.90358126721763	4.90358126721763	4.90358126721763	4.90358126721763	4.90358126721763	-38.1818181818182	4.90358126721763	-34.435261707989	4.90358126721763	3.03030303030303	3.03030303030303	4.90358126721763	3.03030303030303	1.15702479338843	3.03030303030303	3.03030303030303	10.5234159779614	10.5234159779614	10.5234159779614	10.5234159779614	10.5234159779614	10.5234159779614	10.5234159779614	10.5234159779614	4.90358126721763	4.90358126721763	3.03030303030303	4.90358126721763	4.90358126721763	4.90358126721763	4.90358126721763	4.90358126721763	-38.1818181818182	-40.0550964187328	-38.1818181818182	-38.1818181818182	3.03030303030303	3.03030303030303	-40.0550964187328	-40.0550964187328	4.90358126721763	3.03030303030303	4.90358126721763	3.03030303030303	4.90358126721763	4.90358126721763	4.90358126721763	4.90358126721763	4.90358126721763	4.90358126721763	3.03030303030303	3.03030303030303	4.90358126721763	4.90358126721763	3.03030303030303	3.03030303030303	4.90358126721763	4.90358126721763	4.90358126721763	4.90358126721763	4.90358126721763	4.90358126721763	4.90358126721763	3.03030303030303
