WBM_met	Source	super_class
MAM02354bc	AdultFemale, AdultMale	Organic acids and derivatives
MAM03037bc	AdultFemale, AdultMale	Organic acids and derivatives
MAM01115bc	AdultFemale, AdultMale	Organoheterocyclic compounds
MAM02409bc	AdultFemale, AdultMale	Lipids and lipid-like molecules
MAM03933bc	AdultFemale, AdultMale	Organic acids and derivatives
MAM01280bc	AdultFemale, AdultMale	Nucleosides, nucleotides, and analogues
MAM01383bc	AdultFemale, AdultMale	Organic acids and derivatives
MAM01638bc	AdultFemale, AdultMale	Organic acids and derivatives
MAM01307bc	AdultFemale, AdultMale	Organic acids and derivatives
MAM01365bc	AdultFemale, AdultMale	Organic acids and derivatives
MAM01368bc	AdultFemale, AdultMale	Organoheterocyclic compounds
MAM01369bc	AdultFemale, AdultMale	Organic acids and derivatives
MAM01641bc	AdultFemale, AdultMale	Organic acids and derivatives
MAM01370bc	AdultFemale, AdultMale	Organic acids and derivatives
MAM01327bc	AdultFemale, AdultMale	Lipids and lipid-like molecules
MAM01397bc	AdultFemale, AdultMale	Organoheterocyclic compounds
MAM01401bc	AdultFemale, AdultMale	Organoheterocyclic compounds
MAM01513bc	AdultFemale, AdultMale	Organic nitrogen compounds
MAM01445bc	AdultFemale, AdultMale	Lipids and lipid-like molecules
MAM01450bc	AdultFemale, AdultMale	Lipids and lipid-like molecules
MAM01595bc	AdultFemale, AdultMale	Homogeneous non-metal compounds
MAM02348bc	AdultFemale, AdultMale	Organic nitrogen compounds
MAM01628bc	AdultFemale, AdultMale	Organic acids and derivatives
MAM01630bc	AdultFemale, AdultMale	Nucleosides, nucleotides, and analogues
MAM01666bc	AdultFemale, AdultMale	Nucleosides, nucleotides, and analogues
MAM01668bc	AdultFemale, AdultMale	Nucleosides, nucleotides, and analogues
MAM01669bc	AdultFemale, AdultMale	Nucleosides, nucleotides, and analogues
MAM01655bc	AdultFemale, AdultMale	Organoheterocyclic compounds
MAM01671bc	AdultFemale, AdultMale	Nucleosides, nucleotides, and analogues
MAM01673bc	AdultFemale, AdultMale	Nucleosides, nucleotides, and analogues
MAM01822bc	AdultFemale, AdultMale	Homogeneous metal compounds
MAM01840bc	AdultFemale, AdultMale	Organic oxygen compounds
MAM01910bc	AdultFemale, AdultMale	Organic oxygen compounds
MAM01962bc	AdultFemale, AdultMale	Organic oxygen compounds
MAM01988bc	AdultFemale, AdultMale	Lipids and lipid-like molecules
MAM01965bc	AdultFemale, AdultMale	Organic oxygen compounds
MAM01975bc	AdultFemale, AdultMale	Organic acids and derivatives
MAM01974bc	AdultFemale, AdultMale	Organic acids and derivatives
MAM01986bc	AdultFemale, AdultMale	Organic acids and derivatives
MAM02038bc	AdultFemale, AdultMale	Nucleosides, nucleotides, and analogues
MAM02039bc	AdultFemale, AdultMale	Homogeneous non-metal compounds
MAM02040bc	AdultFemale, AdultMale	Homogeneous non-metal compounds
MAM02046bc	AdultFemale, AdultMale	Organic acids and derivatives
MAM02675bc	AdultFemale, AdultMale	Lipids and lipid-like molecules
MAM02125bc	AdultFemale, AdultMale	Organic acids and derivatives
MAM02184bc	AdultFemale, AdultMale	Organic acids and derivatives
MAM02170bc	AdultFemale, AdultMale	Nucleosides, nucleotides, and analogues
MAM02200bc	AdultFemale, AdultMale	Homogeneous metal compounds
