version	fixed rxns	revised gpr	rxn add	met add	gene add	remove rxns(deplicate + deadend)	remove mets(duplicated + deadend)	gene remove
v1.3	0	0	0	0	0	0	0	0
v1.4	4	4	0	0	3	1	0	0
v1.5	4	9	0	0	3	316	315	2
v1.6	33	11	0	7	3	335	344	3
v1.7	33	11	0	7	3	335	344	3
v1.8	33	11	1	7	3	335	344	3
v1.9	45	77	1	7	5	337	351	5
v1.10	46	78	1	7	5	340	352	5
v1.11	47	79	1	7	7	349	356	563
v1.12	51	80	4	10	7	351	356	563
v1.13	54	81	5	10	8	396	360	563
v1.14	54	371	5	10	9	398	362	712
v1.15	61	665	75	98	13	419	370	739
v1.16	245	709	116	161	15	448	377	741
v1.17	430	725	119	165	34	567	420	772
v1.18	455	805	177	172	40	599	431	774
v1.19	484	885	191	185	40	637	445	776
v2.0	775	1864	210	207	55	678	462	832
