food_id	food_name	Protein	Lipid	Carbohydrate	Energy
16389	Peanuts, all types, oil-roasted, without salt	28.03	52.5	15.26	599
16390	Peanuts, all types, dry-roasted, without salt	24.35	49.66	21.26	587
999431	Folic acid as ingredient	0.0	0.0	0.0	0
8200	Cereals, QUAKER, QUAKER MultiGrain Oatmeal, dry	12.64	2.73	72.62	334
16398	Peanut butter, smooth style, without salt	22.21	51.36	22.31	598
16403	Refried beans, canned, traditional, reduced sodium	4.98	2.01	13.55	89
16424	Soy sauce made from soy and wheat (shoyu), low sodium	9.05	0.3	5.59	57
90240	Mollusks, scallop, (bay and sea), cooked, steamed	20.54	0.84	5.41	111
8510	Milk and cereal bar	6.47	10.98	72.05	413
8546	Rice and Wheat cereal bar	9.09	9.09	72.73	409
25001	Snacks, popcorn, microwave, low fat	12.6	9.5	72.0	424
25012	Snacks, sweet potato chips, unsalted	2.94	32.35	56.82	532
25013	Snacks, FRITOLAY, SUNCHIPS, Multigrain Snack, original flavor	7.95	21.11	67.26	491
25015	Formulated bar, MARS SNACKFOOD US, SNICKERS MARATHON Protein Performance Bar, Caramel Nut Rush	25.0	12.5	50.5	415
25017	Formulated bar, POWER BAR, chocolate	14.15	3.11	69.63	363
25020	Formulated bar, SLIM-FAST OPTIMA meal bar, milk chocolate peanut	16.19	8.92	60.21	386
25024	Pretzels, soft, unsalted	8.2	3.1	71.04	345
25025	Snacks, soy chips or crisps, salted	26.5	7.35	53.15	385
25026	Popcorn, microwave, regular (butter) flavor, made with palm oil	8.69	31.07	55.99	538
25027	Snacks, plantain chips, salted	2.28	29.59	63.84	531
90560	Mollusks, snail, raw	16.1	1.4	2.0	90
25030	Snacks, vegetable chips, HAIN CELESTIAL GROUP, TERRA CHIPS	4.13	29.81	57.97	517
25031	Formulated bar, ZONE PERFECT CLASSIC CRUNCH BAR, mixed flavors	30.0	14.0	45.0	426
25032	Snacks, granola bar, KASHI GOLEAN, chewy, mixed flavors	16.67	7.69	63.42	390
25033	Snacks, granola bar, KASHI TLC Bar, chewy, mixed flavors	18.57	15.71	53.26	429
25035	Snacks, granola bar, chewy, reduced sugar, all flavors	5.55	12.5	69.4	412
25036	Snacks, granola bites, mixed flavors	7.17	17.5	66.27	451
25037	Snacks, pita chips, salted	11.79	15.2	68.26	457
25038	Snacks, granola bars, soft, almond, confectioners coating	8.6	20.0	60.13	455
25039	Snacks, granola bars, QUAKER OATMEAL TO GO, all flavors	6.67	6.67	75.47	389
