IEM	Gene	Gene_Recon	met_Human-GEM	met_Human2	met_Human1	met_Recon3D_301	In_Vivo
DDC-related Aromatic L-amino acid decarboxylase deficiency 	ENSG00000132437	1644.1	MAM00830	MAM00830	m00830	CE2176	increase
DDC-related Aromatic L-amino acid decarboxylase deficiency 	ENSG00000132437	1644.1	MAM01107	MAM01107	m01107	5htrp	increase
DDC-related Aromatic L-amino acid decarboxylase deficiency 	ENSG00000132437	1644.1	MAM02354	MAM02354	m02354	34dhphe	increase
DBH-related Dopamine beta-hydroxylase deficiency 	ENSG00000123454	1621.1	MAM03136	MAM03136	m03136	3mox4hoxm	decrease
MAOA-related Monoamine oxidase A deficiency 	ENSG00000189221	4128.1	MAM00821	MAM00821	m00821	3moxtyr	increase
MAOA-related Monoamine oxidase A deficiency 	ENSG00000189221	4128.1	MAM01103	MAM01103	m01103	5hoxindoa	decrease
MAOA-related Monoamine oxidase A deficiency 	ENSG00000189221	4128.1	MAM02137	MAM02137	m02137	homoval	decrease
MAOA-related Monoamine oxidase A deficiency 	ENSG00000189221	4128.1	MAM02622	MAM02622	m02622	normete_L	increase
MAOA-related Monoamine oxidase A deficiency 	ENSG00000189221	4128.1	MAM03136	MAM03136	m03136	3mox4hoxm	decrease
SLC6A3-related Dopamine transporter deficiency 	ENSG00000142319	6531.1	MAM02137	MAM02137	m02137	homoval	decrease
SLC27A4-related Fatty acid transport protein 4 deficiency 	ENSG00000167114	10999.1	MAM02817	MAM02817	m02817	pydxn	increase
GATM-related Arginine:glycine amidinotransferase deficiency 	ENSG00000171766	2628.1	MAM01619	MAM01619	m01619	creat	decrease
PIK3CA-related Catalytic phosphatidylinositol 3-kinase subunit superactivity 	ENSG00000121879	5290.1	MAM01965	MAM01965	m01965	glc_D	decrease
PIK3CD-related Catalytic phosphatidylinositol 3-kinase subunit superactivity 	ENSG00000171608	5293.1	MAM00248	MAM00248	m00248	13dampp	decrease
PPOX-related Protoporphyrinogen oxidase deficiency 	ENSG00000143224	5498.1	MAM01604	MAM01604	m01604	C05770	increase
PPOX-related Protoporphyrinogen oxidase deficiency 	ENSG00000143224	5498.1	MAM01074	MAM01074	m01074	5aop	increase
PPOX-related Protoporphyrinogen oxidase deficiency 	ENSG00000143224	5498.1	MAM02756	MAM02756	m02756	ppbng	increase
HMOX1-related Heme oxygenase 1 deficiency 	ENSG00000100292	3162.1	MAM01396	MAM01396	m01396	bilirub	increase
CPS1-related Carbamoyl phosphate synthetase I deficiency 	ENSG00000021826	"1373.1, 1373.2"	MAM02579	MAM02579	m02579	nh4	increase
EHHADH-related L-Bifunctional protein deficiency 	ENSG00000113790	1962.1	MAM01965	MAM01965	m01965	glc_D	increase
PAPSS2-related Phosphoadenosine 5'-phosphosulfate synthetase 2 deficiency (CDG) 	ENSG00000198682	9060.1	MAM01659	MAM01659	m01659	dheas	decrease
PAPSS2-related Phosphoadenosine 5'-phosphosulfate synthetase 2 deficiency (CDG) 	ENSG00000198682	9060.1	MAM02969	MAM02969	m02969	tststerone	increase
KMO-related Kynurenine-3-hydroxylase deficiency 	ENSG00000117009	8564.1	MAM00990	MAM00990	m00990	kynate	increase
HSD3B2-related 3-beta-Hydroxysteroid dehydrogenase deficiency 	ENSG00000203859	3284.1	MAM01309	MAM01309	m01309	aldstrn	decrease
SORD-related Sorbitol dehydrogenase deficiency 	ENSG00000140263	6652.1	MAM03155	MAM03155	m03155	xylt	increase
SORD-related Sorbitol dehydrogenase deficiency 	ENSG00000140263	6652.1	MAM01682	MAM01682	m01682	sbt_D	increase
PCK2-related Mitochondrial phosphoenolpyruvate carboxykinase deficiency 	ENSG00000100889	5106.1	MAM01965	MAM01965	m01965	glc_D	decrease
GOT2-related Mitochondrial aspartate aminotransferase deficiency 	ENSG00000125166	2806.1	MAM02896	MAM02896	m02896	ser_L	increase
CYP21A2-related 21-Hydroxylase deficiency 	ENSG00000231852	1589.1	MAM02969	MAM02969	m02969	tststerone	increase
NAGS-related N-Acetylglutamate synthase deficiency 	ENSG00000161653	162417.1	MAM02579	MAM02579	m02579	nh4	increase
CYP11B1-related 11-beta-Hydroxylase type 1 deficiency 	ENSG00000160882	1584.1	MAM00295	MAM00295	m00295	11docrtsl	increase
CYP11B1-related 11-beta-Hydroxylase superactivity 	ENSG00000160882	1584.1	MAM01309	MAM01309	m01309	aldstrn	increase
GATM-related Arginine:glycine amidinotransferase aggregation syndrome 	ENSG00000171766	2628.1	MAM01628	MAM01628	m01628	cys_L	increase
GATM-related Arginine:glycine amidinotransferase aggregation syndrome 	ENSG00000171766	2628.1	MAM01965	MAM01965	m01965	glc_D	increase
SLC7A9-related Cystinuria type B 	ENSG00000021488	11136.1	MAM01629	MAM01629	m01629	Lcystin	increase
PCCB-related Propionic acidemia due to propionyl-CoA carboxylase subunit beta deficiency 	ENSG00000114054	5096.1	MAM01986	MAM01986	m01986	gly	increase
PCCB-related Propionic acidemia due to propionyl-CoA carboxylase subunit beta deficiency 	ENSG00000114054	5096.1	MAM00665	MAM00665	m00665	2mcit	increase
AMT-related Nonketotic hyperglycinemia due to aminomethyltransferase deficiency 	ENSG00000145020	275.1	MAM01986	MAM01986	m01986	gly	increase
GCSH-related Glycine encephalopathy due to H protein deficiency 	ENSG00000140905	2653.1	MAM01986	MAM01986	m01986	gly	increase
ETFB-related Electron transfer flavoprotein subunit deficiency 	ENSG00000105379	"2109.2, 2109.1"	MAM03923	MAM03923	sebacid	sebacid	increase
HSD17B3-related 17-beta-Hydroxysteroid dehydrogenase deficiency 	ENSG00000130948	3293.1	MAM02969	MAM02969	m02969	tststerone	decrease
"SDHA-related Succinate dehydrogenase subunit A deficiency, tumoral phenotype "	ENSG00000073578	6389.1	MAM02617	MAM02617	m02617	nrpphr	increase
