ID	Name	source	PMID
MAM00039	(2E)-decenoyl-CoA	ReducedModel	PMID: 31699973
MAM00042	(2E)-dodecenoyl-CoA	ReducedModel	PMID: 31699973
MAM00051	(2E)-hexadecenoyl-CoA	ReducedModel	PMID: 31699973
MAM00053	(2E)-hexenoyl-CoA	ReducedModel	PMID: 31699973
MAM00059	(2E)-octenoyl-CoA	ReducedModel	PMID: 31699973
MAM00066	(2E)-tetradecenoyl-CoA	ReducedModel	PMID: 31699973
MAM00173	(S)-3-hydroxybutyryl-CoA	ReducedModel	PMID: 31699973
MAM00174	(S)-3-hydroxydodecanoyl-CoA	ReducedModel	PMID: 31699973
MAM00175	(S)-3-hydroxyhexadecanoyl-CoA	ReducedModel	PMID: 31699973
MAM00178	(S)-3-hydroxytetradecanoyl-CoA	ReducedModel	PMID: 31699973
MAM00181	(S)-hydroxydecanoyl-CoA	ReducedModel	PMID: 31699973
MAM00182	(S)-hydroxyhexanoyl-CoA	ReducedModel	PMID: 31699973
MAM00183	(S)-hydroxyoctanoyl-CoA	ReducedModel	PMID: 31699973
MAM00247	"1,3-bisphospho-D-glycerate"	ReducedModel	PMID: 31699973
MAM00674	2-phospho-D-glycerate	ReducedModel	PMID: 31699973
MAM00858	3-oxodecanoyl-CoA	ReducedModel	PMID: 31699973
MAM00868	3-oxododecanoyl-CoA	ReducedModel	PMID: 31699973
MAM00882	3-oxohexanoyl-CoA	ReducedModel	PMID: 31699973
MAM00892	3-oxooctanoyl-CoA	ReducedModel	PMID: 31699973
MAM00895	3-oxopalmitoyl-CoA	ReducedModel	PMID: 31699973
MAM00906	3-oxotetradecanoyl-CoA	ReducedModel	PMID: 31699973
MAM00913	3-phospho-D-glycerate	ReducedModel	PMID: 31699973
MAM01255	acetoacetyl-CoA	ReducedModel	PMID: 31699973
MAM01261	acetyl-CoA	ReducedModel	PMID: 31699973
MAM01285	ADP	ReducedModel	PMID: 31699973
MAM01306	AKG	ReducedModel	PMID: 31699973
MAM01334	AMP	ReducedModel	PMID: 31699973
MAM01370	aspartate	ReducedModel	PMID: 31699973
MAM01371	ATP	ReducedModel	PMID: 31699973
MAM01412	butyryl-CoA	ReducedModel	PMID: 31699973
MAM01587	citrate	ReducedModel	PMID: 31699973
MAM01596	CO2	ReducedModel	PMID: 31699973
MAM01597	CoA	ReducedModel	PMID: 31699973
MAM01622	crotonyl-CoA	ReducedModel	PMID: 31699973
MAM01650	decanoyl-CoA	ReducedModel	PMID: 31699973
MAM01690	DHAP	ReducedModel	PMID: 31699973
MAM01802	FAD	ReducedModel	PMID: 31699973
MAM01803	FADH2	ReducedModel	PMID: 31699973
MAM01824	ferricytochrome C	ReducedModel	PMID: 31699973
MAM01826	ferrocytochrome C	ReducedModel	PMID: 31699973
MAM01841	"fructose-1,6-bisphosphate"	ReducedModel	PMID: 31699973
MAM01845	fructose-6-phosphate	ReducedModel	PMID: 31699973
MAM01862	fumarate	ReducedModel	PMID: 31699973
MAM01939	D-glyceraldehyde 3-phosphate	ReducedModel	PMID: 31699973
MAM01967	glucose-1-phosphate	ReducedModel	PMID: 31699973
MAM01968	glucose-6-phosphate	ReducedModel	PMID: 31699973
MAM01974	glutamate	ReducedModel	PMID: 31699973
MAM02039	H+	ReducedModel	PMID: 31699973
MAM02040	H2O	ReducedModel	PMID: 31699973
