Organ	AdultMale	ElderlyMale	AdultFemale	ElderlyFemale	Fetus	Harvey	Harvetta
Adipocytes	5718.0	5726.0	5712.0	5728.0	5713.0	1483.0	1496.0
Agland	5709.0	5706.0	5716.0	5728.0	5694.0	2098.0	2000.0
Brain	5618.0	5591.0	5616.0	5616.0	5657.0	2201.0	2203.0
Breast			5771.0	5777.0			1760.0
Cervix			5766.0	5670.0			1551.0
Colon	5755.0	5741.0	5778.0	5756.0	5760.0	4444.0	4439.0
Heart	5494.0	5492.0	5501.0	5508.0	5723.0	2290.0	2298.0
Kidney	5790.0	5796.0	5788.0	5821.0	5762.0	5777.0	5771.0
Liver	5755.0	5747.0	5759.0	5750.0	5849.0	4637.0	4645.0
Lung	5719.0	5740.0	5730.0	5745.0	5763.0	2593.0	2604.0
Muscle	5334.0	5372.0	5354.0	5383.0	5704.0	2200.0	2204.0
Ovary			5689.0	5662.0			1648.0
Pancreas	5648.0	5644.0	5629.0	5639.0	5736.0	2499.0	2475.0
Prostate	5772.0	5766.0				1855.0	
Scord	5633.0	5634.0	5617.0	5638.0	5600.0	1436.0	1396.0
sIEC	5783.0	5787.0	5782.0	5788.0	5819.0	1462.0	1462.0
Skin	5728.0	5740.0	5722.0	5733.0	5707.0	2156.0	2180.0
Spleen	5684.0	5688.0	5684.0	5701.0	5773.0	1595.0	1563.0
Stomach	5761.0	5745.0	5747.0	5754.0	5809.0	1767.0	1783.0
Testis	5718.0	5722.0				1888.0	
Thyroidgland	5729.0	5753.0	5732.0	5737.0	5726.0	1704.0	1687.0
Urinarybladder	5771.0	5588.0	5736.0	5651.0	5726.0	1709.0	1703.0
Uterus			5711.0	5681.0			1673.0
