Organ	AdultMale	ElderlyMale	AdultFemale	ElderlyFemale	Fetus	Harvey	Harvetta
Adipocytes	2259.0	2270.0	2262.0	2265.0	2258.0	1361.0	1364.0
Agland	2243.0	2239.0	2243.0	2250.0	2243.0	1769.0	1763.0
Brain	2270.0	2267.0	2272.0	2271.0	2208.0	1836.0	1843.0
Breast			2272.0	2270.0			1596.0
Cervix			2281.0	2268.0			1498.0
Colon	2261.0	2268.0	2266.0	2268.0	2256.0	1869.0	1868.0
Heart	2214.0	2220.0	2216.0	2220.0	2206.0	1698.0	1701.0
Kidney	2293.0	2295.0	2283.0	2299.0	2217.0	1849.0	1847.0
Liver	2274.0	2264.0	2278.0	2273.0	2241.0	1870.0	1867.0
Lung	2270.0	2275.0	2276.0	2273.0	2218.0	1699.0	1700.0
Muscle	2193.0	2204.0	2194.0	2208.0	2209.0	1568.0	1574.0
Ovary			2274.0	2258.0			1593.0
Pancreas	2234.0	2227.0	2228.0	2224.0	2239.0	1766.0	1770.0
Prostate	2275.0	2275.0				1697.0	
Scord	2265.0	2260.0	2260.0	2261.0	2256.0	1405.0	1407.0
sIEC	2275.0	2294.0	2279.0	2272.0	2241.0	803.0	803.0
Skin	2272.0	2276.0	2272.0	2274.0	2268.0	1646.0	1652.0
Spleen	2254.0	2262.0	2255.0	2254.0	2223.0	1436.0	1451.0
Stomach	2259.0	2258.0	2251.0	2252.0	2229.0	1767.0	1772.0
Testis	2283.0	2285.0				1803.0	
Thyroidgland	2263.0	2267.0	2263.0	2265.0	2263.0	1650.0	1628.0
Urinarybladder	2274.0	2236.0	2270.0	2249.0	2267.0	1697.0	1699.0
Uterus			2262.0	2268.0			1625.0
