Met_id	Met_name	Met_compartment	Met_charge	Met_formula
Liver_MAM01841c	Liver_fructose-1,6-bisphosphate	c	-4.0	C6H10O12P2
Liver_MAM02529c	Liver_N-acetylglucosamine-6-phosphate	c	-2.0	C8H14NO9P
Liver_MAM02552x	Liver_NAD+	x	-1.0	C21H26N7O14P2
Liver_MAM02393m	Liver_lipoamide	m	0.0	C8H15NOS2
Liver_MAM01131c	Liver_5-phosphoribosylamine	c	-1.0	C5H11NO7P
Liver_MAM02348m	Liver_L-carnitine	m	0.0	C7H15NO3
Liver_MAM00873c	Liver_3-oxoheneicosanoyl-CoA	c	-4.0	C42H70N7O18P3S
Liver_MAM01115c	Liver_5-methyl-THF	c	-1.0	C20H24N7O6
Liver_MAM01802m	Liver_FAD	m	-2.0	C27H31N9O15P2
Liver_MAM01371c	Liver_ATP	c	-4.0	C10H12N5O13P3
Liver_MAM01932e	Liver_gamma-linolenate	e	-1.0	C18H29O2
Liver_MAM03065c	Liver_tRNA(asn)	c	0.0	RH
Liver_MAM00010e	Liver_(11Z,14Z,17Z)-eicosatrienoic acid	e	-1.0	C20H33O2
Liver_MAM00007c	Liver_(11Z)-eicosenoyl-CoA	c	-4.0	C41H68N7O17P3S
Liver_MAM01726c	Liver_docosenoylcarnitine(11)	c	0.0	C29H55NO4
Liver_MAM02612c	Liver_nonadecanoyl-CoA	c	-4.0	C40H68N7O17P3S
Liver_MAM02666c	Liver_oxidized thioredoxin	c	0.0	C525H814N128O160S8
Liver_MAM00025x	Liver_(15Z)-tetracosenoyl-CoA	x	-4.0	C45H76N7O17P3S
Liver_MAM02974m	Liver_tetradecenoylcarnitine(5)	m	0.0	C21H39NO4
Liver_MAM02946c	Liver_sulfate	c	-2.0	O4S
Liver_MAM01927c	Liver_gamma-glutamyl-cysteine	c	-1.0	C8H13N2O5S
Liver_MAM03102m	Liver_ubiquinol	m	0.0	C59H92O4
Liver_MAM02471c	Liver_methionine	c	0.0	C5H11NO2S
Liver_MAM02552c	Liver_NAD+	c	-1.0	C21H26N7O14P2
Liver_MAM01253m	Liver_acetoacetate	m	-1.0	C4H5O3
Liver_MAM01371e	Liver_ATP	e	-4.0	C10H12N5O13P3
Liver_MAM03114c	Liver_UMP	c	-2.0	C9H11N2O9P
Liver_MAM00860c	Liver_3-oxodocasa-cis,cis-13,16-dienoyl-CoA	c	-4.0	C43H68N7O18P3S
Liver_MAM01197e	Liver_7-palmitoleic acid	e	-1.0	C16H29O2
Liver_MAM00699c	Liver_3(S)-hydroxy-11-cis-docosenoyl-CoA	c	-4.0	C43H72N7O18P3S
Liver_MAM02385c	Liver_lignocerate	c	-1.0	C24H47O2
Liver_MAM00674c	Liver_2-phospho-D-glycerate	c	-3.0	C3H4O7P
Liver_MAM01934c	Liver_gamma-linolenoyl-CoA	c	-4.0	C39H60N7O17P3S
Liver_MAM02817c	Liver_pyridoxine	c	0.0	C8H11NO3
Liver_MAM02990c	Liver_thioredoxin	c	0.0	C525H816N128O160S8
Liver_MAM02455c	Liver_mannose-6-phosphate	c	-2.0	C6H11O9P
Liver_MAM02360c	Liver_leucine	c	0.0	C6H13NO2
Liver_MAM02696c	Liver_PEP	c	-3.0	C3H2O6P
Liver_MAM03079c	Liver_tRNA(thr)	c	0.0	RH
Liver_MAM00062c	Liver_(2E)-pentenoyl-[ACP]	c	-1.0	C16H27N2O8PRS
Liver_MAM02630m	Liver_O2	m	0.0	O2
Liver_MAM00116c	Liver_(7Z)-octadecenoyl-CoA	c	-4.0	C39H64N7O17P3S
Liver_MAM02342c	Liver_L-aspartyl-tRNA(asp)	c	0.0	C4H6NO3R
Liver_MAM02408c	Liver_L-methionyl-tRNA(met)	c	1.0	C5H11NOSR
Liver_MAM02842c	Liver_riboflavin	c	0.0	C17H20N4O6
Liver_MAM00004c	Liver_(10Z)-heptadecenoyl-CoA	c	-4.0	C38H62N7O17P3S
Liver_MAM01280c	Liver_adenosine	c	0.0	C10H13N5O4
Liver_MAM01939c	Liver_D-glyceraldehyde 3-phosphate	c	-2.0	C3H5O6P
Liver_MAM01824m	Liver_ferricytochrome C	m	3.0	C42H54FeN8O6S2
Liver_MAM01235c	Liver_9-eicosenoic acid	c	-1.0	C20H37O2
Liver_MAM03048c	Liver_tridecanoyl-[ACP]	c	-1.0	C24H45N2O8PRS
Liver_MAM02914m	Liver_sn-glycerol-3-phosphate	m	-2.0	C3H7O6P
Liver_MAM03109c	Liver_UDP-glucuronate	c	-3.0	C15H19N2O18P2
Liver_MAM01940c	Liver_GAR	c	-1.0	C7H14N2O8P
Liver_MAM00802c	Liver_3-hydroxytricosanoyl-CoA	c	-4.0	C44H76N7O18P3S
Liver_MAM01778c	Liver_elaidate	c	-1.0	C18H33O2
Liver_MAM00047c	Liver_(2E)-heptenoyl-[ACP]	c	-1.0	C18H31N2O8PRS
Liver_MAM03006c	Liver_trans,cis,cis,cis-2,13,16,19-docosatetraenoyl-CoA	c	-4.0	C43H66N7O17P3S
Liver_MAM03078c	Liver_tRNA(ser)	c	0.0	RH
Liver_MAM02613c	Liver_nonadecylic acid	c	-1.0	C19H37O2
Liver_MAM02974c	Liver_tetradecenoylcarnitine(5)	c	0.0	C21H39NO4
Liver_MAM01826m	Liver_ferrocytochrome C	m	2.0	C42H54FeN8O6S2
Liver_MAM03115c	Liver_undecanoyl-[ACP]	c	-1.0	C22H41N2O8PRS
Liver_MAM00922c	Liver_3-ureidoisobutyrate	c	-1.0	C5H9N2O3
Liver_MAM01596m	Liver_CO2	m	0.0	CO2
Liver_MAM01207c	Liver_8,11-eicosadienoic acid	c	-1.0	C20H35O2
Liver_MAM00064c	Liver_(2E)-tetracosenoyl-CoA	c	-4.0	C45H76N7O17P3S
Liver_MAM01726m	Liver_docosenoylcarnitine(11)	m	0.0	C29H55NO4
Liver_MAM03050c	Liver_tridecanoyl-CoA	c	-4.0	C34H56N7O17P3S
Liver_MAM02552m	Liver_NAD+	m	-1.0	C21H26N7O14P2
Liver_MAM00094c	Liver_(4Z,7Z,10Z,13Z,16Z)-DPA	c	-1.0	C22H33O2
Liver_MAM02980c	Liver_THF	c	-2.0	C19H21N7O6
Liver_MAM01741e	Liver_DPA	e	-1.0	C22H33O2
Liver_MAM01305c	Liver_AIR	c	-2.0	C8H12N3O7P
Liver_MAM00115c	Liver_(7Z)-octadecenoic acid	c	-1.0	C18H33O2
Liver_MAM00134c	Liver_(9Z,12Z,15Z,18Z,21Z)-tetracosapentaenoyl-CoA	c	-4.0	C45H68N7O17P3S
Liver_MAM00885m	Liver_3-oxomyrist-5-enoyl-CoA	m	-4.0	C35H54N7O18P3S
Liver_MAM02101c	Liver_heptadecanoyl-CoA	c	-4.0	C38H64N7O17P3S
Liver_MAM00805c	Liver_3-hydroxyundecanoyl-[ACP]	c	-1.0	C22H41N2O9PRS
Liver_MAM00044c	Liver_(2E)-heneicosenoyl-CoA	c	-4.0	C42H70N7O17P3S
Liver_MAM00123c	Liver_(8Z,11Z)-eicosadienoyl-CoA	c	-4.0	C41H66N7O17P3S
Liver_MAM01074c	Liver_5-aminolevulinate	c	0.0	C5H9NO3
Liver_MAM02390c	Liver_linolenoyl-CoA	c	-4.0	C39H60N7O17P3S
Liver_MAM02817e	Liver_pyridoxine	e	0.0	C8H11NO3
Liver_MAM01582c	Liver_cis-cetoleic acid	c	-1.0	C22H41O2
Liver_MAM01690c	Liver_DHAP	c	-2.0	C3H5O6P
Liver_MAM02046c	Liver_HCO3-	c	-1.0	CHO3
Liver_MAM01597m	Liver_CoA	m	-4.0	C21H32N7O16P3S
Liver_MAM03128c	Liver_uroporphyrinogen III	c	-8.0	C40H36N4O16
Liver_MAM01752c	Liver_dTMP	c	-2.0	C10H13N2O8P
Liver_MAM00718c	Liver_3(S)-hydroxy-tetracosa-9,12,15,18,21-all-cis-pentaenoyl-CoA	c	-4.0	C45H68N7O18P3S
Liver_MAM02401c	Liver_L-isoleucyl-tRNA(ile)	c	1.0	C6H13NOR
Liver_MAM03047x	Liver_tricosanoyl-CoA	x	-4.0	C44H76N7O17P3S
Liver_MAM01573m	Liver_cis-(3S)-hydroxytetradec-5-enoyl-CoA	m	-4.0	C35H56N7O18P3S
Liver_MAM00341e	Liver_13,16,19-docosatrienoic acid	e	-1.0	C22H37O2
Liver_MAM02036c	Liver_guanidinoacetate	c	0.0	C3H7N3O2
Liver_MAM03066c	Liver_tRNA(asp)	c	0.0	RH
Liver_MAM01588m	Liver_citrulline	m	0.0	C6H13N3O3
Liver_MAM03120c	Liver_urate	c	0.0	C5H4N4O3
Liver_MAM00111c	Liver_(6Z,9Z,12Z,15Z,18Z)-TPA	c	-1.0	C24H37O2
Liver_MAM01773c	Liver_eicosanoyl-CoA	c	-4.0	C41H70N7O17P3S
Liver_MAM00263c	Liver_10,13,16-docosatrienoylcarnitine	c	0.0	C29H51NO4
Liver_MAM02374m	Liver_L-glutamate 5-semialdehyde	m	0.0	C5H9NO3
Liver_MAM00132e	Liver_(9Z,12Z,15Z,18Z)-TTA	e	-1.0	C24H39O2
Liver_MAM01261x	Liver_acetyl-CoA	x	-4.0	C23H34N7O17P3S
Liver_MAM01821e	Liver_Fe2+	e	2.0	Fe
Liver_MAM02419c	Liver_L-threonyl-tRNA(thr)	c	1.0	C4H9NO2R
Liver_MAM00887c	Liver_3-oxononadecanoyl-CoA	c	-4.0	C40H66N7O18P3S
Liver_MAM02564c	Liver_nervonic acid	c	-1.0	C24H45O2
Liver_MAM00003e	Liver_(10Z)-heptadecenoic acid	e	-1.0	C17H31O2
Liver_MAM02944m	Liver_succinyl-CoA	m	-5.0	C25H35N7O19P3S
Liver_MAM00852c	Liver_3-oxo-9-cis-eicosenoyl-CoA	c	-4.0	C41H66N7O18P3S
Liver_MAM00262c	Liver_10,13,16,19-docosatetraenoyl-CoA	c	-4.0	C43H66N7O17P3S
Liver_MAM01796e	Liver_ethanol	e	0.0	C2H6O
Liver_MAM02344c	Liver_lauric acid	c	-1.0	C12H23O2
Liver_MAM02615c	Liver_nonanoyl-[ACP]	c	-1.0	C20H37N2O8PRS
Liver_MAM03153c	Liver_ximenic acid	c	-1.0	C26H49O2
Liver_MAM02559c	Liver_N-carbamoyl-L-aspartate	c	-2.0	C5H6N2O5
Liver_MAM00068c	Liver_(2E)-tridecenoyl-[ACP]	c	-1.0	C24H43N2O8PRS
Liver_MAM02026c	Liver_GSH	c	-1.0	C10H16N3O6S
Liver_MAM00101c	Liver_(5Z,8Z,11Z)-eicosatrienoyl-CoA	c	-4.0	C41H64N7O17P3S
Liver_MAM01373e	Liver_behenic acid	e	-1.0	C22H43O2
Liver_MAM01974m	Liver_glutamate	m	-1.0	C5H8NO4
Liver_MAM02745e	Liver_physeteric acid	e	-1.0	C14H25O2
Liver_MAM00888c	Liver_3-oxononanoyl-[ACP]	c	-1.0	C20H35N2O9PRS
Liver_MAM01574m	Liver_cis-(3S)-hydroxytetradec-7-enoyl-CoA	m	-4.0	C35H56N7O18P3S
Liver_MAM00264m	Liver_10,13,16-docosatrienoyl-CoA	m	-4.0	C43H68N7O17P3S
Liver_MAM02135c	Liver_homogentisate	c	-1.0	C8H7O4
Liver_MAM00342c	Liver_13,16,19-docosatrienoylcarnitine	c	0.0	C29H51NO4
Liver_MAM01993c	Liver_glycogenin G7	c	0.0	C1821H2795N455O563S14
Liver_MAM02578c	Liver_NH3	c	0.0	H3N
Liver_MAM02941c	Liver_stearoyl-CoA	c	-4.0	C39H66N7O17P3S
Liver_MAM01514x	Liver_choloyl-CoA	x	-4.0	C45H70N7O20P3S
Liver_MAM00886m	Liver_3-oxomyrist-7-enoyl-CoA	m	-4.0	C35H54N7O18P3S
Liver_MAM02052c	Liver_heneicosanoyl-CoA	c	-4.0	C42H72N7O17P3S
Liver_MAM02405c	Liver_L-lysyl-tRNA(lys)	c	2.0	C6H15N2OR
Liver_MAM02896c	Liver_serine	c	0.0	C3H7NO3
Liver_MAM02877c	Liver_SAM	c	1.0	C15H23N6O5S
Liver_MAM03153e	Liver_ximenic acid	e	-1.0	C26H49O2
Liver_MAM02167c	Liver_IMP	c	-2.0	C10H11N4O8P
Liver_MAM00049c	Liver_(2E)-hexacosenoyl-CoA	c	-4.0	C47H80N7O17P3S
Liver_MAM02171c	Liver_inositol	c	0.0	C6H12O6
Liver_MAM01636c	Liver_D-4-phosphopantothenate	c	-3.0	C9H15NO8P
Liver_MAM00021e	Liver_(13Z,16Z)-docosadienoic acid	e	-1.0	C22H39O2
Liver_MAM03080c	Liver_tRNA(trp)	c	0.0	RH
Liver_MAM00054c	Liver_(2E)-nonadecenoyl-CoA	c	-4.0	C40H66N7O17P3S
Liver_MAM00765m	Liver_3-carboxy-1-hydroxypropyl-ThPP	m	-3.0	C16H21N4O10P2S
Liver_MAM02415c	Liver_L-prolyl-tRNA(pro)	c	1.0	C5H9NOR
Liver_MAM00017e	Liver_(13Z)-eicosenoic acid	e	-1.0	C20H37O2
Liver_MAM02040m	Liver_H2O	m	0.0	H2O
Liver_MAM01700c	Liver_dihydrofolate	c	-2.0	C19H19N7O6
Liver_MAM02349c	Liver_L-cystathionine	c	0.0	C7H14N2O4S
Liver_MAM01306m	Liver_AKG	m	-2.0	C5H4O5
Liver_MAM02939c	Liver_stearidonic acid	c	-1.0	C18H27O2
Liver_MAM00260e	Liver_10,13,16,19-docosatetraenoic acid	e	-1.0	C22H35O2
Liver_MAM01587m	Liver_citrate	m	-3.0	C6H5O7
Liver_MAM00343m	Liver_13,16,19-docosatrienoyl-CoA	m	-4.0	C43H68N7O17P3S
Liver_MAM02039x	Liver_H+	x	1.0	H
Liver_MAM02159e	Liver_hypoxanthine	e	0.0	C5H4N4O
Liver_MAM00100m	Liver_(5Z,8Z,11Z)-eicosatrienoylcarnitine	m	0.0	C27H47NO4
Liver_MAM02159c	Liver_hypoxanthine	c	0.0	C5H4N4O
Liver_MAM00783c	Liver_3-hydroxyhexacosanoyl-CoA	c	-4.0	C47H82N7O18P3S
Liver_MAM01863c	Liver_fumarylacetoacetate	c	-2.0	C8H6O6
Liver_MAM00042m	Liver_(2E)-dodecenoyl-CoA	m	-4.0	C33H52N7O17P3S
Liver_MAM01191c	Liver_7-hexadecenoyl-CoA	c	-4.0	C37H60N7O17P3S
Liver_MAM03077c	Liver_tRNA(pro)	c	0.0	RH
Liver_MAM01990c	Liver_glycogenin G11	c	0.0	C1845H2835N455O583S14
Liver_MAM00017c	Liver_(13Z)-eicosenoic acid	c	-1.0	C20H37O2
Liver_MAM02682c	Liver_PAPS	c	-4.0	C10H11N5O13P2S
Liver_MAM01141c	Liver_5-tetradecenoyl-CoA	c	-4.0	C35H56N7O17P3S
Liver_MAM01951c	Liver_GDP-mannose	c	-2.0	C16H23N5O16P2
