Unnamed: 0	ID	DESCRIPTION	SHOULD FAIL	IN	IN LB	IN UB	OUT	OUT LB	OUT UB	EQU	EQU LB	EQU UB	CHANGED RXN	CHANGED LB	CHANGED UB	PRINT FLUX	COMMENTS
	1.0	ATP synthesis from glucose degradation		O2[e];glucose[e]			H2O[e];CO2[e]			ATP[c] + H2O[c] => ADP[c] + Pi[c]	1.0						
	2.0	ATP synthesis from oleate oxidation		oleate[e];O2[e]			CO2[e];H2O[e]			ATP[c] + H2O[c] => ADP[c] + Pi[c]	1.0						
	3.0	ATP synthesis from acetoacetate oxidation		O2[e];acetoacetate[e]			H2O[e];CO2[e]			ATP[c] + H2O[c] => ADP[c] + Pi[c]	1.0						
	4.0	Urate synthesis		O2[e];glucose[e];NH3[e]			CO2[e];H2O[e]										
							urate[e]	1.0									
	5.0	Alanine synthesis, maintenance in cytosol		O2[e];glucose[e];NH3[e];Pi[e]			H2O[e];CO2[e]										
							alanine[c]	1.0									
	6.0	Arginine synthesis, maintenance in cytosol		O2[e];glucose[e];NH3[e];Pi[e]			H2O[e];CO2[e]										
							arginine[c]	1.0									
	7.0	Asparagine synthesis, maintenance in cytosol		O2[e];glucose[e];NH3[e];Pi[e]			H2O[e];CO2[e]										
							asparagine[c]	1.0									
	8.0	Aspartate synthesis, maintenance in cytosol		O2[e];glucose[e];NH3[e];Pi[e]			H2O[e];CO2[e]										
							aspartate[c]	1.0									
	9.0	Cysteine synthesis, maintenance in cytosol		O2[e];glucose[e];NH3[e];Pi[e];sulfate[e];histidine[e];isoleucine[e];leucine[e];lysine[e];methionine[e];phenylalanine[e];threonine[e];tryptophan[e]			H2O[e];CO2[e]										
							cysteine[c]	1.0									
	10.0	Glutamate synthesis, maintenance in cytosol		O2[e];glucose[e];NH3[e];Pi[e]			H2O[e];CO2[e]										
							glutamate[c]	1.0									
	11.0	Glycine synthesis, maintenance in cytosol		O2[e];glucose[e];NH3[e];Pi[e]			H2O[e];CO2[e]										
							glycine[c]	1.0									
	12.0	Histidine uptake		histidine[e]	1.0	1.0	histidine[c]	1.0									
	13.0	Isoleucine uptake		isoleucine[e]	1.0	1.0	isoleucine[c]	1.0									
	14.0	Glutamine synthesis, maintenance in cytosol		O2[e];glucose[e];NH3[e];Pi[e]			H2O[e];CO2[e]										
							glutamine[c]	1.0									
	15.0	Leucine uptake		leucine[e]	1.0	1.0	leucine[c]	1.0									
	16.0	Lysine uptake		lysine[e]	1.0	1.0	lysine[c]	1.0									
	17.0	Phenylalanine uptake		phenylalanine[e]	1.0	1.0	phenylalanine[c]	1.0									
	18.0	Proline synthesis, maintenance in cytosol		O2[e];glucose[e];NH3[e];Pi[e]			H2O[e];CO2[e]										
							proline[c]	1.0									
	19.0	Serine synthesis, maintenance in cytosol		O2[e];glucose[e];NH3[e];Pi[e]			H2O[e];CO2[e]										
							serine[c]	1.0									
	20.0	Threonine uptake		threonine[e]	1.0	1.0	threonine[c]	1.0									
	21.0	Tryptophan uptake		tryptophan[e]	1.0	1.0	tryptophan[c]	1.0									
	22.0	Tyrosine synthesis, maintenance in cytosol	1.0	O2[e];glucose[e];NH3[e];Pi[e]			H2O[e];CO2[e]										
							tyrosine[c]	1.0									
	23.0	Valine uptake		valine[e]	1.0	1.0	valine[c]	1.0									
	24.0	Homocysteine synthesis, maintenance in cytosol		O2[e];glucose[e];NH3[e];Pi[e];cysteine[c];H2O[e];histidine[e];isoleucine[e];leucine[e];lysine[e];methionine[e];phenylalanine[e];threonine[e];tryptophan[e]			H2O[e];CO2[e]										
							homocysteine[c]	1.0									
	25.0	Alanine synthesis, maintenance in mitochondrion		O2[e];glucose[e];NH3[e];Pi[e]			H2O[e];CO2[e]										
							alanine[m]	1.0									
	26.0	Arginine synthesis, maintenance in mitochondrion		O2[e];glucose[e];NH3[e];Pi[e]			H2O[e];CO2[e]										
							arginine[m]	1.0									
	27.0	Asparagine synthesis, maintenance in mitochondrion		O2[e];glucose[e];NH3[e];Pi[e]			H2O[e];CO2[e]										
							asparagine[m]	1.0									
	28.0	Aspartate synthesis, maintenance in mitochondrion		O2[e];glucose[e];NH3[e];Pi[e]			H2O[e];CO2[e]										
							aspartate[m]	1.0									
	29.0	Cysteine synthesis, maintenance in mitochondrion		O2[e];glucose[e];NH3[e];Pi[e];sulfate[e];histidine[e];isoleucine[e];leucine[e];lysine[e];methionine[e];phenylalanine[e];threonine[e];tryptophan[e]			H2O[e];CO2[e]										
							cysteine[m]	1.0									
	30.0	Glutamate synthesis, maintenance in mitochondrion		O2[e];glucose[e];NH3[e];Pi[e]			H2O[e];CO2[e]										
							glutamate[m]	1.0									
	31.0	Glycine synthesis, maintenance in mitochondrion		O2[e];glucose[e];NH3[e];Pi[e]			H2O[e];CO2[e]										
							glycine[m]	1.0									
	32.0	Histidine transport, mitochondrion		histidine[c]	1.0	1.0	histidine[m]	1.0									
	33.0	Isoleucine transport, mitochondrion		isoleucine[c]	1.0	1.0	isoleucine[m]	1.0									
	34.0	Glutamine synthesis, maintenance in mitochondrion		O2[e];glucose[e];NH3[e];Pi[e]			H2O[e];CO2[e]										
							glutamine[m]	1.0									
	35.0	Leucine transport, mitochondrion		leucine[c]	1.0	1.0	leucine[m]	1.0									
	36.0	Lysine transport, mitochondrion		lysine[m]	1.0	1.0	lysine[c]	1.0									
	37.0	Phenylalanine transport, mitochondrion		phenylalanine[c]	1.0	1.0	phenylalanine[m]	1.0									
	38.0	Proline synthesis, maintenance in mitochondrion		O2[e];glucose[e];NH3[e];Pi[e]			H2O[e];CO2[e]										
							proline[m]	1.0									
	39.0	Serine synthesis, maintenance in mitochondrion		O2[e];glucose[e];NH3[e];Pi[e]			H2O[e];CO2[e]										
							serine[m]	1.0									
	40.0	Threonine transport, mitochondrion		threonine[c]	1.0	1.0	threonine[m]	1.0									
	41.0	Tyrosine synthesis, maintenance in mitochondrion	1.0	O2[e];glucose[e];NH3[e];Pi[e]			H2O[e];CO2[e]										
							tyrosine[m]	1.0									
	42.0	Valine transport, mitochondrion		valine[c]	1.0	1.0	valine[m]	1.0									
	43.0	Cholesterol synthesis, cytosol		O2[e];glucose[e];H2O[e]			H2O[e];CO2[e]										
							cholesterol[c]	1.0									
	44.0	Carnitine synthesis, cytosol		O2[e];glucose[e];H2O[e];NH3[e];histidine[e];isoleucine[e];leucine[e];lysine[e];methionine[e];phenylalanine[e];threonine[e];tryptophan[e]			H2O[e];CO2[e];urea[e]										
							L-carnitine[c]	1.0									
	45.0	Carnitine synthesis, mitochondrion		O2[e];glucose[e];H2O[e];NH3[e];histidine[e];isoleucine[e];leucine[e];lysine[e];methionine[e];phenylalanine[e];threonine[e];tryptophan[e]			H2O[e];CO2[e];urea[e]										
							L-carnitine[m]	1.0									
	46.0	Palmitate synthesis		O2[e];glucose[e]			CO2[e];H2O[e]										
							palmitate[c]	1.0									
