Unnamed: 0	ID	DESCRIPTION	SHOULD FAIL	IN	IN LB	IN UB	OUT	OUT LB	OUT UB	EQU	EQU LB	EQU UB	CHANGED RXN	CHANGED LB	CHANGED UB	PRINT FLUX	COMMENTS
	1.0	ATP synthesis from glucose degradation		Oxygen[e];D-Glucose[e]			Water[e];Carbon dioxide[e]			ATP[c] + H2O[c] => ADP[c] + Pi[c]	1.0						
	2.0	ATP synthesis from oleate oxidation		Oleic acid[e];Oxygen[e]			Carbon dioxide[e];Water[e]			ATP[c] + H2O[c] => ADP[c] + Pi[c]	1.0						
	3.0	ATP synthesis from acetoacetate oxidation		Oxygen[e];Acetoacetic acid[e]			Water[e];Carbon dioxide[e]			ATP[c] + H2O[c] => ADP[c] + Pi[c]	1.0						
	4.0	Urate synthesis		Oxygen[e];D-Glucose[e];Ammonia[e]			Carbon dioxide[e];Water[e]										
							Uric acid[e]	1.0									
	5.0	Alanine synthesis, maintenance in cytosol		Oxygen[e];D-Glucose[e];Ammonia[e];Phosphate[e]			Water[e];Carbon dioxide[e]										
							L-Alanine[c]	1.0									
	6.0	Arginine synthesis, maintenance in cytosol		Oxygen[e];D-Glucose[e];Ammonia[e];Phosphate[e]			Water[e];Carbon dioxide[e]										
							L-Arginine[c]	1.0									
	7.0	Asparagine synthesis, maintenance in cytosol		Oxygen[e];D-Glucose[e];Ammonia[e];Phosphate[e]			Water[e];Carbon dioxide[e]										
							L-Asparagine[c]	1.0									
	8.0	Aspartate synthesis, maintenance in cytosol		Oxygen[e];D-Glucose[e];Ammonia[e];Phosphate[e]			Water[e];Carbon dioxide[e]										
							D-Aspartate[c]	1.0									
	9.0	Cysteine synthesis, maintenance in cytosol		Oxygen[e];D-Glucose[e];Ammonia[e];Phosphate[e];sulfate[e];L-Histidine[e];L-Isoleucine[e];L-Leucine[e];L-Lysine[e];L-Methionine[e];L-Phenylalanine[e];L-Threonine[e];L-Tryptophan[e]			Water[e];Carbon dioxide[e]										
							L-Cysteine[c]	1.0									
	10.0	Glutamate synthesis, maintenance in cytosol		Oxygen[e];D-Glucose[e];Ammonia[e];Phosphate[e]			Water[e];Carbon dioxide[e]										
							L-Glutamic acid[e]	1.0									
	11.0	Glycine synthesis, maintenance in cytosol		Oxygen[e];D-Glucose[e];Ammonia[e];Phosphate[e]			Water[e];Carbon dioxide[e]										
							Glycine[c]	1.0									
	12.0	Histidine uptake		L-Histidine[e]	1.0	1.0	L-Histidine[c]	1.0									
	13.0	Isoleucine uptake		L-Isoleucine[e]	1.0	1.0	L-Isoleucine[c]	1.0									
	14.0	Glutamine synthesis, maintenance in cytosol		Oxygen[e];D-Glucose[e];Ammonia[e];Phosphate[e]			Water[e];Carbon dioxide[e]										
							L-Glutamine[c]	1.0									
	15.0	Leucine uptake		L-Leucine[e]	1.0	1.0	L-Leucine[c]	1.0									
