Unnamed: 0	ID	DESCRIPTION	SHOULD FAIL	IN	IN LB	IN UB	OUT	OUT LB	OUT UB	EQU	EQU LB	EQU UB	CHANGED RXN	CHANGED LB	CHANGED UB	PRINT FLUX	COMMENTS
	1	Gluconeogenesis from Fructose		O2[e];H2O[e];fructose[e]			H2O[e];CO2[e]										Make sure things that transport goes through specific transporter 
							glucose[e]	1.0									
	2	Fructose degradation		fructose[e]	1.0	1.0	H2O[e];CO2[e]										
				O2[e]													
	3	Palmitate de novo synthesis (minimal substrates, physiological excretion)		O2[e];glucose[e]			CO2[e];H2O[e]										
							palmitate[c]	1.0									
	4	Conversion of phenylalanine to tyrosine		O2[e];phenylalanine[c];tetrahydrobiopterin[c]			H2O[c];dihydrobiopterin[c]										
							tyrosine[c]	1.0									
	5	Ammoniagenesis		glutamine[e]			NH4+[e]										
							HCO3-[e]										
	6	Conversion of oxaloacetate to phosphoenolpyruvate		OAA[m]			PEP[m]										
				GTP[m]			CO2[m];GDP[m]										
	7	glutaminase activity		glutamine[c];H2O[e]			glutamate[c]	0.5									
	                          						NH3[c];H+[c]										
	8	glutamate degredation		glutamate[e]	1.0		H2O[e];CO2[e];urea[e]										
				O2[e]													
	9	glutatmate to alpha-ketoglutarate 		glutamate[c];pyruvate[c]			alanine[c]										
							AKG[c]	0.5									
	10	urea synthesis from arginine		arginine[e];H2O[e]			urea[e]	1.0									
							ornithine[e]										
	11	creatinine synthesis  (cytosol only)		guanidinoacetate[c]			creatinine[c]										
				SAM[c]													
				ATP[c]			Pi[c]										
	12	agmatine synthesis		arginine[m];H+[m]			agmatine[m]	0.5									
							CO2[m]										
	13	Citrulline to Argininosuccinate		Aspartate[c];ATP[c]			Argininosuccinate[c]	0.9									
				Citrulline[c]			AMP[c];H+[c]										
							PPi[c]										
	14	arginine synthesis		argininosuccinate[c]			arginine[e]	1.0									
							fumarate[c]										
	15	Nitric Oxide Synthesis		arginine[e]		10.0	ALLMETS										
				H2O[e];O2[e];chloride[e];NH3[e];Ca2+[e];iodide[e];zinc[e];sulfate[e];Fe2+[e];Na+[e];K+[e];Pi[e]			NO[c]	1.0									
	16	Serine release		NAD+[c]			CO2[c];NADH[c];H+[c]										
				Glycine[c]			Serine[c]	1.0									
				H2O[c];H+[c]			NH3[c]	1.0									
	17	Glutithione reduction		GSSG[c]			GSH[c]	2.0									
				NADPH[c];H+[c]			NADP+[c]										
	18	Gluconeogenesis from lactate		O2[e];H2O[e];palmitate[e];L-lactate[e]			H2O[e];CO2[e]										
							glucose[e]	1.0									
	19	ATP regeneration from glucose (oxidative phosphorylation) 		glucose[e]	1.0	1.0	ALLMETS			ATP[c] + H2O[c] => ADP[c] + Pi[c]	2.0						
				H2O[e];O2[e];chloride[e];NH3[e];Ca2+[e];iodide[e];zinc[e];sulfate[e];Fe2+[e];Na+[e];K+[e];Pi[e]													
	20	ATP regeneration from glycolysis (absence of O2)		glucose[e]	1.0	1.0	ALLMETS			ATP[c] + H2O[c] => ADP[c] + Pi[c]	2.0						
				H2O[e];chloride[e];NH3[e];Ca2+[e];iodide[e];zinc[e];sulfate[e];Fe2+[e];Na+[e];K+[e];Pi[e]													
	21	Gluconeogenesis from alanine		O2[e];H2O[e];alanine[e]			CO2[e];H2O[e];urea[e];NH3[e]										
							glucose[e]	1.0									
	22	Gluconeogenesis from glutamine		O2[e];H2O[e]			CO2[e];H2O[e]										
				glutamine[e]			NH3[e]										
							glucose[e]	1.0									
	23	Gluconeogenesis from glycerol		O2[e];H2O[e];glycerol[e]			CO2[e];H2O[e]										
							glucose[e]	1.0									
	24	ATP de novo synthesis (minimal substrates, physiological excretion)		O2[e];glucose[e];NH3[e];Pi[e]			H2O[e];CO2[e]										
							ATP[c]	1.0									
	25	CTP de novo synthesis (minimal substrates, physiological excretion)		O2[e];glucose[e];NH3[e];Pi[e]			H2O[e];CO2[e]										
							CTP[c]	1.0									
	26	GTP de novo synthesis (minimal substrates, physiological excretion)		O2[e];glucose[e];NH3[e];Pi[e]			H2O[e];CO2[e]										
							GTP[c]	1.0									
	27	UTP de novo synthesis (minimal substrates, physiological excretion)		O2[e];glucose[e];NH3[e];Pi[e]			H2O[e];CO2[e]										
							UTP[c]	1.0									
	28	dATP de novo synthesis (minimal substrates, physiological excretion)		O2[e];glucose[e];NH3[e];Pi[e]			H2O[e];CO2[e]										
							dATP[c]	1.0									
	29	dCTP de novo synthesis (minimal substrates, physiological excretion)		O2[e];glucose[e];NH3[e];Pi[e]			H2O[e];CO2[e]										
							dCTP[c]	1.0									
