Unnamed: 0	ID	DESCRIPTION	SHOULD FAIL	IN	IN LB	IN UB	OUT	OUT LB	OUT UB	EQU	EQU LB	EQU UB	CHANGED RXN	CHANGED LB	CHANGED UB	PRINT FLUX	COMMENTS
	1	Gluconeogenesis from Fructose		Oxygen[e];Water[e];D-Fructose[e]			Water[e];Carbon dioxide[e]										Make sure things that transport goes through specific transporter 
							D-Glucose[e]	1.0									
	2	Fructose degradation		D-Fructose[e]	1.0	1.0	Water[e];Carbon dioxide[e]										
				Oxygen[e]													
	3	Palmitate de novo synthesis (minimal substrates, physiological excretion)		Oxygen[e];D-Glucose[e]			Carbon dioxide[e];Water[e]										
							Palmitic acid[c]	1.0									
	4	Conversion of phenylalanine to tyrosine		Oxygen[e];L-Phenylalanine[c];Tetrahydrobiopterin[c]			Water[c];4a-Carbinolamine tetrahydrobiopterin[c]										
							L-Tyrosine[c]	1.0									
	5	Ammoniagenesis		L-Glutamine[e]			Ammonia[e]										
							Hydrogen carbonate[e]										
	6	Conversion of oxaloacetate to phosphoenolpyruvate		Oxalacetic acid[m]			Phosphoenolpyruvic acid[m]										
				Guanosine triphosphate[m]			Carbon dioxide[m];Guanosine diphosphate[m]										
	7	glutaminase activity		L-Glutamine[c];Water[e]			L-Glutamic acid[c]	0.5									
	                          						Ammonia[c];Hydrogen Ion[c]										
	8	glutamate degredation		L-Glutamic acid[e]	1.0		Water[e];Carbon dioxide[e];Urea[e]										
				Oxygen[e]													
	9	glutatmate to alpha-ketoglutarate 		L-Glutamic acid[c];Pyruvic acid[c]			L-Alanine[c]										
							Oxoglutaric acid[c]	0.5									
	10	urea synthesis from arginine		L-Arginine[e];Water[e]			Urea[e]	1.0									
							ornithine[e]										
	11	creatinine synthesis  (cytosol only)		Guanidoacetic acid[c]			Creatinine[c]										
				S-Adenosylmethionine[c]													
				Adenosine triphosphate[c]			Phosphate[c]										
	12	agmatine synthesis		L-Arginine[m];Hydrogen Ion[m]			Agmatine[m]	0.5									
							Carbon dioxide[m]										
	13	Citrulline to Argininosuccinate		D-Aspartate[c];Adenosine triphosphate[c]			Argininosuccinic acid[c]	0.9									
				Citrulline[c]			Adenosine monophosphate[c];Hydrogen Ion[c]										
							Pyrophosphate[c]										
	14	arginine synthesis		Argininosuccinic acid[c]			L-Arginine[e]	1.0									
							Fumaric acid[c]										
	15	Nitric Oxide Synthesis		L-Arginine[e]		10.0	ALLMETS										
				Water[e];Oxygen[e];Chloride ion[e];Ammonia[e];Calcium[e];iodide[e];zn2[e];sulfate[e];Fe2+[e];Sodium[e];Potassium[e];Phosphate[e]			Nitric oxide[c]	1.0									
	16	Serine release		NAD[c]			Carbon dioxide[c];NADH[c];Hydrogen Ion[c]										
				Glycine[c]			L-Serine[c]	1.0									
				Water[c];Hydrogen Ion[c]			Ammonia[c]	1.0									
	17	Glutithione reduction		Oxidized glutathione[c]			Glutathione[c]	2.0									
				NADPH[c];Hydrogen Ion[c]			NADP[c]										
	18	Gluconeogenesis from lactate		Oxygen[e];Water[e];Palmitic acid[e];L-Lactic acid[e]			Water[e];Carbon dioxide[e]										
							D-Glucose[e]	1.0									
	19	ATP regeneration from glucose (oxidative phosphorylation) 		D-Glucose[e]	1.0	1.0	ALLMETS			Adenosine triphosphate[c] + Water[c] => ADP[c] + Phosphate[e]	2.0						
