1	ID	DESCRIPTION	SHOULD FAIL	IN	IN LB	IN UB	OUT	OUT LB	OUT UB	EQU	EQU LB	EQU UB	CHANGED RXN	CHANGED LB	CHANGED UB	PRINT FLUX	COMMENTS
	1.0	Aerobic rephosphorylation of ATP from glucose		Oxygen[e];D-Glucose[e]			Water[e];Carbon dioxide[e]			Adenosine triphosphate[c] + Water[c] => ADP[c] + Phosphate[e]	1.0						
	2.0	Aerobic rephosphorylation of ATP from a fatty acid		Oxygen[e];Palmitic acid[e]			Water[e];Carbon dioxide[e]			Adenosine triphosphate[c] + Water[c] => ADP[c] + Phosphate[e]	1.0						
	3.0	Aerobic rephosphorylation of GTP		Oxygen[e];D-Glucose[e]			Water[e];Carbon dioxide[e]			Guanosine triphosphate[c] + Water[c] => GDP[c] + Phosphate[e]	1.0						
	4.0	Aerobic rephosphorylation of CTP		Oxygen[e];D-Glucose[e]			Water[e];Carbon dioxide[e]			Cytidine triphosphate[c] + Water[c] => CDP[c] + Phosphate[e]	1.0						
	5.0	Aerobic rephosphorylation of UTP		Oxygen[e];D-Glucose[e]			Water[e];Carbon dioxide[e]			Uridine triphosphate[c] + Water[c] => UDP[c] + Phosphate[e]	1.0						
	6.0	Anaerobic rephosphorylation of ATP		D-Glucose[e]			Water[e];L-Lactic acid[e];Carbon dioxide[e]			Adenosine triphosphate[c] + Water[c] => ADP[c] + Phosphate[e]	1.0						
	7.0	Anaerobic rephosphorylation of GTP		D-Glucose[e]			Water[e];L-Lactic acid[e];Carbon dioxide[e]			Guanosine triphosphate[c] + Water[c] => GDP[c] + Phosphate[e]	1.0						
	8.0	Anaerobic rephosphorylation of CTP		D-Glucose[e]			Water[e];L-Lactic acid[e];Carbon dioxide[e]			Cytidine triphosphate[c] + Water[c] => CDP[c] + Phosphate[e]	1.0						
	9.0	Anaerobic rephosphorylation of UTP		D-Glucose[e]			Water[e];L-Lactic acid[e];Carbon dioxide[e]			Uridine triphosphate[c] + Water[c] => UDP[c] + Phosphate[e]	1.0						
	10.0	ATP de novo synthesis (minimal substrates, physiological excretion)		Oxygen[e];D-Glucose[e];Ammonia[e];Phosphate[e]			Water[e];Carbon dioxide[e]										
							Adenosine triphosphate[c]	1.0									
	11.0	CTP de novo synthesis (minimal substrates, physiological excretion)		Oxygen[e];D-Glucose[e];Ammonia[e];Phosphate[e]			Water[e];Carbon dioxide[e]										
							Cytidine triphosphate[c]	1.0									
	12.0	GTP de novo synthesis (minimal substrates, physiological excretion)		Oxygen[e];D-Glucose[e];Ammonia[e];Phosphate[e]			Water[e];Carbon dioxide[e]										
							Guanosine triphosphate[c]	1.0									
	13.0	UTP de novo synthesis (minimal substrates, physiological excretion)		Oxygen[e];D-Glucose[e];Ammonia[e];Phosphate[e]			Water[e];Carbon dioxide[e]										
							Uridine triphosphate[c]	1.0									
	14.0	dATP de novo synthesis (minimal substrates, physiological excretion)		Oxygen[e];D-Glucose[e];Ammonia[e];Phosphate[e]			Water[e];Carbon dioxide[e]										
							Deoxyadenosine triphosphate[c]	1.0									
	15.0	dCTP de novo synthesis (minimal substrates, physiological excretion)		Oxygen[e];D-Glucose[e];Ammonia[e];Phosphate[e]			Water[e];Carbon dioxide[e]										
							dCTP[c]	1.0									
	16.0	dGTP de novo synthesis (minimal substrates, physiological excretion)		Oxygen[e];D-Glucose[e];Ammonia[e];Phosphate[e]			Water[e];Carbon dioxide[e]										
							dGTP[c]	1.0									
	17.0	dTTP de novo synthesis (minimal substrates, physiological excretion)		Oxygen[e];D-Glucose[e];Ammonia[e];Phosphate[e]			Water[e];Carbon dioxide[e]										
							Thymidine 5'-triphosphate[c]	1.0									
	18.0	ATP salvage from Adenosine		Phosphate[e]			Water[e]			Adenosine triphosphate[c] + Water[c] <=> ADP[c] + Phosphate[e]							
				Adenosine[e]	1.0	1.0	Adenosine triphosphate[e]	1.0									
