	ID	DESCRIPTION	SHOULD FAIL	IN	IN LB	IN UB	OUT	OUT LB	OUT UB	EQU	EQU LB	EQU UB	CHANGED RXN	CHANGED LB	CHANGED UB	PRINT FLUX	COMMENTS
#	ER: Energy and redox; IC: Internal conversions; SU: Substrate utilization; BS: Biosynthesis of products; GR: Growth																
#	Rephosphorylation of nucleoside triphosphates																
	ER	Aerobic rephosphorylation of atp from glc_D		Oxygen[s];D-Glucose[s]			Water[s];Carbon Dioxide[s]			Adenosine Triphosphate[c] + Water[c] => Adenosine Diphosphate[c] + Orthophosphate[c] + Proton[c]	1						
	ER	Aerobic rephosphorylation of gtp		Oxygen[s];D-Glucose[s]			Water[s];Carbon Dioxide[s]			Guanosine-5'-Triphosphate[c] + Water[c] => Guanosine-5'-Diphosphate[c] + Orthophosphate[c] + Proton[c]	1						
	ER	Aerobic rephosphorylation of ctp		Oxygen[s];D-Glucose[s]			Water[s];Carbon Dioxide[s]			Cytidine-5'-Triphosphate[c] + Water[c] => Cytidine-5'-DIphosphate[c] + Orthophosphate[c] + Proton[c]	1						
	ER	Aerobic rephosphorylation of utp		Oxygen[s];D-Glucose[s]			Water[s];Carbon Dioxide[s]			Uridine-5'-TrIphosphate[c] + Water[c] => Uridine Diphosphate[c] + Orthophosphate[c] + Proton[c]	1						
																	
#	De novo synthesis of nucleotides																
	BS	atp de novo synthesis		Oxygen[s];D-Glucose[s];Ammonium[s];Orthophosphate[s]			Water[s];Carbon Dioxide[s]			Adenosine Triphosphate[c] + Water[c] <=> Adenosine Diphosphate[c] + Orthophosphate[c] + Proton[c]							
							Adenosine Triphosphate[c]	1									
	BS	ctp de novo synthesis		Oxygen[s];D-Glucose[s];Ammonium[s];Orthophosphate[s]			Water[s];Carbon Dioxide[s]			Adenosine Triphosphate[c] + Water[c] <=> Adenosine Diphosphate[c] + Orthophosphate[c] + Proton[c]							
							Cytidine-5'-Triphosphate[c]	1									
	BS	gtp de novo synthesis		Oxygen[s];D-Glucose[s];Ammonium[s];Orthophosphate[s]			Water[s];Carbon Dioxide[s]			Adenosine Triphosphate[c] + Water[c] <=> Adenosine Diphosphate[c] + Orthophosphate[c] + Proton[c]							
							Guanosine-5'-Triphosphate[c]	1									
	BS	utp de novo synthesis		Oxygen[s];D-Glucose[s];Ammonium[s];Orthophosphate[s]			Water[s];Carbon Dioxide[s]			Adenosine Triphosphate[c] + Water[c] <=> Adenosine Diphosphate[c] + Orthophosphate[c] + Proton[c]							
							Uridine-5'-TrIphosphate[c]	1									
	BS	datp de novo synthesis		Oxygen[s];D-Glucose[s];Ammonium[s];Orthophosphate[s]			Water[s];Carbon Dioxide[s]			Adenosine Triphosphate[c] + Water[c] <=> Adenosine Diphosphate[c] + Orthophosphate[c] + Proton[c]							
							Deoxyadenosine Triphosphate[c]	1									
	BS	dctp de novo synthesis		Oxygen[s];D-Glucose[s];Ammonium[s];Orthophosphate[s]			Water[s];Carbon Dioxide[s]			Adenosine Triphosphate[c] + Water[c] <=> Adenosine Diphosphate[c] + Orthophosphate[c] + Proton[c]							
							Deoxycytidine-5'-Triphosphate[c]	1									
	BS	dgtp de novo synthesis		Oxygen[s];D-Glucose[s];Ammonium[s];Orthophosphate[s]			Water[s];Carbon Dioxide[s]			Adenosine Triphosphate[c] + Water[c] <=> Adenosine Diphosphate[c] + Orthophosphate[c] + Proton[c]							
							Deoxyguanosine-5'-Triphosphate[c]	1									
	BS	dTTP de novo synthesis		Oxygen[s];D-Glucose[s];Ammonium[s];Orthophosphate[s]			Water[s];Carbon Dioxide[s]			Adenosine Triphosphate[c] + Water[c] <=> Adenosine Diphosphate[c] + Orthophosphate[c] + Proton[c]							
							Deoxythymidine-5'-Triphosphate[c]	1									
#	Uptake of essential amino acids																
	SU	Histidine uptake		L-Histidine[s]	1	1	L-Histidine[c]	1									
	SU	Isoleucine uptake		L-Isoleucine[s]	1	1	L-Isoleucine[c]	1									
	SU	Leucine uptake		L-Leucine[s]	1	1	L-Leucine[c]	1									
	SU	Lysine uptake		L-Lysine[s]	1	1	L-Lysine[c]	1									
	SU	Methionine uptake		L-Methionine[s]	1	1	L-Methionine[c]	1									
	SU	Phenylalanine uptake		L-Phenylalanine[s]	1	1	L-Phenylalanine[c]	1									
	SU	Threonine uptake		L-Threonine[s]	1	1	L-Threonine[c]	1									
	SU	Tryptophan uptake		L-Tryptophan[s]	1	1	L-Tryptophan[c]	1									
	SU	Valine uptake		L-Valine[s]	1	1	L-Valine[c]	1									
																	
#	De novo synthesis of key intermediates																
	IC	Glycerate 3-phosphate  de novo synthesis		Oxygen[s];D-Glucose[s];Orthophosphate[s]			3-Phospho-D-Glycerate[c]	1									
							Carbon Dioxide[s];Water[s]										
	IC	Mitochondrial acetyl-CoA de novo synthesis		Oxygen[s];D-Glucose[s]			Carbon Dioxide[s];Water[s]			Acetyl Coenzyme A[m] => Coenzyme A[m]	1						
	IC	Mitochondrial AKG de novo synthesis		Oxygen[s];D-Glucose[s]			2-Oxoglutarate[m]	1									
							Carbon Dioxide[s];Water[s]										
	IC	Erythrose 4-phosphate de novo synthesis		Oxygen[s];D-Glucose[s];Orthophosphate[s]			D-Erythrose 4-Phosphate[c]	1									
							Carbon Dioxide[s];Water[s]										
	IC	Fructose 6-phosphate de novo synthesis		Oxygen[s];D-Glucose[s];Orthophosphate[s]			D-Fructose 6-Phosphate[c]	1									
							Carbon Dioxide[s];Water[s]										
	IC	Glyceraldehyde 3-phosphate de novo synthesis		Oxygen[s];D-Glucose[s];Orthophosphate[s]			Glyceraldehyde 3-Phosphate[c]	1									
							Carbon Dioxide[s];Water[s]										
