Metabolite	Measured	Predicted	Cell.Line
glucose	-0.891204517	-0.0173026429488735	HS_578T
isoleucine	-0.013615722	-0.0003081711366272	HS_578T
leucine	-0.01834798	-0.0006284715379487	HS_578T
lysine	-0.022543147	-0.0004928832726284	HS_578T
methionine	-0.006100296	-0.0001542202376923	HS_578T
phenylalanine	-0.006567123	-0.0002606647059619	HS_578T
threonine	-0.013603744	-0.0003893781794683	HS_578T
tryptophan	-0.001211726	-6.75470895219395e-05	HS_578T
valine	-0.01330341	-0.0008105894491008	HS_578T
alanine	0.056209087	-0.0001930372626445	HS_578T
asparagine	-0.00571363	-0.0002568461093456	HS_578T
glutamine	-0.226698917	-0.0009374505628963	HS_578T
tyrosine	-0.007986935	-0.0001953007318221	HS_578T
arginine	-0.027206388	-0.0003505949338188	HS_578T
glycine	-0.000802262	-0.000386641928006	HS_578T
proline	0.000605661	-0.0003526934729926	HS_578T
serine	-0.0325857	-0.001022496175646	HS_578T
aspartate	-0.001934168	-0.0007627624989167	HS_578T
glutamate	0.02678411	0.0	HS_578T
choline	-0.002044274	-0.0001596853066111	HS_578T
ornithine	0.007885861	2.64860440814501e-08	HS_578T
pyruvate	2.51e-07	0.0	HS_578T
L-lactate	1.392205968	0.0257484356073261	HS_578T
folate	4.25e-05	-5.29720881629122e-08	HS_578T
AKG	2.25e-05	0.0	HS_578T
L-carnitine	-1.19e-05	0.0	HS_578T
biomass	0.035730055	0.0012795190377515	HS_578T
glucose	-0.437346135	-0.0142388956992476	RPMI_8226
isoleucine	-0.005558778	-0.0003325291813761	RPMI_8226
leucine	-0.007998895	-0.0006781463323255	RPMI_8226
lysine	-0.009620991	-0.0005318410833504	RPMI_8226
methionine	-0.002496251	-0.000166409904421	RPMI_8226
phenylalanine	-0.002744675	-0.000341335469726	RPMI_8226
threonine	-0.006411995	-0.0004201548810879	RPMI_8226
tryptophan	-0.000695832	-7.28860549008677e-05	RPMI_8226
valine	-0.006165194	-0.0004987571980791	RPMI_8226
alanine	0.014127935	-0.0008092934605517	RPMI_8226
asparagine	-0.002018538	-0.0008907183713076	RPMI_8226
glutamine	-0.146252447	-0.0012210280148485	RPMI_8226
tyrosine	-0.003674763	-0.0002107374272158	RPMI_8226
arginine	-0.006832754	-0.0003783061827702	RPMI_8226
glycine	-0.000306523	-0.0005581568136175	RPMI_8226
proline	-0.000675569	-0.0003805705918294	RPMI_8226
serine	-0.016314407	-0.0005886908669396	RPMI_8226
aspartate	-0.000782986	0.0	RPMI_8226
glutamate	0.056588804	0.0	RPMI_8226
choline	-0.000545279	-0.0001723069359005	RPMI_8226
ornithine	0.000643202	0.0	RPMI_8226
pyruvate	6.64e-08	0.0247705983631793	RPMI_8226
L-lactate	0.679121284	0.0	RPMI_8226
folate	-5.73e-06	-5.71590360647823e-08	RPMI_8226
AKG	1.03e-05	0.0	RPMI_8226
L-carnitine	-2.09e-05	0.0	RPMI_8226
biomass	0.018333143	0.001380653045043	RPMI_8226
glucose	-0.826120427	-0.0654059899641275	HT29
isoleucine	-0.008957816	-0.0005016829166689	HT29
leucine	-0.016259326	-0.0010231115011363	HT29
lysine	-0.017307958	-0.0008023824699998	HT29
methionine	-0.004789793	-0.0002510606914769	HT29
phenylalanine	-0.005369239	-0.0004243454834572	HT29
threonine	-0.011510289	-0.0006359267323927	HT29
tryptophan	-0.00138647	-0.0001099623451266	HT29
valine	-0.011472903	-0.00075042525672	HT29
alanine	0.055245815	0.0993907617123986	HT29
asparagine	-0.002396685	-0.0004181290521943	HT29
glutamine	-0.228850691	-0.0018421507949727	HT29
tyrosine	-0.008123502	-0.0003179371106602	HT29
arginine	-0.011382525	-0.0005707461473927	HT29
glycine	0.003908824	0.0151065608131797	HT29
proline	0.005380916	-0.0005741624350599	HT29
serine	-0.033339735	-0.117158788108691	HT29
aspartate	-0.004150227	-0.0009256874170818	HT29
glutamate	0.042193442	0.0	HT29
choline	-0.000966912	-0.0002599574744301	HT29
ornithine	0.003060358	0.0	HT29
pyruvate	1.15e-07	0.0	HT29
L-lactate	1.166895089	0.0256872202108348	HT29
folate	-2.34e-06	-0.0159487317551922	HT29
AKG	1.33e-05	0.0	HT29
L-carnitine	-2.46e-05	0.0	HT29
biomass	0.031111255	0.002082975225448	HT29
glucose	-0.848562996	-0.059718898445392	MALME_3M
isoleucine	-0.01142058	-0.0004398143054914	MALME_3M
leucine	-0.012571768	-0.0008969392007611	MALME_3M
lysine	-0.009254128	-0.0007034309462331	MALME_3M
methionine	-0.003363566	-0.0002200993495877	MALME_3M
phenylalanine	-0.003162452	-0.0003720142900905	MALME_3M
threonine	-0.009353784	-0.0005570492836918	MALME_3M
tryptophan	-0.000865457	-9.64015533420884e-05	MALME_3M
valine	-0.008788208	-0.0006578812077137	MALME_3M
alanine	0.022787714	0.103761197785795	MALME_3M
asparagine	-0.004913882	-0.001278393687533	MALME_3M
glutamine	-0.122203241	-0.00161497281566	MALME_3M
tyrosine	-0.004482545	-0.0002787284256028	MALME_3M
arginine	-0.00129978	-0.0005003605107667	MALME_3M
glycine	0.016061208	-0.0008618368712575	MALME_3M
proline	-0.001069608	-0.000503355494526	MALME_3M
serine	-0.024670565	-0.105335810288131	MALME_3M
aspartate	0.001500354	0.0	MALME_3M
glutamate	0.016112564	0.0	MALME_3M
choline	-0.001938647	-0.0002278989622228	MALME_3M
ornithine	-0.002311655	0.0	MALME_3M
pyruvate	2.87e-07	0.0	MALME_3M
L-lactate	0.932104298	0.009754408744551	MALME_3M
folate	1e-05	-7.560046804119e-08	MALME_3M
AKG	1.95e-05	0.0	MALME_3M
L-carnitine	-1.83e-05	0.0	MALME_3M
biomass	0.020798529	0.0018260982618644	MALME_3M
glucose	-0.898948663	-0.0590385792041743	SR
isoleucine	-0.004599992	-0.0004419454091817	SR
leucine	-0.00879963	-0.000901285285954	SR
lysine	-0.015465749	-0.0007068393944502	SR
methionine	-0.004351409	-0.0002211658327155	SR
phenylalanine	-0.004906518	-0.0003738168713539	SR
threonine	-0.009821513	-0.0005602042457872	SR
tryptophan	-0.00133912	-9.68686634463112e-05	SR
valine	-0.010175864	-0.0015503985225009	SR
alanine	0.086767953	0.0986117795221432	SR
asparagine	-0.001222105	-0.000368340656863	SR
glutamine	-0.219496506	-0.001893107061108	SR
tyrosine	-0.006833216	-0.0002800789937152	SR
arginine	-0.005431378	-0.0005027849888195	SR
glycine	0.008171299	-0.0005544796535769	SR
proline	0.00710491	-0.00050579448466	SR
serine	-0.031649758	-0.0998827110049706	SR
aspartate	-0.012462967	-0.0005451529444292	SR
glutamate	0.011390914	0.0	SR
choline	-0.000844902	-0.0002290032380805	SR
ornithine	-0.001427155	0.0002703089553558	SR
pyruvate	1.52e-07	0.0146099170250987	SR
L-lactate	1.118142634	0.0	SR
folate	8.51e-06	-7.59667872682329e-08	SR
AKG	1.05e-05	0.0	SR
L-carnitine	-4.72e-05	0.0	SR
biomass	0.019171008	0.0018349465523727	SR
glucose	-0.549041759	-0.0355796991572649	UO_31
isoleucine	-0.00973818	-0.0002693937475897	UO_31
leucine	-0.009163894	-0.0005493174461541	UO_31
lysine	-0.005490858	-0.0004307153538354	UO_31
methionine	-0.001823891	-0.0001347682665147	UO_31
phenylalanine	-0.002358298	-0.0002277867748728	UO_31
threonine	-0.005220614	-0.0003412122069563	UO_31
tryptophan	-0.000421306	-5.9027299524384e-05	UO_31
valine	-0.005794702	-0.0005014732435483	UO_31
alanine	0.025716586	0.0218418556115407	UO_31
asparagine	0.000345758	-0.0002244613947862	UO_31
glutamine	-0.124230534	-0.0005447043587122	UO_31
tyrosine	-0.002693864	-0.0001706672319442	UO_31
arginine	-0.006102876	-0.0003063740024436	UO_31
glycine	0.004334714	-0.0004521083472688	UO_31
proline	0.001186608	-0.0003082657138471	UO_31
serine	-0.011636228	-0.0227686627288998	UO_31
aspartate	0.000128843	-0.0004966329453327	UO_31
glutamate	0.038522979	-0.0004445069901212	UO_31
choline	-0.000249379	-0.0001395440201745	UO_31
