exchangeIDs	exchangeMets	exp_HS_578T	HS_578T	exp_RPMI_8226	RPMI_8226	exp_HT29	HT29	exp_MALME_3M	MALME_3M	exp_SR	SR	exp_UO_31	UO_31	exp_MDMAMB_231	MDMAMB_231	exp_HOP62	HOP62	exp_NCI_H226	NCI_H226	exp_HOP92	HOP92	exp_O_786	O_786
MAR09034	glucose	-0.891204517	-0.891204517	-0.437346135	-0.437346135	-0.826120427	-0.826120427	-0.848562996	-0.848562996	-0.898948663	-0.898948663	-0.549041759	-0.549041759	-0.479477546	-0.479477546	-0.26705905	-0.26705905	-0.398649261	-0.398649261	-0.594208072	-0.594208072	-0.864113881	-0.864113881
MAR09039	isoleucine	-0.013615722	-11.6731843119601	-0.005558778	-11.5532226139707	-0.008957816	-5.78418761568897	-0.01142058	-11.6316087707557	-0.004599992	-11.5438975660931	-0.00973818	-11.704737267548	-0.005568708	-11.6087642937227	-0.003331967	-11.7260375946041	-0.007996597	-11.6224210069528	-0.007304317	-11.5447286807465	-0.00889841	-11.694880120882
MAR09040	leucine	-0.01834798	-23.8058118537273	-0.007998895	-23.561166902044	-0.016259326	-11.7960342633046	-0.012571768	-23.7210244054031	-0.00879963	-23.5421497830326	-0.009163894	-23.8669844465244	-0.006592535	-23.6744363187584	-0.004904579	-23.9135986639798	-0.009283825	-23.702287257886	-0.00911516	-23.5407129237035	-0.010361673	-23.850057393882
MAR09041	lysine	-0.022543147	-18.6698772268012	-0.009620991	-18.4780126838002	-0.017307958	-9.25112375130175	-0.009254128	-18.6033820675388	-0.015465749	-18.4630983729869	-0.005490858	-18.7139089115795	-0.006015855	-18.5668450293049	-0.006186391	-18.7544097992019	-0.009191799	-18.5886873263607	-0.013165857	-18.4580820570311	-0.012443708	-18.7045771062927
MAR09042	methionine	-0.006100296	-5.82965413694467	-0.002496251	-5.78166001248308	-0.004789793	-2.89462147140555	-0.003363566	-5.808891076986	-0.004351409	-5.76508760627456	-0.001823891	-5.84340299507623	-0.001426579	-5.79748241620563	-0.001965335	-5.8560493646377	-0.00289763	-5.80430265588073	-0.002318728	-5.76600096826494	-0.003263032	-5.84048914638644
MAR09043	phenylalanine	-0.006567123	-9.87369287603687	-0.002744675	-9.77222399392374	-0.005369239	-4.89252037219816	-0.003162452	-9.83852645408751	-0.004906518	-9.76433645815476	-0.002358298	-9.89697933513	-0.00220937	-9.81920359032472	-0.002257474	-9.91839850788257	-0.003408873	-9.83075503922907	-0.003510565	-9.76168354498801	-0.00339599	-9.89204414577327
MAR09044	threonine	-0.013603744	-14.796776428847	-0.006411995	-14.6327991179225	-0.011510289	-7.33196090154803	-0.009353784	-14.7440758142016	-0.009821513	-14.6328942333224	-0.005220614	-14.8251370740278	-0.004979441	-14.715118452589	-0.005240142	-14.8637725616857	-0.007183311	-14.7324295244456	-0.008527731	-14.622471334667	-0.008802744	-14.8242777537195
MAR09045	tryptophan	-0.001211726	-2.55860959061806	-0.000695832	-2.53231555269492	-0.00138647	-1.26781840429545	-0.000865457	-2.5494967748158	-0.00133912	-2.53027162395233	-0.000421306	-2.56464390405227	-0.00035138	-2.54448956371836	-0.000467773	-2.57019434009641	-0.000944004	-2.54748293694996	-0.000954767	-2.52958416393542	-0.000725178	-2.56336502866308
MAR09046	valine	-0.01330341	-17.4609340740672	-0.006165194	-17.2814934652301	-0.011472903	-8.65207949523263	-0.008788208	-17.3987447207029	-0.010175864	-17.2675449108445	-0.005794702	-17.5051314306594	-0.004841612	-17.3645735899497	-0.005347229	-17.5399928517908	-0.007691297	-17.3850015180118	-0.009105286	-17.2658290629112	-0.010005055	-17.4933870088573
MAR09061	alanine	0.056209087	-521.396415769153	0.014127935	0	0.055245815	1000	0.022787714	0	0.086767953	0	0.025716586	5.84340299507623	0.018852115	0	0.009601013	0	0.012695001	0	0.032353203	0	0.0076389	-11.2356445402262
MAR09062	asparagine	-0.00571363	-9.72904862867954	-0.002018538	-9.6290662106754	-0.002396685	-4.82084760135125	-0.004913882	-9.69439737574536	-0.001222105	-9.62129422302902	0.000345758	-9.75249676797185	-0.001988739	-9.67535758146031	-0.001628876	-9.77309934725701	-0.001922615	-9.68673980790112	-0.002382279	-9.61917611412381	-0.002440472	-9.74713106226392
MAR09063	glutamine	-0.226698917	-45.5449330696238	-0.146252447	-139.728353434414	-0.228850691	-25.5807057417037	-0.122203241	-23.5182778296091	-0.219496506	-80.0708987102108	-0.124230534	-23.6665530074793	-0.078432974	-55.1602845139771	-0.091938612	-96.5054166796573	-0.094750789	-33.3528635475547	-0.123594044	-23.3430214651109	-0.109775824	-33.5607994791635
MAR09064	tyrosine	-0.007986935	-7.39777729923755	-0.003674763	-7.32175263429224	-0.008123502	-3.66567773576861	-0.004482545	-7.3714291677676	-0.006833216	-7.31584296768704	-0.002693864	-7.41522447332161	-0.003180849	-7.35695168252533	-0.00311885	-7.43127259958461	-0.004976546	-7.3656065037306	-0.004926558	-7.31385529589618	-0.003969672	-7.41152682622544
MAR09066	arginine	-0.027206388	-13.2801511721638	-0.006832754	-13.143675173705	-0.011382525	-538.487548909312	-0.00129978	-15.3159771550485	-0.005431378	-71.1822981233594	-0.006102876	-13.3114715404296	-0.007139201	-13.2068628938463	-0.001574063	-13.3402804020894	-0.00338457	-13.222399632697	-0.012814136	-15.2156947996543	-0.009856139	-13.3048336936236
MAR09067	glycine	-0.000802262	-14.6455717357021	-0.000306523	0	0.003908824	471.988356780377	0.016061208	-19.5118893103076	0.008171299	-14.4714584055817	0.004334714	0	0.006385996	-9.00347305087089	0.002939872	-19.670292571193	0.000604886	-14.5818823768126	-0.00039991	0	0.0025653	-14.6607305079275
MAR09068	proline	0.000605661	0	-0.000675569	-13.2223486358098	0.005380916	0	-0.001069608	0	0.00710491	-13.2116763724765	0.001186608	0	0.001436971	0	0.001361038	0	0.002203858	-13.3015443119963	0.002435376	0	0.000231007	-13.3844717945027
MAR09069	serine	-0.0325857	-30.5617441183487	-0.016314407	-39.857400572636	-0.033339735	-516.684789201369	-0.024670565	-921.557978841033	-0.031649758	-652.002966733676	-0.011636228	-582.653229807942	-0.016568732	-520.03565591764	-0.017833616	-20.7712078163607	-0.021499214	-999.51339118357	-0.022222852	-444.960835798179	-0.030117158	-1000
MAR09070	aspartate	-0.001934168	0	-0.000782986	0	-0.004150227	0	0.001500354	-4.1368394008677	-0.012462967	0	0.000128843	0	-0.00113204	0	-0.006761827	0	0.002611711	0	-0.000494245	0	-0.000684778	0
MAR09071	glutamate	0.02678411	-108.873081704777	0.056588804	0	0.042193442	-1000	0.016112564	-51.9288895986117	0.011390914	-41.6831227365981	0.038522979	-178.110239279604	0.00917449	-103.246985265619	0.016202008	-60.7515902853711	0.01664521	-138.602221758065	0.015988165	-217.143467603807	0.018807129	-114.755469263086
MAR09083	choline	-0.002044274	-6.05472366831943	-0.000545279	-5.98654343703473	-0.000966912	-2.99719754100534	-0.001938647	-6.02716086025379	-0.000844902	-5.98171146884392	-0.000249379	-6.06900333822568	-0.000990661	-6.01532351766773	-0.000451292	-6.07609112625533	-0.001591875	-6.02839342490918	-0.00136736	-5.98603755905045	-0.000571763	-6.05994623092539
MAR09087	ornithine	0.007885861	0	0.000643202	0	0.003060358	0.00795403488288748	-0.002311655	0	-0.001427155	0	0.001458248	0	0.001948405	0	0.001635996	0	-0.001200326	0	0.009506915	0	0.01603422	0
MAR09133	pyruvate	2.51e-07	982.832396818155	6.64e-08	920.101829202469	1.15e-07	400.162391030067	2.87e-07	0.0279507255667139	1.52e-07	251.45775334756	5.61e-08	455.828753191618	5.85e-08	434.771227223086	3.08e-08	975.536751514486	4.95e-08	36.9234267771857	1.05e-07	577.552059712918	5.76e-08	36.7530130747005
MAR09135	L-lactate	1.392205968	1.392205968	0.679121284	0.679121284	1.166895089	1.166895089	0.932104298	0.932104298	1.118142634	1.118142634	0.767588362	0.767588362	0.743240244	0.743240244	0.317551752	0.317551752	0.552731028	0.552731028	0.687740829	0.687740829	0.992967126	0.992967126
MAR09146	folate	4.25e-05	-0.00200652454114503	-5.73e-06	-19.3942987668199	-2.34e-06	-481.69822445023	1e-05	-0.00199937804696585	8.51e-06	-0.00198430121103268	-9.39e-06	-19.6469207381846	8.43e-07	-10.4720903644492	-3.16e-06	-0.00201560958648238	-6.98e-06	-0.00199779874580486	-1.4e-05	-19.373379821867	-1.4e-05	-0.00201025387255527
MAR09259	AKG	2.25e-05	0	1.03e-05	0	1.33e-05	0	1.95e-05	0	1.05e-05	0	6.34e-06	0	4.48e-06	0	8.71e-06	0	2.8e-06	0	8.67e-06	0	1.24e-05	0
MAR09292	L-carnitine	-1.19e-05	0	-2.09e-05	0	-2.46e-05	0	-1.83e-05	0	-4.72e-05	0	1.17e-06	0	-5.56e-06	0	-2.19e-05	0	-1.2e-05	0	-2.58e-05	0	9.89e-06	0
MAR10024	biomass	0.035730055	48.4667763561602	0.018333143	47.9686983140103	0.031111255	24.0158058058278	0.020798529	48.2941557238128	0.019171008	47.9299809428184	0.013033577	48.5810820793748	0.010926773	48.1993060127362	0.011473383	48.6862218957096	0.018027769	48.2560083527487	0.02270517	47.916958647031	0.025987054	48.5568568252747
