DelGene	BMR
ENSG00000000419	1636.98168940366
ENSG00000001036	1625.15809056875
ENSG00000001084	1632.94175427115
ENSG00000001630	NA
ENSG00000002549	1634.92996175647
ENSG00000002587	1633.61908840577
ENSG00000002726	1635.07369406615
ENSG00000003137	1633.62144720552
ENSG00000003987	1620.89319041326
ENSG00000003989	NA
ENSG00000004455	1655.08069514232
ENSG00000004468	1635.05825385627
ENSG00000004779	1635.92472894722
ENSG00000004799	1633.32825126516
ENSG00000004809	1633.69042183108
ENSG00000004864	1637.02540394847
ENSG00000004939	1625.19784095649
ENSG00000005022	1499.72948256376
ENSG00000005075	1635.00466218161
ENSG00000005187	1604.01512209473
ENSG00000005381	1673.61849528911
ENSG00000005421	1633.26731307503
ENSG00000005469	1628.42508452465
ENSG00000005471	1646.38423434948
ENSG00000005882	1633.32825126516
ENSG00000006071	1635.19727647299
ENSG00000006530	1606.65153807168
ENSG00000006534	1636.16534685443
ENSG00000006625	1631.62433571444
ENSG00000006756	1624.59296214266
ENSG00000006757	1641.0055190779
ENSG00000007001	1637.835666746
ENSG00000007168	1634.32537865846
ENSG00000007171	NA
ENSG00000007216	1633.65619224527
ENSG00000007314	1634.03660401287
ENSG00000007350	NA
ENSG00000007541	1618.93124198343
ENSG00000008130	1633.4517991305
ENSG00000008311	1611.51787409982
ENSG00000008394	1605.61386485229
ENSG00000008513	1635.14224523014
ENSG00000009413	1636.50397607224
ENSG00000010256	1669.0678355984
ENSG00000010379	1619.75521951348
ENSG00000010404	1635.04598833022
ENSG00000010932	1633.56507900884
ENSG00000011009	1637.88091550536
ENSG00000011083	1610.12608631761
ENSG00000011198	NA
ENSG00000011405	1634.52470113635
ENSG00000012232	1633.61908850771
ENSG00000012660	NA
ENSG00000012779	NA
ENSG00000013288	1637.68924419387
ENSG00000013306	1632.91871770939
ENSG00000013375	1637.84389098468
ENSG00000013392	1638.37389235689
ENSG00000013503	1635.00466218161
ENSG00000014138	1636.50397607224
ENSG00000014257	1680.5378574175
ENSG00000014641	NA
ENSG00000015413	1637.34398002629
ENSG00000015520	1633.90130784062
ENSG00000015532	1632.4278065346
ENSG00000016391	NA
ENSG00000016864	1635.86242579764
ENSG00000017260	1632.95723523423
ENSG00000017483	1616.44500921681
