Mets	DemandValue
MAM02354bc	
MAM03037bc	-1890.678916
MAM01115bc	
MAM02409bc	-0.212760448
MAM03933bc	0
MAM01280bc	-380.4016467
MAM01383bc	-0.014976
MAM01638bc	
MAM01307bc	
MAM01365bc	-526.6552794
MAM01368bc	
MAM01369bc	
MAM01641bc	0
MAM01370bc	-252.0521788
MAM01327bc	-10
MAM01397bc	-0.00424336
MAM01401bc	0
MAM01513bc	-1866.473438
MAM01445bc	-718.1350929
MAM01450bc	-830.314805
MAM01595bc	-72.00140158
RBC_MAM01596bc	-11845.06673
MAM02348bc	
MAM01628bc	-343.9540926
MAM01630bc	-632.6722006
MAM01666bc	-380.4234266
MAM01668bc	-632.7669339
MAM01669bc	-380.4336948
MAM01655bc	-0.700129399
MAM01671bc	-475.4972625
MAM01673bc	-948.9411777
MAM01822bc	
MAM01840bc	-3744.5353
MAM01910bc	-3737.357432
MAM01962bc	0
MAM01988bc	-312.016013
MAM01965bc	-3803.966674
MAM01975bc	-949.7793832
MAM01974bc	-1898.706968
MAM01986bc	-1893.988153
MAM02038bc	-380.4292452
MAM02039bc	-27905.46157
MAM02040bc	-83796.95159
MAM02046bc	-10370.12923
MAM02675bc	
MAM02125bc	-66.82889196
MAM02184bc	-34.70601016
MAM02170bc	-475.4900789
MAM02200bc	-10012.05679
MAM02403bc	-8579.975032
MAM02360bc	-56.26537189
MAM02387bc	
MAM02389bc	
MAM01932bc	-714.8215467
MAM00656bc	-519.5651466
MAM02426bc	-39.9738579
MAM02453bc	-3515.963977
MAM02471bc	
MAM02519bc	-20693.5526
MAM02586bc	-5.465789726
RBC_MAM02630bc	-773.1959049
MAM02646bc	-2780.981698
MAM02642bc	-9071.64236
MAM02658bc	-950.5494747
MAM02684bc	-271.5219716
MAM02724bc	-24.85798397
MAM02744bc	0
MAM02751bc	
MAM02680bc	0
MAM02770bc	-1902.474092
MAM02812bc	-950.6539261
MAM02815bc	-10
MAM02813bc	0
MAM02817bc	-30
MAM03102bc	
MAM02833bc	
MAM02843bc	-4728.860218
MAM02842bc	-10
MAM02896bc	-1898.17498
MAM02923bc	-632.9750539
MAM02926bc	-0.00212168
MAM02959bc	0
MAM02961bc	-25.45203077
MAM02963bc	-281.753898
MAM02982bc	
MAM02993bc	-31.05726029
MAM02996bc	-948.8772726
MAM03089bc	-5.465789726
MAM03101bc	-43.63420873
MAM03120bc	-475.3275038
MAM03121bc	-1056.402661
MAM03123bc	-948.8895435
MAM03135bc	-45.34125277
MAM03142bc	0
MAM01451bc	-10.02531334
MAM03155bc	0
MAM01588bc	-702.2979132
MAM03715bc	
MAM00353bc	-3.602702864
MAM01893bc	0
MAM00035bc	-1.246981668
MAM00620bc	0
MAM01415bc	-1.732299241
MAM00648bc	-269.1074499
MAM00665bc	0
MAM00730bc	
MAM01433bc	-44.93643206
MAM02325bc	-1885.062662
MAM01633bc	0
MAM02477bc	-116.828892
MAM01003bc	
MAM02182bc	-0.089110565
MAM02754bc	0
MAM01033bc	-30
MAM01069bc	0
MAM01070bc	-0.00424336
MAM01071bc	0
MAM01100bc	0
MAM01107bc	-2.289363473
MAM01158bc	-0.00424336
MAM02338bc	0
MAM01256bc	
MAM03096bc	-8.887364415
MAM03098bc	-6.931613666
MAM01260bc	
MAM00744bc	-7.159754386
MAM01711bc	0
MAM03138bc	-400.7088788
MAM01290bc	
MAM00516bc	-33.56522837
MAM01309bc	-0.00424336
MAM01338bc	-0.00424336
MAM01339bc	-0.00424336
MAM00580bc	0
MAM01771bc	
MAM01362bc	-6294.727442
MAM00157bc	-14414.0431
MAM01398bc	-0.00424336
MAM01396bc	-0.00424336
MAM01419bc	-48.3206169
MAM01590bc	0
MAM01619bc	-701.5636944
MAM01431bc	0
MAM01615bc	
MAM01614bc	-0.00424336
MAM01689bc	-18572.23326
MAM01517bc	0
MAM01525bc	0
MAM01533bc	0
MAM01543bc	0
MAM01554bc	0
MAM00240bc	0
MAM01987bc	-328.5231215
MAM01659bc	
MAM01695bc	-33.3263209
MAM01736bc	-7.550960559
MAM01737bc	
MAM01778bc	-71.37734014
MAM01787bc	0
MAM01786bc	
MAM00402bc	0
MAM01795bc	0
MAM01789bc	0
MAM01850bc	-11.34894215
MAM02198bc	-58.19983341
MAM01852bc	0
MAM01859bc	-51.3274172
MAM01919bc	-9.242151555
MAM01914bc	-11.03808358
MAM01884bc	-9.693839545
MAM01916bc	-53.24633456
MAM01917bc	-11.03808358
MAM01959bc	0
MAM01944bc	-0.00424336
MAM01945bc	-0.014976
MAM00097bc	-949.6626653
MAM03620bc	-278.2467729
MAM02023bc	0
MAM02024bc	-276.8173873
MAM02027bc	-171.9911413
MAM02026bc	-343.9540926
MAM02041bc	-16966.55125
MAM02141bc	-773.145434
MAM02674bc	-3871.546788
MAM00986bc	0
MAM02124bc	-116.828892
MAM02136bc	5.41E-11
MAM02054bc	1.28E-10
MAM02167bc	0
MAM02171bc	-3562.194733
MAM02288bc	0
MAM02303bc	0
MAM01716bc	0
MAM02362bc	-7060.330482
MAM02364bc	-7060.330482
MAM02366bc	-1.852416
MAM02418bc	-343.9540926
MAM02369bc	-72.19084492
MAM02370bc	0
MAM00104bc	
MAM00490bc	0
MAM02470bc	0
MAM02475bc	0
MAM02609bc	-1868.527317
MAM02617bc	
MAM02620bc	0
MAM02564bc	-1797.187118
MAM02631bc	-167.2000872
MAM01244bc	-0.609691614
MAM01245bc	0
MAM02938bc	-3729.569552
MAM02661bc	-5207.866042
MAM00626bc	-33.55025236
MAM02685bc	
MAM02715bc	
MAM02722bc	0
MAM02769bc	0
MAM02783bc	-1984.416256
MAM02786bc	-2289.250245
MAM02789bc	-2343.98826
MAM02808bc	-271.5219716
MAM02841bc	-4656.125489
MAM02834bc	0
MAM00291bc	0
MAM02931bc	0
MAM02928bc	0
MAM02930bc	
MAM02897bc	-5.465789726
MAM02939bc	-30.36700359
MAM02962bc	-298.8460317
MAM02980bc	-70.00016043
MAM02983bc	-8.588474207
MAM02985bc	-10
MAM02997bc	-948.9011819
MAM01784bc	-6544.559793
MAM02969bc	0
MAM02967bc	-0.00424336
MAM02968bc	-0.00424336
MAM02991bc	0
MAM02494bc	-88.61121272
MAM02994bc	0
MAM03106bc	0
MAM03114bc	
MAM00432bc	0
MAM04081bc	0
MAM01446bc	0
MAM01448bc	-7.583037286
MAM00969bc	-1899.497193
MAM02524bc	-1878.795086
MAM01155bc	-380.4094522
MAM01686bc	0
MAM01688bc	0
MAM01984bc	0
MAM01690bc	0
MAM01752bc	0
MAM01753bc	0
MAM01802bc	-10
MAM01831bc	0
MAM02042bc	-57.7057477
MAM01020bc	0
MAM01704bc	-380.4381793
MAM01913bc	0
MAM03127bc	0
MAM01605bc	0
MAM02659bc	-948.4959243
MAM02806bc	0
MAM02814bc	0
MAM02949bc	0
MAM02794bc	-1984.416256
MAM02795bc	-2319.355559
MAM01424bc	0
MAM03151bc	
