Mets	DemandValue
MAM00353u	
MAM01893u	0
MAM00035u	-1.246981668
MAM00620u	0
MAM01415u	-1.732299241
MAM00648u	-22.228992
MAM00665u	0
MAM00730u	
MAM02354u	-3.704832
MAM01433u	-41.01280954
MAM02325u	-72.10186135
MAM01633u	0
MAM02477u	-22.228992
MAM01003u	-18.52416
MAM02182u	-0.089110565
MAM01033u	-11.114496
MAM01069u	0
MAM01070u	-0.00424336
MAM01071u	0
MAM01107u	-2.289363473
MAM01115u	-14.819328
MAM01158u	-0.00424336
MAM02338u	0
MAM01256u	-373.33435
MAM03096u	-8.887364415
MAM03098u	-6.931613667
MAM01260u	-0.014976
MAM00744u	-3.704832
MAM01711u	0
MAM03138u	-14.01150073
MAM01290u	-7.409664
MAM01383u	-0.014976
MAM01309u	-0.00424336
MAM01338u	-0.00424336
MAM01339u	
MAM01362u	-27.86430537
MAM01368u	-0.700129399
MAM01327u	-3.704832
MAM00157u	-318.0437936
MAM01397u	-0.00424336
MAM01396u	-0.00424336
MAM01419u	-45.07464554
MAM01513u	-36.65464458
MAM01445u	-8.324215349
MAM01450u	-9.299310269
MAM01595u	-3.717562081
MAM01619u	-14.819328
MAM01431u	0
MAM02348u	-65.08848323
MAM01615u	0
MAM01689u	-4.886470319
MAM01987u	-10.63359911
MAM01655u	-0.700129399
MAM01659u	-0.00424336
MAM01695u	-22.89538526
MAM01736u	
MAM01737u	
MAM01787u	0
MAM01786u	-0.00424336
MAM00402u	-4.00E-12
MAM01795u	0
MAM01789u	0
MAM01850u	-11.34894215
MAM02198u	-14.55395698
MAM01852u	0
MAM01859u	-13.12758628
MAM01919u	-9.242151555
MAM01914u	-11.03808358
MAM01884u	-9.693839544
MAM01916u	-9.022234265
MAM01917u	-11.03808358
MAM01959u	0
MAM01988u	-3.704832
MAM01944u	-0.00424336
MAM03620u	-273.5345725
MAM02024u	-3.70907536
MAM02038u	-54.9110053
MAM02027u	-11.2976925
MAM02026u	-22.228992
MAM02674u	-72.40656528
MAM00986u	0
MAM02124u	-14.819328
MAM02136u	5.12E-11
