Mets	DemandValue
MAM02354bc	-7.66227501808825
MAM03037bc	-505.794602877419
MAM01115bc	-70.0001604351274
MAM02409bc	-62.5130898362258
MAM03933bc	0
MAM01280bc	-326.994296961273
MAM01383bc	
MAM01638bc	0
MAM01307bc	-1709.79853174047
MAM01365bc	-523.575098478002
MAM01368bc	-0.700129399165784
MAM01369bc	
MAM01641bc	0
MAM01370bc	-166.493088464529
MAM01327bc	-10
MAM01397bc	-0.00424336024625616
MAM01401bc	0
MAM01513bc	-494.966859375623
MAM01445bc	-98.1817227028082
MAM01450bc	-131.839406650459
MAM01595bc	-38.065635364536
MAM02348bc	-89.9738578993638
MAM01628bc	-269.152253053926
MAM01630bc	-435.890872102732
MAM01666bc	-339.381136811682
MAM01668bc	
MAM01669bc	-337.025754366924
MAM01655bc	-0.700129399165716
MAM01671bc	-386.2001419792
MAM01673bc	-521.758747228947
MAM01822bc	-0.00424336025374616
MAM01840bc	
MAM01910bc	-579.391956469275
MAM01962bc	0
MAM01988bc	-73.8985296284081
MAM01965bc	-907.13365200691
MAM01975bc	-945.54692576796
MAM01974bc	
MAM01986bc	-1511.8523334431
MAM02038bc	
MAM02039bc	-27859.9964608583
MAM02040bc	-82026.3028041059
MAM02046bc	-6614.02750736367
MAM02675bc	-32.4780613915255
MAM02125bc	-66.8288919560689
MAM02184bc	-34.70601015599
MAM02170bc	-361.726094027989
MAM02200bc	-10012.0567896
MAM02403bc	-1884.64935575407
MAM02360bc	-56.2653718910509
MAM02387bc	
MAM02389bc	-0.219722092808862
MAM01932bc	-403.584039351271
MAM00656bc	-151.714787076092
MAM02426bc	-39.9738579000638
MAM02453bc	
MAM02471bc	-162.816737185207
MAM02519bc	-20693.552604005
MAM02586bc	-5.46578972565577
MAM02646bc	
MAM02642bc	
MAM02658bc	-953.369383561639
MAM02684bc	-129.37369017346
MAM02724bc	-24.8579839679746
MAM02744bc	0
MAM02751bc	
MAM02680bc	0
MAM02770bc	-1735.74052287722
MAM02812bc	-953.852127719994
MAM02815bc	-10
MAM02813bc	0
MAM02817bc	
MAM03102bc	0
MAM02833bc	-3.60270286447782
MAM02843bc	-501.114993261052
MAM02842bc	-10.0000000000524
MAM02896bc	-1511.61737837515
MAM02923bc	-359.740516925022
MAM02926bc	-0.00212168012312808
MAM02959bc	0
MAM02961bc	-70.6990327137414
MAM02963bc	-68.9443587217247
MAM02982bc	-9.99999999999641
MAM02993bc	
MAM02996bc	-449.738640944511
