Mets	DemandValue
MAM00353u	-3.60270286455467
MAM01893u	0
MAM00035u	-3.73677020817408
MAM00620u	0
MAM01415u	-1.74675611893368
MAM00648u	-26.1573914574692
MAM00665u	0
MAM00730u	
MAM02354u	-3.73677020817408
MAM01433u	-43.2336503379687
MAM02325u	-69.3378220477649
MAM01633u	0
MAM02477u	-11.2103106245222
MAM01003u	-18.6838510410801
MAM02182u	-0.0891105651713811
MAM01033u	-11.2103106245222
MAM01069u	0
MAM01070u	-0.00424336024625616
MAM01071u	-0.00424336024625616
MAM01107u	-2.23277100292493
MAM01115u	-14.9470808329061
MAM01158u	-0.00424336024625616
MAM02338u	-3.73677020817408
MAM01256u	-145.91907233237
MAM03096u	-9.17061259824376
MAM03098u	-7.36924226633841
MAM01260u	-0.014976
MAM00744u	-14.6209011910103
MAM01711u	0
MAM03138u	-14.6609345400262
MAM01290u	-7.47354041634816
MAM01383u	-3.73677020817408
MAM01309u	-0.00424336024625616
MAM01338u	-0.00424336024625634
MAM01339u	-0.00424336024625616
MAM01362u	-28.7036109977752
MAM01368u	-0.700129399165716
MAM01327u	-3.73677020817408
MAM00157u	-186.061744181206
MAM01397u	-0.00424336025025696
MAM01396u	-0.00424336024625616
MAM01419u	-47.1141424770452
MAM01513u	-37.9416404647292
MAM01445u	-8.39437251624815
MAM01450u	-9.37895666355049
MAM01595u	-3.74950028891685
MAM01619u	-14.9470808330225
MAM01431u	0
MAM02348u	-62.513089836057
MAM01615u	-5.24371657206757e-11
MAM01689u	-4.91243595479811
MAM01987u	-10.72286320486
MAM01655u	-0.700129399256497
MAM01659u	-0.00424336024625616
MAM01695u	
MAM01736u	-7.47354041645303
MAM01737u	-7.6922275471924
MAM01787u	0
MAM01786u	
MAM00402u	0
MAM01795u	-6.46664943815267e-11
MAM01789u	-3.54458684626024e-11
MAM01850u	-12.0341611964268
MAM02198u	-15.2284851800704
MAM01852u	0
MAM01859u	-13.7565063500418
MAM01919u	-9.81440680085836
MAM01914u	-11.708913596198
MAM01884u	-10.2931583521353
MAM01916u	-9.38488722302131
MAM01917u	-11.7227636791404
MAM01959u	0
MAM01988u	-3.73677020817408
MAM01944u	-0.00424336024625616
MAM03620u	-191.972357130246
MAM02024u	-3.74101356842034
MAM02038u	-56.4903562242922
MAM02027u	-14.947080832775
MAM02026u	-22.4206212492542
MAM02674u	-73.6131687159986
MAM00986u	0
MAM02124u	-3.73677020817408
MAM02136u	-1.075139977047e-10
MAM02171u	-3.73677020817408
MAM01716u	0
MAM02364u	-31.713530420186
MAM02369u	-31.746577665683
MAM02387u	-3.73677020817408
MAM02389u	
MAM02470u	0
MAM02475u	0
MAM02609u	
