Mets	DemandValue
MAM00353u	-3.602702864
MAM01893u	0
MAM00035u	-1.350883206
MAM00620u	0
MAM01415u	-1.208910777
MAM00648u	-28.094976
MAM00665u	0
MAM00730u	-8.223873696
MAM02354u	-4.013568
MAM01433u	
MAM02325u	-65.75602719
MAM01633u	0
MAM02477u	-20.06784
MAM01003u	
MAM02182u	-0.097597286
MAM01033u	-12.040704
MAM01069u	0
MAM01070u	-0.00424336
MAM01071u	-0.00424336
MAM01107u	-2.463919763
MAM01115u	-16.054272
MAM01158u	-0.00424336
MAM02338u	0
MAM01256u	-147.3414169
MAM03096u	-8.920243443
MAM03098u	-6.950093387
MAM01260u	-0.014976
MAM00744u	-4.013568
MAM01711u	0
MAM03138u	
MAM01290u	-8.027136
MAM01383u	-0.014976
MAM01309u	-0.00424336
MAM01338u	-0.00424336
MAM01339u	-0.00424336
MAM01362u	-27.03702712
MAM01368u	-0.700129399
MAM01327u	-4.013568
MAM00157u	-168.5976467
MAM01397u	-0.00424336
MAM01396u	-0.00424336
MAM01419u	
MAM01513u	-37.49716524
MAM01445u	-7.237330072
MAM01450u	-9.345801811
MAM01595u	-4.026298081
MAM01619u	-16.069248
MAM01431u	0
MAM02348u	-66.47684122
MAM01615u	0
MAM01689u	-5.320172815
MAM01987u	-8.811031482
MAM01655u	-0.700129399
MAM01659u	-0.00424336
MAM01695u	-23.48205506
MAM01736u	
MAM01737u	
MAM01787u	0
MAM01786u	0
MAM00402u	0
MAM01795u	0
MAM01789u	0
MAM01850u	-11.44721264
MAM02198u	-14.86388792
MAM01852u	-5.719743673
MAM01859u	-13.35492987
MAM01919u	-9.151589876
MAM01914u	-11.0094622
MAM01884u	-9.730130742
MAM01916u	-9.264480224
MAM01917u	-11.0094622
MAM01959u	0
MAM01988u	-4.013568
MAM01944u	-0.00424336
MAM03620u	-182.5622465
MAM02024u	
MAM02038u	
MAM02027u	-16.054272
MAM02026u	-24.081408
MAM02674u	-77.92125878
MAM00986u	0
MAM02124u	-12.040704
MAM02136u	-3.19E-11
MAM02171u	-96.79961142
MAM01716u	0
MAM02364u	-3730.903037
MAM02369u	-34.115328
MAM02387u	-4.013568
MAM02389u	
MAM02470u	0
MAM02475u	0
MAM02609u	
MAM02617u	-4.013568
MAM02620u	0
MAM01244u	-0.01921936
MAM01245u	0
MAM02938u	-73.17886158
MAM02646u	
MAM02661u	-117.2955271
MAM02722u	0
MAM02786u	-31.33487266
MAM02789u	-23.30773666
MAM02841u	-156.4272179
MAM02897u	-5.465789726
MAM02963u	-4.013568
MAM02962u	-4.013568
MAM02980u	-16.054272
MAM02985u	-8.027136
MAM02997u	-61.74245919
MAM01784u	-33.74117851
MAM02969u	0
MAM02967u	-0.00424336
MAM02968u	-0.00424336
MAM02991u	0
MAM02494u	-4.013568
MAM02994u	0
MAM03120u	-77.76160407
MAM04081u	0
MAM03155u	0
MAM02524u	-39.74456237
MAM01984u	
MAM01831u	0
MAM02659u	-33.64748319
MAM02806u	0
MAM02926u	-0.00212168
MAM01588u	-16.069248
MAM03151u	-4.013568
MAM01435u	-13.8296215
MAM02950u	-4.013568
MAM02787u	-11.26703266
MAM03201u	-33.64748319
MAM03202u	-66.47684122
MAM03204u	-66.47684122
MAM03217u	-20.77565053
MAM03219u	-33.64748319
MAM03243u	-4.056001602
MAM03250u	-9.393756989
MAM03251u	-33.64748319
MAM03262u	-66.47684122
MAM03264u	-15.22939573
MAM03266u	-13.38801194
MAM03268u	-11.52447465
MAM03488u	-66.47684122
MAM03493u	
MAM02443u	-66.47684122
MAM02635u	0
MAM03495u	-4.013568
MAM03496u	-4.047514882
MAM03497u	-8.027141333
MAM03498u	
MAM02409u	0
MAM03706u	-4.056001602
MAM03037u	-13.79226363
MAM01423u	-4.013568
MAM00745u	-0.042101571
MAM03933u	0
MAM03102u	0
MAM01005u	0
MAM00824u	0
MAM00669u	-4.013568
MAM01013u	-4.013568
MAM01116u	
MAM01127u	0
MAM02871u	0
MAM01304u	0
MAM01342u	-5.465789727
MAM02384u	
MAM01103u	-5.465789726
MAM00923u	-4.013568
MAM02738u	-4.013568
MAM01621u	-16.069248
MAM02349u	-12.040704
MAM01708u	0
MAM01798u	0
MAM01981u	0
MAM02036u	-16.069248
MAM02133u	0
MAM02183u	0
MAM00990u	-5.465789727
MAM02322u	0
MAM02319u	
MAM02822u	-5.465789726
MAM03149u	
MAM00775u	-5.465789726
MAM00788u	-5.465789726
MAM02914u	0
MAM01366u	-20.082816
MAM02634u	-66.47684122
MAM02657u	-70.49040922
MAM02411u	-66.06127845
MAM03248u	-4.013568
MAM00309u	-4.013568
MAM00670u	-4.01357313
MAM01004u	
MAM00784u	0
MAM02142u	0
MAM03234u	0
MAM00922u	0
MAM00952u	-33.02742665
MAM01705u	
MAM01052u	-4.013568
MAM02805u	-4.013568
MAM03397u	0
MAM03406u	-0.00424336
MAM03408u	0
MAM03410u	0
MAM02877u	0
MAM03434u	0
MAM00169u	-28.094976
MAM02540u	-8.027136
MAM02395u	-0.121623285
MAM02396u	-12.34699822
MAM01054u	0
MAM01168u	0
MAM02531u	-96.13250856
MAM01392u	0
MAM00830u	0
MAM03569u	0
MAM01337u	-0.00424336
MAM02365u	-4.013568
MAM01616u	0
MAM03550u	0
MAM03551u	0
MAM03558u	0
MAM03561u	0
MAM02574u	-73.47923111
MAM02479u	-61.74245919
MAM03649u	0
MAM03652u	0
MAM02135u	0
MAM00585u	-14.50692932
MAM00599u	-4.013568
MAM03724u	0
MAM02388u	-4.013568
MAM02343u	-4.013568
MAM03751u	0
MAM03752u	0
MAM03753u	0
MAM03754u	0
MAM03755u	0
MAM00167u	0
MAM02532u	0
MAM03796u	0
MAM03802u	0
MAM03803u	0
MAM03804u	0
MAM03805u	0
MAM03806u	0
MAM03807u	0
MAM03808u	0
MAM03809u	0
MAM03810u	0
MAM03811u	0
MAM03812u	0
MAM03813u	0
MAM03814u	0
MAM03815u	0
MAM03816u	0
MAM03818u	0
MAM03817u	0
MAM03819u	0
MAM03820u	0
MAM03821u	0
MAM03822u	0
