Mets	DemandValue
MAM02354bc	
MAM03037bc	-779.557657157124
MAM01115bc	-70.000160435954
MAM02409bc	-89.973857905075
MAM03933bc	0
MAM01280bc	-381.357447113744
MAM01383bc	-577.742937720587
MAM01638bc	0
MAM01307bc	-1910.69115625563
MAM01365bc	-531.012089130197
MAM01368bc	-0.700129399327267
MAM01369bc	-957.786853975502
MAM01641bc	0
MAM01370bc	-214.627910304714
MAM01327bc	-10
MAM01397bc	-0.00424336025025696
MAM01401bc	-0.0002143992
MAM01513bc	-563.533673149007
MAM01445bc	-162.708150138123
MAM01450bc	-167.783575840308
MAM01595bc	-54.4562665534592
MAM02348bc	-89.973857902326
MAM01628bc	-283.376646324633
MAM01630bc	-610.47373808631
MAM01666bc	-381.758803075514
MAM01668bc	-624.346653174006
MAM01669bc	-381.515600699103
MAM01655bc	-0.70012939918677
MAM01671bc	-473.616318729335
MAM01673bc	-723.804884352635
MAM01822bc	-0.00424336024625926
MAM01840bc	-810.438610718517
MAM01910bc	
MAM01962bc	0
MAM01988bc	-103.838799587684
MAM01965bc	-1097.48211112681
MAM01975bc	-959.56976577144
MAM01974bc	-1498.92791358591
MAM01986bc	-1763.13415578527
MAM02038bc	
MAM02039bc	
MAM02040bc	-81699.2689247631
MAM02046bc	-6765.04347438557
MAM02675bc	
MAM02125bc	-66.8288919560559
MAM02184bc	-34.7060101555548
MAM02170bc	-467.492385001077
MAM02200bc	-10012.0567896
MAM02403bc	-2391.69298689547
MAM02360bc	-56.2653718921306
MAM02387bc	-5.42657013788791
MAM02389bc	-0.238032262284481
MAM01932bc	
MAM00656bc	
MAM02426bc	-39.9738579000488
MAM02453bc	-762.145869468265
MAM02471bc	-177.280667009136
MAM02519bc	-20693.552604001
MAM02586bc	-5.46578972630079
MAM02646bc	-546.669400816132
MAM02642bc	-1629.72170741426
MAM02658bc	-959.569765777617
MAM02684bc	-218.785592007362
MAM02724bc	-24.8579839684169
MAM02744bc	0
MAM02751bc	-1707.29311358624
MAM02680bc	0
MAM02770bc	-1912.25890967203
MAM02812bc	-959.569765769618
MAM02815bc	
MAM02813bc	0
MAM02817bc	-30
MAM03102bc	-0.0169734409850254
MAM02833bc	-3.60270286436674
MAM02843bc	-995.651429182882
MAM02842bc	-10.0000000000039
MAM02896bc	-1902.2959797629
MAM02923bc	
MAM02926bc	-0.0021216801231283
MAM02959bc	0
MAM02961bc	-76.7788932972184
MAM02963bc	-97.6163763568038
MAM02982bc	-9.99999999999612
MAM02993bc	-31.0572602880794
MAM02996bc	-616.72109980809
MAM03089bc	-5.4657897263963
MAM03101bc	-43.6342087322847
MAM03120bc	
MAM03121bc	-1048.87967385769
MAM03123bc	-667.536245967421
MAM03135bc	-45.3412527719047
MAM03142bc	0
MAM01451bc	-10.1619722455431
MAM03155bc	0
MAM01588bc	-708.016118833653
MAM03715bc	-1.00339199998416
MAM00353bc	-3.60270286454692
MAM01893bc	0
MAM00035bc	-83.5038020199341
MAM00620bc	0
MAM01415bc	-1.89350039494247
MAM00648bc	-144.377161923381
MAM00665bc	0
MAM00730bc	-8.36070474487182
MAM01433bc	-126.319136425254
MAM02325bc	-799.655650621683
MAM01633bc	0
MAM02477bc	-116.828891956262
MAM01003bc	
MAM02182bc	-0.114570726676929
MAM02754bc	0
MAM01033bc	-30
MAM01069bc	-0.0042433602462566
MAM01070bc	-0.0042433602462566
MAM01071bc	0
MAM01100bc	0
MAM01107bc	-2.32761778933338
MAM01158bc	-0.00424336024625634
MAM02338bc	-86.1929617043302
MAM01256bc	-2053.36257350803
MAM03096bc	-9.72758796126569
MAM03098bc	-7.81681175450207
MAM01260bc	-0.0149759999999999
MAM00744bc	
MAM01711bc	0
MAM03138bc	-87.9749513779971
MAM01290bc	
MAM00516bc	
MAM01309bc	-0.00424336024625634
MAM01338bc	-0.00424336024625634
MAM01339bc	-0.0042433602462566
MAM00580bc	0
MAM01771bc	0
MAM01362bc	-364.675884071623
MAM00157bc	-2086.46657442171
MAM01398bc	-0.00424336025025696
MAM01396bc	-0.0042433602462566
MAM01419bc	-149.389670195869
MAM01590bc	0
MAM01619bc	-698.603965427629
MAM01431bc	0
MAM01615bc	0
MAM01614bc	-0.0042433602462566
MAM01689bc	
MAM01517bc	0
MAM01525bc	0
MAM01533bc	0
MAM01543bc	0
MAM01554bc	0
MAM00240bc	0
MAM01987bc	-118.71070034661
MAM01659bc	-0.00424336024333805
MAM01695bc	-33.8546003151116
MAM01736bc	-8.31577605680931
MAM01737bc	-8.33075272081718
MAM01778bc	-79.5536154104373
MAM01787bc	-0.00424336030081962
MAM01786bc	-0.00424336028366109
MAM00402bc	-0.00424336030882078
MAM01795bc	-0.00424336019240457
MAM01789bc	-0.00424336024625642
MAM01850bc	-12.778190763158
MAM02198bc	-87.8242173483395
MAM01852bc	0
MAM01859bc	-59.5277902635823
MAM01919bc	-10.4142083079932
MAM01914bc	-12.4312286600471
MAM01884bc	-10.9235639250405
MAM01916bc	-51.6959382700785
MAM01917bc	-12.4391932566392
MAM01959bc	-131.405160139747
MAM01944bc	-0.00424336024625616
MAM01945bc	-0.0149759999999999
MAM00097bc	-897.520810189901
MAM03620bc	-203.888846480914
MAM02023bc	0
MAM02024bc	-68.5209219864149
MAM02027bc	-141.688323164685
MAM02026bc	-283.376646325115
MAM02041bc	-10808.8730622913
MAM02141bc	-201.530741190459
MAM02674bc	-671.411166262168
MAM00986bc	0
MAM02124bc	-116.828891956176
MAM02136bc	-4.30446789323469e-11
MAM02054bc	0
MAM02167bc	0
MAM02171bc	-820.250900980819
MAM02288bc	0
MAM02303bc	0
MAM01716bc	0
MAM02362bc	-265.823171523616
MAM02364bc	-265.823171524328
MAM02366bc	-2.00678399996832
MAM02418bc	-218.379199459366
MAM02369bc	-146.260382557025
MAM02370bc	-30.3439580787796
MAM00104bc	0
MAM00490bc	0
MAM02470bc	0
MAM02475bc	0
MAM02609bc	-664.967095761781
MAM02617bc	
MAM02620bc	0
MAM02564bc	-368.962018380376
MAM02631bc	-64.8151658738744
MAM01244bc	
MAM01245bc	0
MAM02938bc	-590.75971389898
MAM02661bc	-976.291519712124
MAM00626bc	
MAM02685bc	0
MAM02715bc	-70.8429761441871
MAM02722bc	0
MAM02769bc	0
MAM02783bc	-222.218358180158
MAM02786bc	-163.730733388526
MAM02789bc	-221.473942955493
MAM02808bc	-271.379984641171
MAM02841bc	
MAM02834bc	0
MAM00291bc	0
MAM02931bc	0
MAM02928bc	0
MAM02930bc	-559.955623880165
MAM02897bc	-5.46578972652203
MAM02939bc	-36.7610785583647
MAM02962bc	-103.626855110866
MAM02980bc	-70.0001604357328
MAM02983bc	-9.15634518947002
MAM02985bc	-10
MAM02997bc	-880.964442367541
MAM01784bc	-313.362119925701
MAM02969bc	0
MAM02967bc	-0.00424336024333716
MAM02968bc	0
MAM02991bc	0
MAM02494bc	-99.4991797890836
MAM02994bc	0
MAM03106bc	0
MAM03114bc	0
MAM00432bc	0
MAM04081bc	0
MAM01446bc	0
MAM01448bc	-97.6221358817404
MAM00969bc	-624.77214905813
MAM02524bc	-577.248737447508
MAM01155bc	-359.283181499248
MAM01686bc	0
MAM01688bc	0
MAM01984bc	0
MAM01690bc	0
MAM01752bc	0
MAM01753bc	0
MAM01802bc	-10.000000000146
MAM01831bc	0
MAM02042bc	-56.6652256657742
MAM01020bc	0
MAM01704bc	-379.277842222224
MAM01913bc	0
MAM03127bc	0
MAM01605bc	5.82076609134674e-11
MAM02659bc	-781.953857739135
MAM02806bc	0
MAM02814bc	0
MAM02949bc	0
MAM02794bc	-222.855260462299
MAM02795bc	-220.99613386367
MAM01424bc	0
MAM03151bc	-5.46578972630293
MAM01435bc	-167.051045603429
MAM02966bc	0
MAM02004bc	0
MAM02950bc	-81.9376125659306
MAM03129bc	0
MAM02777bc	-222.855260465604
MAM02787bc	-210.375100488552
MAM02924bc	-0.0021216801231283
MAM02445bc	0
MAM02448bc	0
MAM00570bc	-5.23624477111184e-11
MAM00921bc	-1.06213704498259e-10
MAM02318bc	0
MAM02315bc	0
MAM02316bc	0
MAM02570bc	0
MAM02569bc	0
MAM02314bc	0
MAM02317bc	0
MAM02551bc	0
MAM02550bc	0
MAM02429bc	0
MAM01430bc	-320.030044729309
MAM01315bc	-5.0212033601114
MAM03201bc	-89.9738578982465
MAM03202bc	-89.9738578996242
MAM03204bc	-89.9738579017636
MAM03217bc	-89.9738579026287
MAM03219bc	-89.9738579024835
MAM03243bc	-56.2653718911643
MAM03250bc	-18.3966818050695
MAM03251bc	-89.9738579001875
MAM03262bc	-89.9738579025337
MAM03264bc	-89.9738578980061
MAM03266bc	-89.9738578992449
MAM03268bc	-89.9738578995005
MAM03488bc	-89.9738579011974
MAM03489bc	-22.7220047395177
MAM03490bc	-11.361002370069
MAM03493bc	-22.7220047395177
MAM02443bc	-89.9738579076172
MAM02635bc	-30.4904831557069
MAM03495bc	-86.449691321772
MAM03496bc	-22.3381872076789
MAM03497bc	
MAM03498bc	-89.9738578937654
MAM03499bc	0
MAM03502bc	
MAM01583bc	-43.6923217144119
MAM03706bc	-56.2653718907657
MAM01423bc	-21.2666072411383
MAM00745bc	0
MAM02964bc	-85.8486952287081
MAM01828bc	-10.000000000126
MAM03103bc	0
MAM01005bc	-0.014976
MAM00824bc	0
MAM00669bc	-34.8060101556258
MAM01013bc	
MAM01116bc	-0.0254601614775387
MAM01127bc	0
