rxns	formulas	model_ranges	ecModel_ranges	subSystems
HMR_4097	acetate[c] + ATP[c] + CoA[c] => acetyl-CoA[c] + AMP[c] + PPi[c]	1000	0.0542320339967648	Glycolysis / Gluconeogenesis
HMR_4099	acetate[m] + ATP[m] + CoA[m] => acetyl-CoA[m] + AMP[m] + PPi[m]	1000	0.046052015140905	Glycolysis / Gluconeogenesis
HMR_4108	acetyl adenylate[c] + CoA[c] => acetyl-CoA[c] + AMP[c] + H+[c]	1000	0.0468158706852423	Glycolysis / Gluconeogenesis
HMR_4133	acetate[c] + ATP[c] + H+[c] => acetyl adenylate[c] + PPi[c]	1000	0.0468158706852423	Glycolysis / Gluconeogenesis
HMR_4137	CoA[m] + NAD+[m] + pyruvate[m] => acetyl-CoA[m] + CO2[m] + NADH[m]	1000	0.180360489170911	Glycolysis / Gluconeogenesis
HMR_4281	H+[p] + NADH[p] + pyruvate[p] <=> L-lactate[p] + NAD+[p]	2000	0.706812421219971	Glycolysis / Gluconeogenesis
HMR_4388	H+[c] + NADH[c] + pyruvate[c] <=> L-lactate[c] + NAD+[c]	2000	1.70228742810947	Glycolysis / Gluconeogenesis
HMR_4283	acetaldehyde[c] + H2O[c] + NADP+[c] => acetate[c] + 2 H+[c] + NADPH[c]	1000	0.0521448756207211	Glycolysis / Gluconeogenesis
HMR_8357	acetaldehyde[m] + H2O[m] + NAD+[m] => acetate[m] + 2 H+[m] + NADH[m]	1000	0.0583590353304866	Glycolysis / Gluconeogenesis
HMR_4379	ATP[c] + fructose-6-phosphate[c] => ADP[c] + fructose-1,6-bisphosphate[c] + H+[c]	1000	0.0924795929144738	Glycolysis / Gluconeogenesis
HMR_4301	fructose-6-phosphate[c] + UTP[c] => fructose-1,6-bisphosphate[c] + H+[c] + UDP[c]	1000	0.383036813484165	Glycolysis / Gluconeogenesis
HMR_4355	DHAP[c] + erythrose-4-phosphate[c] => sedoheptulose-1,7-bisphosphate[c]	1000	0.0975315912013025	Glycolysis / Gluconeogenesis
HMR_4358	ADP[c] + H+[c] + PEP[c] => ATP[c] + pyruvate[c]	1000	15.5955156634919	Glycolysis / Gluconeogenesis
HMR_4360	H2O[c] + methylglyoxal[c] + NADP+[c] => 2 H+[c] + NADPH[c] + pyruvate[c]	1000	0.0488166312687598	Glycolysis / Gluconeogenesis
