Gene_id	Biomarker	Exp_(abnormal/normal)	Simulation	Comparation
ENSG00000059573	m02658	decrease	-0.0	0.0
ENSG00000171759	m02137	decrease	0.0	0.0
ENSG00000177156	m01690	decrease	0.0135	0.0
ENSG00000038002	m02513	increase	No_result	No_result
ENSG00000128928	m02646	increase	0.0486	1
ENSG00000140459	m01615	decrease	-1.0	1
ENSG00000140459	m01069	decrease	-1.0	1
ENSG00000091140	m02046	decrease	0.0	0
ENSG00000189221	m03099	increase	78.5931	1
ENSG00000153574	m02425	decrease	14435.3647	0
ENSG00000091140	m02184	increase	-0.0	0
ENSG00000161653	m02659	increase	136.4772	1
ENSG00000140459	m02969	decrease	-1.0	1
ENSG00000138079;ENSG00000021488	m02426	increase	0.0	0
ENSG00000248098	2h3mv_	increase	19.2007	1
ENSG00000140374;ENSG00000171503;ENSG00000105379	m02676	increase	-0.0	0
ENSG00000115919	m02667	increase	9.5016	1
ENSG00000128928	m01197	increase	0.0553	1
ENSG00000103150	m02440	increase	No_result	No_result
ENSG00000008311	m02426	increase	82.7597	1
ENSG00000158125	m03120	decrease	-1.0	1
ENSG00000125454	m01307	increase	-0.0	0
ENSG00000092621	m02896	decrease	No_result	No_result
ENSG00000124615	m02133	decrease	-0.0	0
ENSG00000178445	m01986	increase	166.4005	1
ENSG00000109929	m02805	decrease	No_result	No_result
ENSG00000128928	m02564	increase	0.0486	1
ENSG00000124615	m03120	decrease	0.0	0
ENSG00000140459	m00971	increase	-1.0	0
ENSG00000134240	m02348	increase	-0.0	0
ENSG00000127948	m01660	decrease	0.0	0
ENSG00000103507	m01998	decrease	-0.0	0
ENSG00000101846	m01659	increase	1788.3001	1
ENSG00000144182	m02770	increase	-0.0	0
ENSG00000159650	m03124	decrease	10.2606	0
ENSG00000091483	m01003	decrease	0.0	0
ENSG00000197249	m01988	increase	0.0	0
ENSG00000134240	m00157	decrease	-0.0	0
ENSG00000189221	m03136	decrease	-1.0	1
ENSG00000103876	m03101	increase	29.5195	1
ENSG00000198805	m02170	increase	-0.0	0
ENSG00000052802	m01450	decrease	22.4121	0
ENSG00000197375	m01388	decrease	-0.0	0
ENSG00000140374;ENSG00000171503;ENSG00000105379	m02635	increase	0.0	0
ENSG00000178537	adpac_	increase	-0.0	0
ENSG00000124253	m01588	decrease	1.4077	0
ENSG00000134240	m01450	decrease	0.0	0
ENSG00000178814	m01127	increase	105.7342	1
ENSG00000136872	m03120	increase	-0.0	0
ENSG00000070915	m02482	decrease	No_result	No_result
ENSG00000091483	m01306	increase	-0.3666	0
ENSG00000213316	m02418	decrease	-1.0	1
ENSG00000080819	m01603	decrease	No_result	No_result
ENSG00000121897	m01986	increase	-0.0	0
ENSG00000177000	m02133	increase	-0.0	0
ENSG00000128928	m02387	increase	0.0	0
ENSG00000059573	m02579	increase	0.0	0
ENSG00000021826	m01986	decrease	136.4772	0
ENSG00000108439	m00830	increase	0.0	0
ENSG00000091483	m02819	increase	-0.4586	0
ENSG00000144182	m02426	increase	0.0	0
