Gene_id	Biomarker	Exp_(abnormal/normal)	Simulation	Comparation
ENSG00000059573	MAM02658	decrease	5.3328	0.0
ENSG00000171759	MAM02137	decrease	210.3855	0.0
ENSG00000177156	MAM01690	decrease	59740.3793	0.0
ENSG00000038002	MAM02513	increase	No_result	No_result
ENSG00000128928	MAM02646	increase	157.1282	1
ENSG00000140459	MAM01615	decrease	-1.0	1
ENSG00000140459	MAM01069	decrease	-1.0	1
ENSG00000091140	MAM02046	decrease	0.0222	0
ENSG00000189221	MAM03099	increase	62.7163	1
ENSG00000153574	MAM02425	decrease	0.0004	0
ENSG00000091140	MAM02184	increase	0.0416	1
ENSG00000161653	MAM02659	increase	549.8621	1
ENSG00000140459	MAM02969	decrease	-1.0	1
ENSG00000138079;ENSG00000021488	MAM02426	increase	-0.1231	0
ENSG00000248098	MAM03176	increase	155.4503	1
ENSG00000140374;ENSG00000171503;ENSG00000105379	MAM02676	increase	0.0587	1
ENSG00000115919	MAM02667	increase	234.6372	1
ENSG00000128928	MAM01197	increase	157.1282	1
ENSG00000103150	MAM02440	increase	No_result	No_result
ENSG00000008311	MAM02426	increase	369.5421	1
ENSG00000158125	MAM03120	decrease	-1.0	1
ENSG00000125454	MAM01307	increase	1126.2535	1
ENSG00000092621	MAM02896	decrease	0.0408	0
ENSG00000124615	MAM02133	decrease	0.0	0
ENSG00000178445	MAM01986	increase	252.0564	1
ENSG00000109929	MAM02805	decrease	-1.0	1
ENSG00000128928	MAM02564	increase	157.1282	1
ENSG00000124615	MAM03120	decrease	0.0	0
ENSG00000140459	MAM00971	increase	-1.0	0
ENSG00000134240	MAM02348	increase	3.3379	1
ENSG00000127948	MAM01660	decrease	175.964	0
ENSG00000103507	MAM01998	decrease	40.6667	0
ENSG00000101846	MAM01659	increase	1814.6912	1
ENSG00000144182	MAM02770	increase	0.0	0
ENSG00000159650	MAM03124	decrease	307.5137	0
ENSG00000091483	MAM01003	decrease	865.2643	0
ENSG00000197249	MAM01988	increase	0.0	0
ENSG00000134240	MAM00157	decrease	3.2881	0
ENSG00000189221	MAM03136	decrease	-1.0	1
ENSG00000103876	MAM03101	increase	0.0686	1
ENSG00000198805	MAM02170	increase	-0.705	0
ENSG00000052802	MAM01450	decrease	-0.0569	1
ENSG00000197375	MAM01388	decrease	3366.8311	0
ENSG00000140374;ENSG00000171503;ENSG00000105379	MAM02635	increase	0.0676	1
ENSG00000178537	MAM03408	increase	-0.1086	0
ENSG00000124253	MAM01588	decrease	896.2287	0
ENSG00000134240	MAM01450	decrease	3.3293	0
ENSG00000178814	MAM01127	increase	1.9744	1
ENSG00000136872	MAM03120	increase	0.5794	1
ENSG00000070915	MAM02482	decrease	No_result	No_result
ENSG00000091483	MAM01306	increase	865.2643	1
ENSG00000213316	MAM02418	decrease	-1.0	1
ENSG00000080819	MAM01603	decrease	0.0	0
ENSG00000121897	MAM01986	increase	0.0	0
ENSG00000177000	MAM02133	increase	750.5955	1
ENSG00000128928	MAM02387	increase	4.188	1
ENSG00000059573	MAM02579	increase	1019.383	1
ENSG00000021826	MAM01986	decrease	55.0472	0
ENSG00000108439	MAM00830	increase	5.1421	1
ENSG00000091483	MAM02819	increase	865.2643	1
ENSG00000144182	MAM02426	increase	0.0	0
ENSG00000144182	MAM01306	increase	-0.0	0
ENSG00000103507	MAM02184	decrease	40.6667	0
ENSG00000140374;ENSG00000171503;ENSG00000105379	MAM02409	increase	0.0676	1
ENSG00000113924	MAM02135	increase	83.0652	1
ENSG00000100983	MAM02770	increase	246.2997	1
ENSG00000091140	MAM01307	increase	0.0	0
ENSG00000008311	MAM02658	increase	6.5537	1
ENSG00000091483	MAM02872	decrease	796.1386	0
ENSG00000134240	MAM03954	increase	3.2966	1
ENSG00000140459	MAM02763	decrease	-1.0	1
ENSG00000248098	MAM02184	increase	155.4593	1
ENSG00000091483	MAM01862	increase	287.011	1
ENSG00000177000	MAM02471	decrease	580.6832	0
ENSG00000197375	MAM02348	decrease	3366.8311	0
ENSG00000213316	MAM02369	decrease	-1.0	1
ENSG00000140459	MAM02519	decrease	No_result	No_result
ENSG00000138079;ENSG00000021488	MAM01629	increase	0.0192	1
ENSG00000075415	MAM02403	increase	362.4865	1
ENSG00000084754	MAM02403	increase	0.0031	1
ENSG00000153574	MAM02383	decrease	No_result	No_result
ENSG00000100983	MAM01127	increase	38.1113	1
ENSG00000248098	MAM00824	increase	155.4593	1
ENSG00000173085	MAM02403	increase	-0.0	0
ENSG00000198130	MAM02403	increase	116.1845	1
ENSG00000066926	MAM03125	decrease	-0.0	0
ENSG00000161533	MAM02746	decrease	No_result	No_result
ENSG00000144182	MAM03135	decrease	0.0	0
ENSG00000070915	MAM02046	increase	81.2775	1
ENSG00000091483	MAM01998	decrease	865.2643	0
ENSG00000158104	MAM03101	increase	0.0836	1
ENSG00000173599	MAM02403	increase	3.513	1
ENSG00000008311	MAM01365	increase	0.0	0
ENSG00000103507	MAM03135	decrease	40.6667	0
ENSG00000213398	MAM01396	increase	6.4092	1
ENSG00000117054	MAM03287	increase	-0.817	0
ENSG00000119899	MAM02543	increase	282.9406	1
ENSG00000125454	MAM01306	increase	1221.2707	1
