	L	R
Adipocytes	0.7783907913786805	0.9543428104635305
Agland	0.769519126483355	0.9433263197631335
Brain	0.904620465748469	0.965862703610395
Breast	0.798105031494175	0.98268225716809
Cervix	0.793778361711232	0.97533414468993
Colon	0.7545676697713265	0.981015121017967
Heart	0.963728594516647	0.969128230792192
Kidney	0.9591071210400746	0.998985429095317
Liver	0.931353231536244	0.980331855173548
Lung	0.9745299286801545	0.974529564533535
Muscle	0.931728244132805	0.981608025749726
Ovary	0.952695192968191	0.9259279933832285
Pancreas	0.708422037882116	0.978020241406368
Scord	0.958395324416029	0.970665558475525
sIEC	0.7990952883354354	0.9965467199859345
Skin	0.983794633136591	0.989480564502516
Spleen	0.953585095764983	0.957043976757027
Stomach	0.968744372627723	0.986821073710002
Thyroidgland	0.955093215703818	0.9677479251952255
Urinarybladder	0.879623763805015	0.9702305613505725
Uterus	0.953579030716819	0.928828613399257
