	Valine, leucine, and isoleucine metabolism	Glucocorticoid biosynthesis	Pantothenate and CoA metabolism	Prostaglandin biosynthesis	Glycosphingolipid biosynthesis-lacto and neolacto series	Glycosphingolipid biosynthesis-ganglio series	Vitamin E metabolism	Porphyrin metabolism	Linoleate metabolism	Blood group biosynthesis	Estrogen metabolism	Keratan sulfate biosynthesis	Aminoacyl-tRNA biosynthesis	Vitamin D metabolism	Eicosanoid metabolism	Arachidonic acid metabolism	Bile acid recycling	Androgen metabolism	Histidine metabolism	Steroid metabolism	Metabolism of other amino acids	Leukotriene metabolism	Retinol metabolism	Protein assembly
Adipocytes	0.9739974758493595	0.9801475457708946	0.999217621648662	0.962221409414454	0.994121808008268	0.989097452961033	0.915651560180012	0.997205100693112	0.962220996708493	0.987941381375997	0.962221203061465	0.998636787658456	0.9960214217417964	0.978195425527715	0.9622212030614741	0.96222099670849	0.9779478695121945	0.99791994177339	0.9779548885034595	0.9934055035349	0.9892753610329326	0.962220996708493	0.965473661873097	0.996932054661947
Agland	0.995082457608749	0.993227423210501	0.985663587117857	0.972759475641835	0.993830060417721	0.964080106522807	0.997483880073686	0.960883696803221	0.972759475641831	0.997971044534103	0.9727594756418274	0.998057701335471	0.9985123510464045	0.985117933742217	0.972759475641842	0.972759475641832	0.9982271323913895	0.9983263415922494	0.9995316862974024	0.995288401858125	0.988083343123276	0.972759475641834	0.9601640670942311	0.999068656817303
Brain	0.996418097039657	0.9538436060811795	0.9994748040011641	0.953844343619771	0.99678909329624	0.999451296621384	0.995247229050551	0.996958945393626	0.953843606081178	0.999878419123285	0.9538436060811795	0.998790305502591	0.996377037105999	0.991355013801798	0.9538443436197714	0.953843606081179	0.984168544511874	0.994021110449623	0.997387520625027	0.987254548898162	0.9898349790131575	0.953844343619763	0.9729569719819186	0.997013594342193
Colon	0.899089370956906	0.952823121243642	0.998354297919556	0.952823606969805	0.997192963593753	0.948983298431536	0.997674368618805	0.957257199820157	0.952823121243647	0.996310604270976	0.9528231212436504	0.997979440468275	0.9918017730840984	0.989842185851159	0.952823121243652	0.952823121243647	0.980035006478163	0.9328761529745244	0.995081656996866	0.97315324719611	0.9971555925333655	0.952823121243651	0.982274901230137	0.9957189797700015
Heart	0.994794067143631	0.953694922193897	0.947475934796799	0.9536952049908476	0.998636636912313	0.965192269982888	0.970384722944653	0.9958501476785285	0.953694922193893	0.989789389420499	0.9536949221939015	0.998678450106609	0.972900974050597	0.987371050646086	0.966168170925147	0.953694922193898	0.992986699656111	0.9945409257174169	0.999420236499272	0.9799240766538575	0.0479584236964771	0.953694922193906	0.970642833934849	0.9907704706015834
Kidney	0.998847571024837	0.9991518699130271	0.998690398111867	0.756797205982253	0.999209805186504	0.998497626108549	0.9988045527704754	0.9986537721782035	0.756793925752698	0.999416727779347	0.532488174678189	0.999343874596455	0.9988694808586565	0.998007095597758	0.908280431277292	0.7567939257526994	0.9901025092582101	0.9987780960418831	0.999676181907702	0.9956625115208485	0.998957472860337	0.7567972059822574	0.982603826540369	0.999380010733237
Liver	0.98988028684553	0.9973849507975134	0.996562836629894	0.791074470315883	0.993711832690513	0.9812437510609855	0.999313742007136	0.997205582933951	0.79107082078599	0.888820150549612	0.5274280574175885	0.993027866042986	0.943054580959563	0.995902266645879	0.881651555203268	0.791070820786011	0.999377343210193	0.998995842277759	0.9995204957937365	0.9975968607658415	0.987364629771392	0.791074470315882	0.995671520482318	0.941978263233893
Lung	0.979091950928747	0.7849484591967735	0.995313914236713	0.7849519139714525	0.997059894934706	0.964128446245901	0.995153150626894	0.9978244981246485	0.7849484591967815	0.992987426047924	0.523200647277227	0.993955803644527	0.9956124119923375	0.9826012612297	0.982084205231887	0.784948459196791	0.9986190740970405	0.991994425000043	0.99959654914927	0.9866860276572236	0.988404348121551	0.784951913971446	0.9931268628300275	0.997853904141071
Muscle	0.995300411045965	0.784288517014828	0.9983433928916114	0.729866293001153	0.995630296652017	0.993082481839372	0.968599840780653	0.9906706828329945	0.729863414117213	0.996692249313095	0.538981363836277	0.998496152989324	0.9952662570892995	0.981447204528812	0.729903007181066	0.72986341411721	0.994268663919328	0.937065567717915	0.9987561143819079	0.931547036959627	0.986037762067487	0.7298634141172236	0.958179350780375	0.995746708370917
Pancreas	0.9913560402426516	0.726294451721362	0.997445168820645	0.726297412362869	0.998767071999253	0.9985889008047455	0.9553710787997025	0.996655701394976	0.726294451721372	0.9978342434342036	0.546281558572698	0.998061831152264	0.9975153047503356	0.981586075536747	0.88016493063047	0.726294451721371	0.998176993312969	0.9476109579162275	0.966666395097013	0.976954122921886	0.998881307368472	0.726294451721385	0.961943251048834	0.998689549496064
