Row	AdultMale_Adipocytes	ElderlyMale_Adipocytes	AdultFemale_Adipocytes	ElderlyFemale_Adipocytes	AdultMale_Agland	ElderlyMale_Agland	AdultFemale_Agland	ElderlyFemale_Agland	AdultMale_Brain	ElderlyMale_Brain	AdultFemale_Brain	ElderlyFemale_Brain	AdultMale_Colon	ElderlyMale_Colon	AdultFemale_Colon	ElderlyFemale_Colon	AdultMale_Heart	ElderlyMale_Heart	AdultFemale_Heart	ElderlyFemale_Heart	AdultMale_Kidney	ElderlyMale_Kidney	AdultFemale_Kidney	ElderlyFemale_Kidney	AdultMale_Liver	ElderlyMale_Liver	AdultFemale_Liver	ElderlyFemale_Liver	AdultMale_Lung	ElderlyMale_Lung	AdultFemale_Lung	ElderlyFemale_Lung	AdultMale_Muscle	ElderlyMale_Muscle	AdultFemale_Muscle	ElderlyFemale_Muscle	AdultMale_Pancreas	ElderlyMale_Pancreas	AdultFemale_Pancreas	ElderlyFemale_Pancreas	AdultMale_Scord	ElderlyMale_Scord	AdultFemale_Scord	ElderlyFemale_Scord	AdultMale_sIEC	ElderlyMale_sIEC	AdultFemale_sIEC	ElderlyFemale_sIEC	AdultMale_Skin	ElderlyMale_Skin	AdultFemale_Skin	ElderlyFemale_Skin	AdultMale_Spleen	ElderlyMale_Spleen	AdultFemale_Spleen	ElderlyFemale_Spleen	AdultMale_Stomach	ElderlyMale_Stomach	AdultFemale_Stomach	ElderlyFemale_Stomach	AdultMale_Thyroidgland	ElderlyMale_Thyroidgland	AdultFemale_Thyroidgland	ElderlyFemale_Thyroidgland	AdultMale_Urinarybladder	ElderlyMale_Urinarybladder	AdultFemale_Urinarybladder	ElderlyFemale_Urinarybladder
Acyl-CoA hydrolysis	-1.31623354708065	-1.31623354708065	-1.31623354708065	-1.31623354708065	-1.31623354708065	-1.31623354708065	-1.31623354708065	-1.31623354708065	-1.31623354708065	-1.31623354708065	-1.31623354708065	-1.31623354708065	-1.31623354708065	-1.31623354708065	-1.31623354708065	-1.31623354708065	-1.31623354708065	-1.31623354708065	-1.31623354708065	-1.31623354708065	-1.31623354708065	-1.31623354708065	-1.31623354708065	-1.31623354708065	51.4681066486669	51.4681066486669	51.4681066486669	51.4681066486669	-1.31623354708065	-1.31623354708065	-1.31623354708065	-1.31623354708065	-8.20114748565642	-1.31623354708065	-1.31623354708065	-1.31623354708065	-24.2659466756665	-24.2659466756665	-24.2659466756665	-24.2659466756665	-1.31623354708065	-1.31623354708065	-24.2659466756665	-1.31623354708065	-1.31623354708065	-1.31623354708065	-1.31623354708065	-1.31623354708065	-1.31623354708065	-1.31623354708065	-1.31623354708065	-1.31623354708065	-1.31623354708065	-1.31623354708065	-1.31623354708065	-1.31623354708065	-1.31623354708065	-1.31623354708065	-1.31623354708065	-1.31623354708065	-1.31623354708065	-1.31623354708065	-1.31623354708065	-1.31623354708065	-1.31623354708065	-1.31623354708065	-1.31623354708065	-1.31623354708065
Androgen metabolism	-11.2135176651306	-11.2135176651306	-11.2135176651306	-11.2135176651306	46.2365591397849	46.2365591397849	46.2365591397849	46.2365591397849	-11.2135176651306	-0.768049155145936	4.45468509984638	-11.2135176651306	25.3456221198157	-16.4362519201229	25.3456221198157	25.3456221198157	-37.3271889400922	-26.8817204301075	-26.8817204301075	-21.6589861751152	9.6774193548387	9.6774193548387	9.6774193548387	9.6774193548387	20.1228878648233	20.1228878648233	20.1228878648233	20.1228878648233	-11.2135176651306	-5.99078341013825	-0.768049155145936	-5.99078341013825	-26.8817204301075	-21.6589861751152	-21.6589861751152	-11.2135176651306	-42.5499231950845	-47.7726574500768	-37.3271889400922	-32.1044546850999	-5.99078341013825	-11.2135176651306	-5.99078341013825	-5.99078341013825	30.568356374808	30.568356374808	30.568356374808	30.568356374808	25.3456221198157	25.3456221198157	-0.768049155145936	9.6774193548387	-16.4362519201229	-5.99078341013825	-11.2135176651306	-11.2135176651306	-16.4362519201229	-11.2135176651306	-0.768049155145936	-5.99078341013825	9.6774193548387	9.6774193548387	9.6774193548387	9.6774193548387	-5.99078341013825	-26.8817204301075	14.900153609831	-16.4362519201229
Ascorbate and aldarate metabolism	12.2641509433962	-3.77358490566038	-3.77358490566038	12.2641509433962	12.2641509433962	-3.77358490566038	12.2641509433962	-3.77358490566038	12.2641509433962	-3.77358490566038	12.2641509433962	12.2641509433962	-3.77358490566038	-3.77358490566038	12.2641509433962	12.2641509433962	-3.77358490566038	12.2641509433962	12.2641509433962	12.2641509433962	12.2641509433962	12.2641509433962	-3.77358490566038	12.2641509433962	-3.77358490566038	-3.77358490566038	12.2641509433962	12.2641509433962	12.2641509433962	-3.77358490566038	-3.77358490566038	12.2641509433962	12.2641509433962	-3.77358490566038	-19.811320754717	-35.8490566037736	-3.77358490566038	-3.77358490566038	-3.77358490566038	-3.77358490566038	-3.77358490566038	-3.77358490566038	12.2641509433962	12.2641509433962	-19.811320754717	-35.8490566037736	-35.8490566037736	-19.811320754717	-35.8490566037736	-19.811320754717	-35.8490566037736	-35.8490566037736	12.2641509433962	12.2641509433962	12.2641509433962	-3.77358490566038	12.2641509433962	-3.77358490566038	-3.77358490566038	-3.77358490566038	12.2641509433962	-3.77358490566038	12.2641509433962	12.2641509433962	12.2641509433962	12.2641509433962	-3.77358490566038	12.2641509433962
Beta oxidation of di-unsaturated fatty acids (n-6) (peroxisomal)	6.99300699300699	6.99300699300699	6.99300699300699	6.99300699300699	6.99300699300699	6.99300699300699	6.99300699300699	6.99300699300699	6.99300699300699	-88.1118881118881	6.99300699300699	6.99300699300699	6.99300699300699	6.99300699300699	6.99300699300699	6.99300699300699	6.99300699300699	6.99300699300699	6.99300699300699	6.99300699300699	6.99300699300699	6.99300699300699	6.99300699300699	6.99300699300699	6.99300699300699	6.99300699300699	6.99300699300699	6.99300699300699	6.99300699300699	6.99300699300699	6.99300699300699	6.99300699300699	-88.1118881118881	-88.1118881118881	-88.1118881118881	-88.1118881118881	6.99300699300699	6.99300699300699	6.99300699300699	6.99300699300699	6.99300699300699	6.99300699300699	6.99300699300699	6.99300699300699	6.99300699300699	6.99300699300699	6.99300699300699	6.99300699300699	6.99300699300699	6.99300699300699	6.99300699300699	6.99300699300699	6.99300699300699	6.99300699300699	6.99300699300699	6.99300699300699	6.99300699300699	6.99300699300699	6.99300699300699	6.99300699300699	6.99300699300699	6.99300699300699	6.99300699300699	6.99300699300699	6.99300699300699	6.99300699300699	6.99300699300699	6.99300699300699
Beta oxidation of even-chain fatty acids (peroxisomal)	10.2702702702703	10.2702702702703	10.2702702702703	10.2702702702703	-10.4054054054054	-10.4054054054054	10.2702702702703	10.2702702702703	-19.5945945945946	-19.5945945945946	-19.5945945945946	-19.5945945945946	10.2702702702703	10.2702702702703	10.2702702702703	10.2702702702703	10.2702702702703	-10.4054054054054	10.2702702702703	10.2702702702703	10.2702702702703	10.2702702702703	10.2702702702703	10.2702702702703	10.2702702702703	10.2702702702703	10.2702702702703	10.2702702702703	10.2702702702703	10.2702702702703	10.2702702702703	10.2702702702703	-72.4324324324324	-72.4324324324324	-72.4324324324324	-72.4324324324324	10.2702702702703	10.2702702702703	10.2702702702703	10.2702702702703	-17.2972972972973	-10.4054054054054	-17.2972972972973	-17.2972972972973	10.2702702702703	10.2702702702703	10.2702702702703	10.2702702702703	10.2702702702703	10.2702702702703	10.2702702702703	10.2702702702703	-10.4054054054054	-10.4054054054054	-10.4054054054054	10.2702702702703	10.2702702702703	10.2702702702703	10.2702702702703	10.2702702702703	10.2702702702703	10.2702702702703	10.2702702702703	10.2702702702703	10.2702702702703	10.2702702702703	10.2702702702703	-10.4054054054054
Beta oxidation of unsaturated fatty acids (n-7) (peroxisomal)	6.25	6.25	6.25	6.25	6.25	6.25	6.25	6.25	6.25	6.25	6.25	6.25	6.25	6.25	6.25	6.25	6.25	6.25	6.25	6.25	6.25	6.25	6.25	6.25	6.25	6.25	6.25	6.25	6.25	6.25	6.25	6.25	-100	-100	-100	-100	6.25	6.25	6.25	6.25	6.25	6.25	6.25	6.25	6.25	6.25	6.25	6.25	6.25	6.25	6.25	6.25	6.25	6.25	6.25	6.25	6.25	6.25	6.25	6.25	6.25	6.25	6.25	6.25	6.25	6.25	6.25	6.25
Beta oxidation of unsaturated fatty acids (n-9) (peroxisomal)	5.55555555555556	5.55555555555556	5.55555555555556	5.55555555555556	5.55555555555556	5.55555555555556	5.55555555555556	5.55555555555556	5.55555555555556	5.55555555555556	5.55555555555556	5.55555555555556	5.55555555555556	5.55555555555556	5.55555555555556	5.55555555555556	5.55555555555556	5.55555555555556	5.55555555555556	5.55555555555556	5.55555555555556	5.55555555555556	5.55555555555556	5.55555555555556	5.55555555555556	5.55555555555556	5.55555555555556	5.55555555555556	5.55555555555556	5.55555555555556	5.55555555555556	5.55555555555556	-88.8888888888889	-88.8888888888889	-88.8888888888889	-88.8888888888889	5.55555555555556	5.55555555555556	5.55555555555556	5.55555555555556	5.55555555555556	5.55555555555556	5.55555555555556	5.55555555555556	5.55555555555556	5.55555555555556	5.55555555555556	5.55555555555556	5.55555555555556	5.55555555555556	5.55555555555556	5.55555555555556	5.55555555555556	5.55555555555556	5.55555555555556	5.55555555555556	5.55555555555556	5.55555555555556	5.55555555555556	5.55555555555556	5.55555555555556	5.55555555555556	5.55555555555556	5.55555555555556	5.55555555555556	5.55555555555556	5.55555555555556	5.55555555555556
Bile acid biosynthesis	-5.65051276895233	1.18640659561634	0.50271465915947	-2.232053086668	12.8091695153831	13.4928614518399	13.4928614518399	11.4417856424693	-13.1711240699779	-14.5385079428916	-15.9058918158053	-11.1200482606073	9.39070983309874	3.23748240498694	12.1254775789262	10.7580937060125	-32.3144982907702	-32.3144982907702	-32.998190227227	-32.3144982907702	5.28855821435754	5.28855821435754	6.65594208727127	8.70701789664188	29.2177759903479	30.5851598632616	29.9014679268048	29.9014679268048	-3.59943695958173	-2.232053086668	3.23748240498694	-0.180977277297397	-37.1003418459682	-36.4166499095114	-36.4166499095114	-35.0492660365976	5.97225015081441	7.33963402372814	8.02332596018501	6.65594208727127	-14.5385079428916	-10.4363563241504	-5.65051276895233	-4.96682083249547	16.9113211341243	17.5950130705811	16.9113211341243	15.5439372612105	8.70701789664188	3.23748240498694	5.28855821435754	7.33963402372814	-1.54836115021113	-7.70158857832293	-6.3342047054092	-1.54836115021113	6.65594208727127	5.97225015081441	3.92117434144381	4.60486627790067	4.60486627790067	5.28855821435754	-0.864669213754264	8.70701789664188	9.39070983309874	-14.5385079428916	5.97225015081441	-0.180977277297397
Bile acid recycling	-34.1404358353511	-34.1404358353511	-34.1404358353511	-34.1404358353511	-34.1404358353511	-34.1404358353511	-34.1404358353511	-34.1404358353511	97.5786924939467	97.5786924939467	97.5786924939467	97.5786924939467	-42.3728813559322	-34.1404358353511	-17.6755447941889	-25.90799031477	-67.0702179176755	-42.3728813559322	-67.0702179176755	-67.0702179176755	-1.21065375302663	-1.21065375302663	31.7191283292978	39.9515738498789	171.670702179177	171.670702179177	171.670702179177	171.670702179177	-34.1404358353511	-34.1404358353511	-34.1404358353511	-34.1404358353511	-42.3728813559322	-42.3728813559322	-34.1404358353511	-34.1404358353511	-42.3728813559322	-42.3728813559322	-42.3728813559322	-42.3728813559322	114.043583535109	114.043583535109	114.043583535109	114.043583535109	39.9515738498789	39.9515738498789	39.9515738498789	39.9515738498789	-42.3728813559322	-42.3728813559322	-34.1404358353511	-34.1404358353511	-42.3728813559322	-42.3728813559322	-42.3728813559322	-34.1404358353511	-34.1404358353511	-34.1404358353511	-34.1404358353511	-34.1404358353511	-25.90799031477	-9.44309927360774	-25.90799031477	-9.44309927360774	-34.1404358353511	-42.3728813559322	-34.1404358353511	-34.1404358353511
Biopterin metabolism	2.43337195828505	2.43337195828505	-1.50637311703361	-1.50637311703361	-1.50637311703361	6.37311703360371	6.37311703360371	6.37311703360371	2.43337195828505	-1.50637311703361	2.43337195828505	2.43337195828505	2.43337195828505	-1.50637311703361	-1.50637311703361	2.43337195828505	2.43337195828505	2.43337195828505	2.43337195828505	-1.50637311703361	-1.50637311703361	2.43337195828505	2.43337195828505	2.43337195828505	2.43337195828505	-1.50637311703361	6.37311703360371	-1.50637311703361	2.43337195828505	-1.50637311703361	2.43337195828505	6.37311703360371	-36.9640787949015	-29.0845886442642	-33.0243337195828	-29.0845886442642	2.43337195828505	-1.50637311703361	6.37311703360371	-1.50637311703361	2.43337195828505	-1.50637311703361	2.43337195828505	-1.50637311703361	6.37311703360371	6.37311703360371	6.37311703360371	2.43337195828505	-1.50637311703361	2.43337195828505	2.43337195828505	6.37311703360371	2.43337195828505	-1.50637311703361	-1.50637311703361	2.43337195828505	6.37311703360371	6.37311703360371	6.37311703360371	6.37311703360371	-1.50637311703361	-1.50637311703361	2.43337195828505	2.43337195828505	2.43337195828505	2.43337195828505	2.43337195828505	-1.50637311703361
