cellLine	TP	TN	FP	FN	accuracy	sensitivity	specificity	F1	MCC
ACH-000545	113	2317	164	178	0.876623376623377	0.388316151202749	0.933897621926642	0.397887323943662	0.329328122049146
ACH-000836	123	2308	152	189	0.876984126984127	0.394230769230769	0.938211382113821	0.419080068143101	0.351467616807328
ACH-000470	100	2318	182	172	0.872294372294372	0.367647058823529	0.9272	0.36101083032491	0.290152975496545
ACH-000762	96	2328	178	170	0.874458874458874	0.360902255639098	0.928970470869912	0.355555555555556	0.286066635838115
ACH-000495	93	2326	171	182	0.872655122655123	0.338181818181818	0.931517821385663	0.345083487940631	0.274656736000082
ACH-000834	109	2304	168	191	0.870490620490621	0.363333333333333	0.932038834951456	0.377816291161178	0.305970299885338
ACH-001020	111	2282	193	186	0.863275613275613	0.373737373737374	0.922020202020202	0.369384359400998	0.292746920037314
ACH-001450	137	2256	159	220	0.863275613275613	0.38375350140056	0.93416149068323	0.419601837672282	0.34481210877206
ACH-000652	123	2324	138	187	0.882756132756133	0.396774193548387	0.943948009748172	0.430823117338003	0.367689896753437
ACH-001033	103	2288	168	213	0.862554112554113	0.325949367088608	0.931596091205212	0.350936967632027	0.27559423395578
ACH-001196	116	2296	174	186	0.87012987012987	0.384105960264901	0.929554655870445	0.391891891891892	0.319309655922002
ACH-001184	124	2297	163	188	0.873376623376623	0.397435897435897	0.933739837398374	0.414023372287145	0.343557326344925
ACH-001239	110	2309	171	182	0.872655122655123	0.376712328767123	0.931048387096774	0.383944153577661	0.313033218062118
ACH-001563	111	2304	183	174	0.871212121212121	0.389473684210526	0.926417370325694	0.383419689119171	0.311582698358069
ACH-001028	123	2324	153	172	0.882756132756133	0.416949152542373	0.938231731933791	0.430823117338003	0.365802579922403
ACH-000608	109	2338	154	171	0.882756132756133	0.389285714285714	0.938202247191011	0.401473296500921	0.336759743168983
ACH-001050	100	2289	196	187	0.861832611832612	0.348432055749129	0.92112676056338	0.343053173241852	0.265911126477017
ACH-001431	118	2328	158	168	0.882395382395382	0.412587412587413	0.936444086886565	0.419928825622776	0.354585825043331
ACH-001054	115	2311	164	182	0.875180375180375	0.387205387205387	0.933737373737374	0.399305555555556	0.329936353157861
ACH-001735	125	2313	163	171	0.879509379509379	0.422297297297297	0.934168012924071	0.428082191780822	0.360799900011143
ACH-001163	138	2276	160	198	0.870851370851371	0.410714285714286	0.93431855500821	0.435331230283912	0.363547141989278
ACH-000958	112	2333	158	169	0.882034632034632	0.398576512455516	0.936571657968687	0.406533575317604	0.341154686695288
ACH-000820	108	2245	187	232	0.848845598845599	0.317647058823529	0.923108552631579	0.340157480314961	0.256108298506743
ACH-001300	108	2326	166	172	0.878066378066378	0.385714285714286	0.93338683788122	0.389891696750903	0.322188377384572
ACH-000318	120	2329	143	180	0.883477633477634	0.4	0.942152103559871	0.426287744227353	0.362723647541006
ACH-000899	117	2303	161	191	0.873015873015873	0.37987012987013	0.934659090909091	0.399317406143345	0.329068329460281
ACH-001232	93	2345	179	155	0.879509379509379	0.375	0.929080824088748	0.357692307692308	0.291746122654441
ACH-001430	112	2298	175	187	0.869408369408369	0.374581939799331	0.92923574605742	0.382252559726962	0.30935458622852
ACH-000437	98	2316	196	162	0.870851370851371	0.376923076923077	0.921974522292994	0.353790613718412	0.283005321607029
ACH-001134	117	2319	161	175	0.878787878787879	0.400684931506849	0.93508064516129	0.410526315789474	0.343149059554567
ACH-001555	99	2315	169	189	0.870851370851371	0.34375	0.931964573268921	0.356115107913669	0.284673605756336
ACH-001031	112	2317	159	184	0.876262626262626	0.378378378378378	0.93578352180937	0.395061728395062	0.326688013041969
ACH-001414	96	2305	188	183	0.866161616161616	0.344086021505376	0.924588848776574	0.341030195381883	0.266566721556252
ACH-000502	124	2295	177	176	0.872655122655123	0.413333333333333	0.928398058252427	0.412645590682196	0.341232285660318
ACH-000677	122	2311	149	190	0.877705627705628	0.391025641025641	0.939430894308943	0.41852487135506	0.351655734941905
ACH-001736	137	2289	147	199	0.875180375180375	0.407738095238095	0.939655172413793	0.441935483870968	0.373891266090445
ACH-001407	114	2302	161	195	0.871572871572872	0.368932038834951	0.934632561916362	0.39041095890411	0.319585417001135
ACH-001328	109	2294	168	201	0.866883116883117	0.351612903225806	0.931762794476036	0.371379897785349	0.297791511515152
ACH-001391	108	2333	171	160	0.880591630591631	0.402985074626866	0.931709265175719	0.394881170018282	0.328752970933478
ACH-001433	124	2282	166	200	0.867965367965368	0.382716049382716	0.93218954248366	0.403908794788274	0.330566391423475
ACH-000469	109	2311	161	191	0.873015873015873	0.363333333333333	0.934870550161812	0.382456140350877	0.312444310524014
ACH-001061	136	2328	137	171	0.888888888888889	0.44299674267101	0.944421906693712	0.468965517241379	0.408031527071244
ACH-001301	96	2320	193	163	0.871572871572872	0.370656370656371	0.923199363310784	0.35036496350365	0.279861407922489
ACH-001278	125	2272	173	202	0.864718614718615	0.382262996941896	0.929243353783231	0.4	0.32439356721607
